time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	37.83
0.05	0	39.06
0.06	0	40.22
0.07	0	40.09
0.08	0	40.36
0.09	0	41.23
0.1	0	42.07
0.11	0	42.17
0.12	0	41.66
0.13	0	41.66
0.14	0	41.39
0.15	0	40.17
0.16	0	39.88
0.17	0	39.99
0.18	0	40.25
0.19	0	38.93
0.2	0	35.91
0.21	0	34.03
0.22	0	31.3
0.23	0	30.87
0.24	0	37.39
0.25	0	46.98
0.26	0	53.13
0.27	0	57.92
0.28	0	62.05
0.29	0	64.91
0.3	0	67.06
0.31	0	68.43
0.32	0	69.18
0.33	0	69.79
0.34	0	69.99
0.35	0	70.68
0.36	0	71.31
0.37	0	70.93
0.38	0	69.02
0.39	0	66.58
0.4	152.11	70.34
0.41	148.08	74.48
0.42	146.45	75.45
0.43	148.79	75.2
0.44	151.67	74.23
0.45	152.92	72.67
0.46	152.6	71.19
0.47	151.68	70.27
0.48	150.91	69.93
0.49	149.11	70.3
0.5	146.33	71.3
0.51	146.7	72.41
0.52	141.75	72.85
0.53	137.83	72.23
0.54	136.42	71.24
0.55	135.37	70.53
0.56	134.22	69.88
0.57	132.98	69.16
0.58	131.71	68.63
0.59	130.83	68.57
0.6	131.8	69
0.61	132.95	69.87
0.62	132.35	70.41
0.63	130.18	70.39
0.64	127.59	70.67
0.65	124.8	70.98
0.66	122.66	69.77
0.67	119.61	65.8
0.68	117.59	62.33
0.69	116.35	62.49
0.7	114.49	66.39
0.71	112.69	69.99
0.72	109.71	69.57
0.73	0	64.64
0.74	0	55.51
0.75	0	48.43
0.76	0	42.89
0.77	0	37.02
0.78	0	31.33
0.79	0	35.61
0.8	0	55.92
0.81	0	70.52
0.82	113.19	78.3
0.83	114.64	81.56
0.84	111.72	82.39
0.85	112.4	82.49
0.86	112.13	82.11
0.87	111.01	81.56
0.88	110.2	81.35
0.89	109.35	81.05
0.9	108.78	80.64
0.91	108.34	80.27
0.92	108.13	80.05
0.93	108	79.6
0.94	107.73	78.99
0.95	107.44	78.06
0.96	105.94	75.65
0.97	0	70.39
0.98	0	61.84
0.99	103.06	58.14
1	102.99	62.05
1.01	101.91	65.02
1.02	100.12	66.61
1.03	98.48	66.88
1.04	97.39	66.33
1.05	95.77	64.57
1.06	94.96	60.93
1.07	94.68	57.55
1.08	94.82	56.49
1.09	95.29	56.69
1.1	96.18	61.55
1.11	96.09	66.47
1.12	95.83	68.41
1.13	95.5	70.08
1.14	95.33	71.42
1.15	95.53	72.47
1.16	95.7	73.16
1.17	95.97	73.19
1.18	95.87	73.12
1.19	95.44	73.24
1.2	95.76	72.95
1.21	95.95	72.33
1.22	95.2	72.14
1.23	94.74	72.21
1.24	94.15	72.11
1.25	93.15	72
1.26	92.76	71.89
1.27	91.4	71.5
1.28	90.77	70.7
1.29	90.37	69.35
1.3	89.36	68.49
1.31	88.55	68.11
1.32	87.93	67.09
1.33	87.22	65.93
1.34	86.62	65.09
1.35	85.72	64.29
1.36	85.24	64.01
1.37	85.74	64.76
1.38	85.4	65.68
1.39	84.19	66.24
1.4	82.95	65.63
1.41	81.92	64.21
1.42	80.27	62.71
1.43	79.73	61.11
1.44	80.16	60.37
1.45	80.43	60.3
1.46	80.57	59.13
1.47	79.97	58.01
1.48	80.5	57.86
1.49	0	56.62
1.5	0	55.05
1.51	0	53.1
1.52	0	50.14
1.53	0	47.79
1.54	0	47.28
1.55	0	46.68
1.56	0	45.65
1.57	0	44.89
1.58	0	44.99
1.59	0	45.15
1.6	0	45.69
1.61	0	44.1
1.62	0	39.23
1.63	0	36.48
1.64	0	36.26
1.65	0	0
1.66	0	0
1.67	0	0
?	?	?
