time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28
0.04	0	28.46
0.05	0	28.96
0.06	0	29.33
0.07	0	28.77
0.08	0	28.45
0.09	0	28.21
0.1	0	27.67
0.11	0	28.45
0.12	0	30.63
0.13	0	36.94
0.14	0	52.99
0.15	0	68.62
0.16	142.54	77.17
0.17	140.94	80.83
0.18	139.85	81.63
0.19	139.97	81.84
0.2	139.53	81.2
0.21	138.64	78.75
0.22	0	72.5
0.23	0	59.94
0.24	0	46.37
0.25	0	36.55
0.26	0	28.62
0.27	0	35.23
0.28	0	54.81
0.29	0	65.37
0.3	0	68.46
0.31	0	68.24
0.32	0	67.17
0.33	0	66.8
0.34	0	69.52
0.35	166.94	74.8
0.36	166.75	78.83
0.37	167.04	81.46
0.38	167.67	82.57
0.39	168.01	82.89
0.4	168.53	83.18
0.41	169.35	83.2
0.42	170.58	83.09
0.43	172.8	83.05
0.44	175.5	82.95
0.45	178.24	82.41
0.46	180.15	81.31
0.47	182.2	79.08
0.48	0	73.06
0.49	0	60.98
0.5	0	49.11
0.51	0	42.4
0.52	0	47.63
0.53	0	60.63
0.54	0	67.04
0.55	0	69.15
0.56	0	69.92
0.57	0	71.42
0.58	0	71.7
0.59	0	71.93
0.6	0	72.12
0.61	0	71.61
0.62	0	70.93
0.63	0	70.54
0.64	0	70.72
0.65	0	71.75
0.66	0	71.97
0.67	0	71.28
0.68	0	71.01
0.69	0	70.97
0.7	0	71.86
0.71	0	72.89
0.72	0	71.13
0.73	0	69.22
0.74	176.37	75.19
0.75	173.5	79.08
0.76	169.57	80.39
0.77	167.31	81.65
0.78	165.85	82.79
0.79	166.02	83.52
0.8	166.41	84.33
0.81	166.01	84.91
0.82	165.39	85.04
0.83	164.14	84.89
0.84	162.23	84.29
0.85	159.47	83.11
0.86	156.98	81.73
0.87	155.13	80.67
0.88	152.89	80.08
0.89	149.93	79.72
0.9	147	78.62
0.91	142.97	75.03
0.92	135.25	67.12
0.93	129.54	57.6
0.94	127.73	57.37
0.95	129.27	65.15
0.96	131.38	73.89
0.97	131.33	78.9
0.98	129.92	81.18
0.99	127.22	82.04
1	125.41	81.81
1.01	123.05	81.38
1.02	119.79	81
1.03	117.89	80.42
1.04	117.23	79.22
1.05	117	78.41
1.06	117.47	77.91
1.07	117.07	77.55
1.08	115.62	76.7
1.09	114.07	75.25
1.1	111.94	72.89
1.11	108.23	70.12
1.12	104.92	67.77
1.13	0	65.9
1.14	0	63.24
1.15	0	59.94
1.16	0	57.94
1.17	0	54.37
1.18	0	47.09
1.19	0	39.91
1.2	0	37.13
1.21	0	36.43
1.22	0	34.48
1.23	0	31.21
1.24	0	29.6
1.25	0	28.69
1.26	0	28.17
1.27	0	0
1.28	0	0
1.29	0	0
?	?	?
