time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.3
0.04	0	30.73
0.05	0	31
0.06	0	31.15
0.07	0	30.9
0.08	0	30.19
0.09	0	29.82
0.1	0	31.76
0.11	0	37.09
0.12	0	42.8
0.13	0	46.69
0.14	0	50.41
0.15	0	52.89
0.16	0	55.39
0.17	0	58.12
0.18	0	60.08
0.19	0	62.82
0.2	131.78	69.46
0.21	135.01	76.9
0.22	135.45	81.12
0.23	135.08	82.93
0.24	136.17	83.79
0.25	137.81	84.1
0.26	139.56	83.55
0.27	141.75	82.36
0.28	144.08	80.95
0.29	146.48	78.65
0.3	149.31	75.91
0.31	152.25	72.82
0.32	0	67.01
0.33	0	59.11
0.34	0	56.19
0.35	0	55.29
0.36	0	55.1
0.37	0	61.26
0.38	0	67.59
0.39	144.55	71.86
0.4	145.15	74.58
0.41	143.91	75.66
0.42	141.98	75.86
0.43	139.86	75.69
0.44	135.98	74.11
0.45	130.62	69.62
0.46	0	61.85
0.47	0	56.4
0.48	0	55.18
0.49	0	55.8
0.5	0	57.27
0.51	121.7	59.3
0.52	122.15	61.19
0.53	122.33	63.03
0.54	123.59	65.08
0.55	124.25	67.87
0.56	124.74	70.96
0.57	127.37	73.67
0.58	130.95	76.15
0.59	133.43	78.25
0.6	134.15	78.94
0.61	135.46	79.16
0.62	136.57	79.45
0.63	137.59	80.18
0.64	137.81	80.7
0.65	138.35	80.52
0.66	138.84	79.56
0.67	139.92	78.82
0.68	141.01	77.99
0.69	141.83	76.39
0.7	142.15	73.29
0.71	141.53	70.93
0.72	140.54	70.44
0.73	139.14	70.12
0.74	136.9	69.82
0.75	134.72	69.52
0.76	132.56	69.09
0.77	130.38	68.06
0.78	127.74	65.63
0.79	123.82	61.32
0.8	117.12	58.04
0.81	0	62.2
0.82	0	68.2
0.83	0	71.27
0.84	0	73.24
0.85	0	73.39
0.86	0	70.96
0.87	0	70.32
0.88	0	69.67
0.89	124.59	70
0.9	125.88	72.81
0.91	125.32	75.08
0.92	123.25	76.29
0.93	122.98	77.55
0.94	122.94	78.39
0.95	123.89	77.86
0.96	126.57	77.65
0.97	128.08	78.08
0.98	129.29	78.08
0.99	129.95	77.84
1	131.1	78.52
1.01	131.52	78.34
1.02	131.19	77.19
1.03	131.25	76.74
1.04	130.31	76.16
1.05	130.41	75.36
1.06	130.5	74.92
1.07	129.86	74.45
1.08	129.45	73.56
1.09	128.66	71.89
1.1	127.79	69.05
1.11	124.54	67.42
1.12	123.55	67.8
1.13	122.67	67.94
1.14	121.42	67.9
1.15	120.6	67.68
1.16	119.18	67.26
1.17	117.36	66.68
1.18	116.04	66.12
1.19	114.28	65.71
1.2	112.28	65.63
1.21	110.27	67.24
1.22	108.8	70.24
1.23	108.4	72.1
1.24	107.03	72.55
1.25	105.52	71.99
1.26	104.07	70.97
1.27	102.1	69.81
1.28	99.64	68.23
1.29	98.28	66.7
1.3	96.95	65.25
1.31	97	65.36
1.32	102.31	66.58
1.33	102.73	65.5
1.34	0	61.12
1.35	95.9	57.39
1.36	98.92	57.68
1.37	98.81	56.94
1.38	93.11	55.85
1.39	92.59	55.22
1.4	0	54.43
1.41	0	53.25
1.42	0	51.56
1.43	0	50.15
1.44	0	47.93
1.45	0	43.28
1.46	0	39.96
1.47	0	34.94
1.48	0	33.38
1.49	0	38.81
1.5	0	40.3
1.51	0	36.91
1.52	0	34.04
1.53	0	33.22
1.54	0	32.02
1.55	0	30.91
1.56	0	30.43
1.57	0	29.72
1.58	0	29.55
1.59	0	30.12
1.6	0	30.11
1.61	0	0
1.62	0	0
1.63	0	0
