time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	31.73
0.04	0	33.82
0.05	0	36.83
0.06	0	34.86
0.07	0	30.95
0.08	0	30.01
0.09	0	29.57
0.1	0	30.79
0.11	0	37.77
0.12	0	50.78
0.13	0	61.42
0.14	0	67.11
0.15	0	69.88
0.16	188.83	72.5
0.17	192.85	75.7
0.18	196.57	78.22
0.19	199.22	80.27
0.2	200.78	81.87
0.21	201.55	82.6
0.22	201.55	82.69
0.23	200.48	82.67
0.24	197.95	82.43
0.25	194.44	80.75
0.26	191.75	75.86
0.27	161.21	75.04
0.28	152.49	80.02
0.29	149.06	82.79
0.3	139.67	82.59
0.31	128.34	81.41
0.32	124.82	81.3
0.33	119.91	80.25
0.34	116.21	78.11
0.35	112.75	76.22
0.36	110.63	75.07
0.37	108.98	73.87
0.38	107.89	72.48
0.39	106.79	71.33
0.4	105.63	70.7
0.41	104.73	69.76
0.42	103.8	68.29
0.43	103.07	66.69
0.44	0	64.93
0.45	0	62.69
0.46	0	60.33
0.47	0	58.08
0.48	0	55.21
0.49	0	52.09
0.5	0	50.13
0.51	0	48.9
0.52	0	48.3
0.53	0	46.77
0.54	0	45.4
0.55	0	44.91
0.56	0	44.38
0.57	0	42.6
0.58	0	42.08
0.59	0	41.48
0.6	0	40.92
0.61	0	40.47
0.62	0	40.74
0.63	0	40.17
0.64	0	39.01
0.65	0	39.42
0.66	0	40.13
0.67	0	40.22
0.68	0	40.03
0.69	0	38.49
0.7	0	37.07
0.71	0	36.22
0.72	0	36.33
0.73	0	36.8
0.74	0	36.46
0.75	0	35.02
0.76	0	34.53
0.77	0	35.07
0.78	0	34.57
0.79	0	33.86
0.8	0	33.38
0.81	0	32.48
0.82	0	31.78
0.83	0	34.83
0.84	0	42.05
0.85	0	46.1
0.86	0	44.99
0.87	0	37.52
0.88	0	32.28
0.89	0	32.56
0.9	0	34.28
0.91	0	35.56
0.92	0	33.46
0.93	0	30.66
0.94	0	31
0.95	0	31.07
0.96	0	30.69
0.97	0	30.76
0.98	0	30.63
0.99	0	30.19
1	0	29.88
1.01	0	29.9
1.02	0	30.12
1.03	0	33.57
1.04	0	42.73
1.05	0	51.93
1.06	0	57.84
1.07	0	63.09
1.08	183.99	70.71
1.09	186.03	75.42
1.1	188.84	77.85
1.11	192	79.62
1.12	195.27	80.75
1.13	199.13	81.17
1.14	204.84	81.4
1.15	209.91	81.93
1.16	213.46	82.09
1.17	215.58	81.67
1.18	216.27	80.7
1.19	215.33	79.49
1.2	212.83	77.83
1.21	209.38	74.99
1.22	199.59	70.67
1.23	0	64.31
1.24	0	63.82
1.25	0	68.17
1.26	0	70.79
1.27	0	71.53
1.28	0	72.42
1.29	0	74.16
1.3	0	74.98
1.31	0	74.43
1.32	0	73.74
1.33	0	73.74
1.34	0	74.04
1.35	0	74.7
1.36	0	73.26
1.37	0	68.78
1.38	0	62.15
1.39	0	63.11
1.4	128.79	70.6
1.41	127.51	74.27
1.42	124.08	75.28
1.43	120.67	75.96
1.44	118.32	76.73
1.45	116.61	76.93
1.46	115.2	76.43
1.47	113.58	75.24
1.48	112.03	73.76
1.49	110.92	71.53
1.5	0	65.78
1.51	0	62.73
1.52	110.54	68.54
1.53	106.83	71.99
1.54	105.42	72.32
1.55	104.55	71.29
1.56	103.31	69.9
1.57	101.8	67.91
1.58	0	64.97
1.59	0	61.45
1.6	0	57.85
1.61	0	53.66
1.62	0	49.68
1.63	0	47.5
1.64	0	46.94
1.65	0	47.43
1.66	0	50.05
1.67	0	55.47
1.68	0	60.76
1.69	0	64.69
1.7	105.77	67.04
1.71	105.59	67.95
1.72	105.49	68.09
1.73	106.44	68.74
1.74	107.71	70.29
1.75	108.46	71.1
1.76	109.25	71.58
1.77	110.21	72.49
1.78	110.97	73.02
1.79	111.51	72.7
1.8	111.8	71.74
1.81	111.75	69.5
1.82	0	65.39
1.83	0	61.01
1.84	0	59.65
1.85	0	59.35
1.86	0	59.11
1.87	0	59.16
1.88	0	59.36
1.89	0	61.1
1.9	0	64.24
1.91	0	65.39
1.92	0	64.86
1.93	0	63.76
1.94	0	61.9
1.95	0	59.22
1.96	0	57.3
1.97	0	57.01
1.98	0	56.48
1.99	0	55.23
2	0	52.25
2.01	0	47.14
2.02	0	41.29
2.03	0	36.12
2.04	0	32.89
2.05	0	0
2.06	0	0
2.07	0	0
