time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.39
0.05	0	30.96
0.06	0	27.58
0.07	0	23.28
0.08	0	21.61
0.09	0	21.62
0.1	0	26.03
0.11	0	32.11
0.12	0	36.3
0.13	0	41.92
0.14	0	46.53
0.15	0	48.79
0.16	0	59.19
0.17	136.14	70.83
0.18	131.64	76.41
0.19	127.22	78.31
0.2	125.8	78.62
0.21	124.92	78.58
0.22	124.01	78.07
0.23	123.05	76.77
0.24	122.16	75.04
0.25	121.62	73.57
0.26	121.56	72.61
0.27	121.52	72.23
0.28	121.38	72.43
0.29	121.19	73.07
0.3	120.55	73.94
0.31	119.19	74.63
0.32	117.32	74.83
0.33	115.33	74.74
0.34	113.25	74.35
0.35	111.68	73.69
0.36	109.27	72.35
0.37	106.59	69.8
0.38	0	66.18
0.39	0	63.84
0.4	0	63
0.41	0	63.94
0.42	0	64.49
0.43	0	62.75
0.44	0	60.5
0.45	0	56.78
0.46	0	53.33
0.47	0	52.67
0.48	140.85	57.09
0.49	133.76	61.16
0.5	127.58	62.8
0.51	126.07	63.44
0.52	125.81	64.18
0.53	126.63	68.04
0.54	126.68	71.98
0.55	127.95	73.49
0.56	130.42	74.06
0.57	133.08	74.64
0.58	135.51	75.3
0.59	137.13	75.89
0.6	139.19	76.4
0.61	141.12	76.79
0.62	141.65	77.21
0.63	141.53	77.79
0.64	141.72	78.63
0.65	141.73	79.1
0.66	141.49	78.38
0.67	141.19	77.55
0.68	140.6	77.68
0.69	140.06	77.82
0.7	140.51	77.57
0.71	141.84	77.05
0.72	143.14	76.33
0.73	143.39	75.45
0.74	142.85	74.38
0.75	142.61	72.92
0.76	143.16	71.12
0.77	143.96	69.7
0.78	144.51	68.93
0.79	144.91	68.33
0.8	145	67.25
0.81	143.96	65.64
0.82	142.68	64.05
0.83	141.51	63.4
0.84	140.36	63.18
0.85	139.57	62.71
0.86	139.43	61.62
0.87	0	58.79
0.88	0	51.7
0.89	0	49.88
0.9	0	59.58
0.91	0	63.81
0.92	0	63.97
0.93	0	61.57
0.94	0	58.05
0.95	0	60.59
0.96	0	67.52
0.97	0	69.66
0.98	0	68.86
0.99	0	65.93
1	0	59.79
1.01	0	48.94
1.02	0	33.88
1.03	0	23.39
1.04	0	23.88
1.05	0	43.76
1.06	0	58.51
1.07	0	64.97
1.08	0	66.26
1.09	0	65.58
1.1	133.26	70.3
1.11	132.22	74.62
1.12	133.32	77.13
1.13	134.37	79.47
1.14	131.67	81.29
1.15	127.41	82.5
1.16	125.4	83.43
1.17	125.13	84.12
1.18	125.08	84.5
1.19	125.34	84.47
1.2	125.68	84.31
1.21	125.69	84.05
1.22	125.55	83.77
1.23	125.18	83.59
1.24	124.34	83.51
1.25	123.39	83.34
1.26	122.98	82.8
1.27	122.93	81.73
1.28	125.54	79.73
1.29	127.18	76.14
1.3	127.49	70.77
1.31	127.52	65.04
1.32	127.26	61.11
1.33	123.98	58.65
1.34	131.1	57.74
1.35	136.9	59
1.36	138.39	61.51
1.37	141.19	64.41
1.38	141.63	67.96
1.39	138.53	70.74
1.4	133.39	72.17
1.41	128.23	72.68
1.42	123.87	72.49
1.43	120.88	71.6
1.44	117.34	69.5
1.45	0	66.02
1.46	0	63.67
1.47	0	64.36
1.48	0	66.08
1.49	0	67.19
1.5	0	67.76
1.51	0	68.06
1.52	0	68.84
1.53	0	68.52
1.54	0	68.27
1.55	0	68.72
1.56	0	69.12
1.57	0	67.41
1.58	0	67.45
1.59	126.57	70.74
1.6	126.16	71.83
1.61	124.1	72.07
1.62	120.76	72.07
1.63	116.79	71.86
1.64	115.02	71.83
1.65	112.84	71.9
1.66	108.58	71.13
1.67	105.4	69.66
1.68	104.82	68.66
1.69	103.76	68.7
1.7	101.84	69.07
1.71	102.06	70.21
1.72	102.77	72.21
1.73	101.42	74.33
1.74	100.22	75.93
1.75	99.48	76.42
1.76	99.06	76.47
1.77	99.3	76.1
1.78	99.59	75.56
1.79	99.51	74.79
1.8	99.23	74.41
1.81	99.35	74.2
1.82	99.46	72.96
1.83	98.24	70.34
1.84	95.4	67.57
1.85	0	64.01
1.86	0	60
1.87	0	60.81
1.88	0	62.26
1.89	0	62.95
1.9	0	63.56
1.91	0	63.64
1.92	0	63.76
1.93	0	64.08
1.94	0	64.96
1.95	0	64.53
1.96	0	63.09
1.97	0	61.78
1.98	0	62.1
1.99	106.08	63.55
2	104.49	64.98
2.01	102.86	65.48
2.02	101.35	65.08
2.03	99.16	64.07
2.04	97.1	62.79
2.05	95	61.38
2.06	0	59.37
2.07	0	56.73
2.08	0	55.92
2.09	0	58.38
2.1	0	61.9
2.11	0	64.52
2.12	0	66.03
2.13	0	66.21
2.14	0	66.28
2.15	0	66.6
2.16	0	66.53
2.17	0	65.49
2.18	0	63.79
2.19	0	62.08
2.2	0	60.25
2.21	0	57.71
2.22	0	54.56
2.23	0	51.76
2.24	0	48.77
2.25	0	46.86
2.26	0	45.18
2.27	0	43.17
2.28	0	42.65
2.29	0	42
2.3	0	40.54
2.31	0	39.64
2.32	0	37.77
2.33	0	33.57
2.34	0	30.97
2.35	0	30.19
2.36	0	29.07
2.37	0	27.84
2.38	0	28.81
2.39	0	28.23
2.4	0	26.42
2.41	0	0
2.42	0	0
2.43	0	0
?	?	?
