time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	24.25
0.04	0	24.23
0.05	0	24.63
0.06	0	25.91
0.07	0	27.64
0.08	0	29.77
0.09	0	32.36
0.1	0	35.61
0.11	0	38.69
0.12	0	40.96
0.13	0	44.12
0.14	0	46.89
0.15	0	49.23
0.16	0	50.48
0.17	0	53.08
0.18	0	60.44
0.19	0	66.18
0.2	117.98	68.47
0.21	114.54	69.15
0.22	112.33	69.19
0.23	112.15	68.63
0.24	110.68	67.36
0.25	106.75	65.05
0.26	0	62.33
0.27	0	63.54
0.28	0	68.42
0.29	0	72.81
0.3	0	74.64
0.31	0	75.39
0.32	0	74.74
0.33	0	73.64
0.34	0	73.53
0.35	0	72.05
0.36	0	69.72
0.37	0	68.28
0.38	0	67.22
0.39	0	65.8
0.4	0	63.2
0.41	0	61.1
0.42	0	58.57
0.43	0	56.83
0.44	0	58.6
0.45	109.78	64.24
0.46	115.36	67.9
0.47	114.98	70.68
0.48	114.69	73.22
0.49	116.79	75.51
0.5	117.87	78.08
0.51	118.86	80.39
0.52	118.76	81.46
0.53	117.67	81.68
0.54	115.91	82.51
0.55	114.47	83.41
0.56	113.94	83.76
0.57	113.64	83.91
0.58	113.07	83.93
0.59	112.21	83.8
0.6	110.85	83.48
0.61	109	82.84
0.62	107.38	82.02
0.63	105.9	80.91
0.64	105.09	79.41
0.65	105.16	77.4
0.66	102.54	73.94
0.67	100.23	68.01
0.68	101.56	59.52
0.69	0	53
0.7	0	52
0.71	0	52
0.72	0	52.27
0.73	0	52.89
0.74	0	53.11
0.75	0	52.01
0.76	0	49.28
0.77	0	47.22
0.78	0	54.94
0.79	0	59.08
0.8	0	56.32
0.81	0	50.69
0.82	0	45.38
0.83	0	37.59
0.84	0	28.42
0.85	0	25.05
0.86	0	35.94
0.87	0	52.21
0.88	0	58.15
0.89	0	57.5
0.9	0	55.14
0.91	0	54.54
0.92	0	55.6
0.93	131.29	59.75
0.94	127.83	63.65
0.95	123.03	67.23
0.96	119.02	71.71
0.97	113.97	75.87
0.98	110.65	78.59
0.99	109.12	79.71
1	109.06	80.12
1.01	109.18	80.6
1.02	108.59	80.88
1.03	107.99	80.83
1.04	107.5	80.59
1.05	107.21	80.21
1.06	106.52	79.65
1.07	106.03	78.93
1.08	105.96	78.15
1.09	105.63	77.29
1.1	105.09	76.68
1.11	104.48	76.05
1.12	103.36	74.68
1.13	102.61	72.1
1.14	100.8	68.36
1.15	98.86	64.45
1.16	97.83	61.62
1.17	0	61.05
1.18	0	63.52
1.19	0	66.03
1.2	0	66.99
1.21	0	66.71
1.22	0	66.35
1.23	0	67.14
1.24	0	67.57
1.25	0	64.44
1.26	0	60.12
1.27	100.29	60.54
1.28	98.58	62.93
1.29	94.06	65.13
1.3	90.53	66.74
1.31	89.16	67.36
1.32	88.52	66.95
1.33	88.17	67.38
1.34	87.64	67.9
1.35	87.17	67.31
1.36	87.55	67.17
1.37	87.88	67.34
1.38	88.34	67.8
1.39	89.25	68.42
1.4	89.95	69.06
1.41	90.22	69.56
1.42	90.87	69.94
1.43	91.96	71.59
1.44	91.53	72.99
1.45	90.76	72.42
1.46	90.43	70.99
1.47	90.28	69.44
1.48	90.81	68.27
1.49	90.83	67.62
1.5	90.12	67.06
1.51	89.49	65.94
1.52	89.38	63.53
1.53	89.31	60.42
1.54	0	57.28
1.55	0	51.94
1.56	0	48.26
1.57	0	46.6
1.58	0	45.63
1.59	0	44.44
1.6	0	42.59
1.61	0	40.31
1.62	0	37.7
1.63	0	35.58
1.64	0	35.18
1.65	0	35.1
1.66	0	34.82
1.67	0	33.59
1.68	0	32.47
1.69	0	31.71
1.7	0	31.29
1.71	0	0
1.72	0	0
?	?	?
