time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.73
0.05	0	27.21
0.06	0	26.27
0.07	0	25.52
0.08	0	25.5
0.09	0	25.89
0.1	0	25.74
0.11	0	27.51
0.12	0	33.77
0.13	0	39.77
0.14	0	44.94
0.15	0	48.34
0.16	0	49.22
0.17	0	50.95
0.18	0	60.94
0.19	0	67.39
0.2	0	69.13
0.21	138.34	68.48
0.22	138.08	66.44
0.23	133.32	64.36
0.24	133.35	66.31
0.25	0	70.62
0.26	0	73.13
0.27	0	74.05
0.28	0	74.7
0.29	0	74.85
0.3	0	74.09
0.31	0	72.32
0.32	0	69.48
0.33	0	65.83
0.34	0	61.23
0.35	0	56.58
0.36	0	56.37
0.37	138.4	63.61
0.38	138.08	68.69
0.39	141.23	71.86
0.4	146.02	74.39
0.41	151	77.07
0.42	155.33	80.29
0.43	158.5	83.2
0.44	161.79	85.1
0.45	165.67	85.9
0.46	170.46	85.82
0.47	175.9	84.97
0.48	180.18	83.22
0.49	182.94	80.07
0.5	184.08	75.89
0.51	182.72	71.21
0.52	175.22	68.03
0.53	167.34	67.1
0.54	160.17	66.4
0.55	150.26	65.73
0.56	132.39	67.33
0.57	127.57	71.29
0.58	122.74	73.74
0.59	117.91	74.67
0.6	113.19	75.49
0.61	111.65	76.44
0.62	111.74	77.38
0.63	112.29	77.67
0.64	112.67	77.3
0.65	112.95	76.34
0.66	113.04	72.4
0.67	0	62.27
0.68	0	48.9
0.69	0	39.26
0.7	0	31.87
0.71	0	31.18
0.72	0	42.67
0.73	0	54.01
0.74	108.12	64.4
0.75	107.66	72.67
0.76	106.7	76.13
0.77	103.37	76.84
0.78	102.02	76.65
0.79	101.24	76.3
0.8	100.34	76.06
0.81	99.72	75.39
0.82	99.94	74.28
0.83	99.99	73.19
0.84	99.04	71.8
0.85	97.84	69.33
0.86	96.29	65.7
0.87	94.31	61.15
0.88	0	56.24
0.89	0	52.87
0.9	0	52.87
0.91	0	56.13
0.92	108.18	62.47
0.93	107.58	66.29
0.94	104.4	65.92
0.95	0	61.92
0.96	0	57.63
0.97	0	56.66
0.98	0	60.54
0.99	117.45	65.47
1	118.34	69.33
1.01	118.73	71.47
1.02	118.77	71.74
1.03	118.29	70.57
1.04	117	67.23
1.05	115.24	62.86
1.06	0	58.35
1.07	0	54.13
1.08	0	52.12
1.09	0	51.56
1.1	0	50.96
1.11	0	49.93
1.12	0	49.4
1.13	0	49.53
1.14	0	50.11
1.15	0	58.35
1.16	155.27	67.55
1.17	156.54	70.82
1.18	158.67	71.22
1.19	160.87	71.15
1.2	162.63	71.09
1.21	164.37	71.1
1.22	166.75	71.28
1.23	168.78	71.63
1.24	169.93	71.95
1.25	170.16	72.08
1.26	169.23	71.96
1.27	166.55	71.7
1.28	162.34	71.47
1.29	151.78	71.85
1.3	144.56	73.57
1.31	141.52	74.73
1.32	134.92	73.26
1.33	118.13	71.76
1.34	109.72	71.2
1.35	104.37	70.49
1.36	84.66	70.34
1.37	83.64	71.26
1.38	84.13	71.95
1.39	84.35	71.2
1.4	84.39	69.64
1.41	94.41	68.37
1.42	92.99	67.1
1.43	93.05	65.86
1.44	0	63.3
1.45	0	57.99
1.46	0	54.33
1.47	0	49.99
1.48	0	43.97
1.49	0	41.17
1.5	0	39.43
1.51	0	36.61
1.52	0	35.18
1.53	0	35.77
1.54	0	36.52
1.55	0	35.74
1.56	0	0
1.57	0	0
1.58	0	0
