time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	23.95
0.04	0	23.12
0.05	0	22.46
0.06	0	22.33
0.07	0	24.75
0.08	0	29.23
0.09	0	31.47
0.1	0	29.55
0.11	0	25.25
0.12	0	25.49
0.13	0	47.01
0.14	0	59.06
0.15	0	61.93
0.16	0	58.17
0.17	0	56.85
0.18	0	58.01
0.19	0	64.38
0.2	139.08	72.75
0.21	139.25	77.89
0.22	139.08	81.05
0.23	139.31	82.26
0.24	139.69	81.95
0.25	139.98	79.21
0.26	140.75	72.87
0.27	139.98	68.47
0.28	137.74	68.23
0.29	135.55	68.2
0.3	132.73	67.71
0.31	130.99	66.96
0.32	133.23	67.85
0.33	132.5	68.45
0.34	129.71	67.15
0.35	129.19	64.96
0.36	136.02	65.12
0.37	141.96	67.94
0.38	145.48	70.44
0.39	151.01	73.92
0.4	153.08	78.31
0.41	149.94	81.46
0.42	145.35	83.27
0.43	142.55	84.28
0.44	142.97	84.43
0.45	144.34	84.19
0.46	145.23	84.01
0.47	145.43	84.05
0.48	144.83	84.11
0.49	143.35	84.02
0.5	141.04	83.6
0.51	138.09	82.88
0.52	134.38	81.96
0.53	130.36	80.87
0.54	126.53	79.48
0.55	123.08	77.38
0.56	119.88	74.33
0.57	117.45	70.2
0.58	114.82	66.3
0.59	112.53	65.08
0.6	110.82	64.86
0.61	110.03	64.53
0.62	110.08	64.47
0.63	110.42	65.61
0.64	110.72	67.65
0.65	110.34	69.94
0.66	109.54	72.59
0.67	109.13	75.11
0.68	109.03	77.13
0.69	108.6	78.44
0.7	108.09	79.37
0.71	107.75	80.25
0.72	108.41	81.09
0.73	109.44	82
0.74	110.16	82.82
0.75	110.89	83.28
0.76	111.85	83.37
0.77	113.32	83.29
0.78	114.55	83.18
0.79	115.44	82.89
0.8	115.99	81.65
0.81	115.79	78.27
0.82	116.41	73.74
0.83	119.8	74.46
0.84	120.62	76.61
0.85	118.3	76.76
0.86	115.95	76.07
0.87	114.87	75.15
0.88	115.19	74.09
0.89	116.21	73.03
0.9	117.33	72.85
0.91	118.73	73.69
0.92	120.25	75.2
0.93	121.3	76.97
0.94	122.27	78.74
0.95	123.19	80.31
0.96	123.74	81.25
0.97	124	81.53
0.98	123.97	81.23
0.99	124.3	80.89
1	123.97	80.45
1.01	122.29	79.75
1.02	120.48	79.33
1.03	118.07	79.19
1.04	115.56	79.13
1.05	112.25	78.99
1.06	108.73	78.69
1.07	104.16	77.97
1.08	99.85	76.85
1.09	96.46	75.69
1.1	94.09	74.71
1.11	90.9	73.87
1.12	89.26	72.93
1.13	90.03	71.46
1.14	87.32	69.35
1.15	84.93	67.01
1.16	81.2	63.42
1.17	79.13	59.09
1.18	81.29	55.82
1.19	0	53.3
1.2	0	50
1.21	0	49.34
1.22	0	48.07
1.23	0	46.01
1.24	0	45.08
1.25	0	43.99
1.26	0	42.53
1.27	0	42.49
1.28	0	42.71
1.29	0	42.58
1.3	0	42.26
1.31	0	42
1.32	0	42.32
1.33	0	42.01
1.34	0	41.12
1.35	0	40.6
1.36	0	40.34
1.37	0	39.98
1.38	0	39.69
1.39	0	39.76
1.4	0	39.64
1.41	0	39.65
1.42	0	39.17
1.43	0	38.32
1.44	0	37.8
1.45	0	37.13
1.46	0	36.66
1.47	0	36.37
1.48	0	36.04
1.49	0	35.44
1.5	0	35.11
1.51	0	34.84
1.52	0	34.82
1.53	0	34.7
1.54	0	33.45
1.55	0	32.11
1.56	0	31.74
1.57	0	31.75
1.58	0	31.19
1.59	0	30.37
1.6	0	29.61
1.61	0	29.23
1.62	0	29.27
1.63	0	0
1.64	0	0
1.65	0	0
?	?	?
