time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.96
0.04	0	33.08
0.05	0	32.49
0.06	0	31.61
0.07	0	32.71
0.08	0	33.88
0.09	0	33.64
0.1	0	35.91
0.11	0	46.58
0.12	0	58.15
0.13	125.74	66.12
0.14	125.48	70.14
0.15	125.43	72.98
0.16	125.55	76.06
0.17	124.41	78.17
0.18	125.08	80.04
0.19	126.38	82.34
0.2	126.76	83.41
0.21	126.87	83.39
0.22	127.95	83.14
0.23	129.62	83.05
0.24	131.26	82.84
0.25	133.77	82.13
0.26	137.64	81.03
0.27	140.49	80.26
0.28	143.44	79.32
0.29	148.78	77.6
0.3	0	72.93
0.31	0	62.64
0.32	0	63.64
0.33	0	69.22
0.34	151.83	73.45
0.35	153.02	76.17
0.36	153.89	76.49
0.37	153.08	75.92
0.38	151.95	74.93
0.39	151.06	73.87
0.4	150.72	73.2
0.41	151.36	73.12
0.42	151.44	73.43
0.43	150.57	73.7
0.44	150.29	73.81
0.45	149.31	74
0.46	147.67	74.17
0.47	146.6	74.21
0.48	145.68	73.62
0.49	144.32	71.04
0.5	142.66	68.48
0.51	141.82	68.15
0.52	141.11	68.04
0.53	140.17	67.94
0.54	139.46	67.83
0.55	140.57	68.58
0.56	141.31	71.63
0.57	140.14	74.22
0.58	140.47	75.12
0.59	141.56	75.1
0.6	141.27	74.9
0.61	139.9	74.6
0.62	139.34	74.38
0.63	138.85	74.33
0.64	137.35	74.17
0.65	135.34	73.75
0.66	133.64	73.07
0.67	131.75	71.89
0.68	130.13	68.28
0.69	0	60.56
0.7	0	53.78
0.71	0	52.01
0.72	0	50.39
0.73	0	48.52
0.74	0	46.67
0.75	0	46.01
0.76	0	46.47
0.77	0	45.71
0.78	0	43.52
0.79	0	40.75
0.8	0	37.95
0.81	0	37.79
0.82	0	50.94
0.83	0	61.64
0.84	0	70.69
0.85	0	75.36
0.86	128.75	76.48
0.87	127.98	77.67
0.88	127.69	78.84
0.89	127.91	79.07
0.9	128.37	78.2
0.91	129.19	76.33
0.92	129.94	73.2
0.93	0	66.85
0.94	0	55.18
0.95	0	54.62
0.96	0	64.3
0.97	0	66.73
0.98	0	64.25
0.99	0	65.79
1	136.87	71.24
1.01	137.21	74.84
1.02	137.11	76.49
1.03	136.22	77.15
1.04	134.2	77.19
1.05	132.31	76.65
1.06	130.93	75.9
1.07	129.75	75.43
1.08	127.75	75.22
1.09	126.77	75.54
1.1	126.07	76.13
1.11	125.38	75.89
1.12	124.14	75
1.13	122.63	74
1.14	121.22	72.09
1.15	119.98	68.36
1.16	119.57	64.69
1.17	119.28	63.95
1.18	119.23	63.48
1.19	118.68	62.54
1.2	115.31	60.63
1.21	0	57.07
1.22	0	51.78
1.23	0	47.23
1.24	0	45.89
1.25	0	49.26
1.26	0	59.12
1.27	0	68.08
1.28	129.87	73.49
1.29	125.1	76.64
1.3	121	77.74
1.31	120.63	77.82
1.32	121.41	78.85
1.33	123.04	80.47
1.34	124.17	81.42
1.35	123.83	82.22
1.36	123.5	83.1
1.37	123.83	82.78
1.38	123.27	81.14
1.39	122.73	77.57
1.4	116.61	72.41
1.41	120.31	73.14
1.42	122.36	76.15
1.43	122.3	77.75
1.44	121.39	78.04
1.45	120.19	77.68
1.46	119.21	77.03
1.47	118.23	76.49
1.48	117.33	76.06
1.49	115.9	75.26
1.5	114.18	73.69
1.51	111.74	70.16
1.52	104.6	63.04
1.53	0	53.07
1.54	0	48.07
1.55	0	48.21
1.56	0	48.37
1.57	0	48.11
1.58	0	47.54
1.59	0	50.23
1.6	0	58.88
1.61	0	67.55
1.62	120.9	73.15
1.63	118.78	75.54
1.64	117.68	75.99
1.65	117.53	75.73
1.66	118.32	76.1
1.67	118.23	75.61
1.68	118.28	74.06
1.69	118.42	72.62
1.7	119.22	72.09
1.71	119.35	72.34
1.72	118.95	73.4
1.73	118.71	73.95
1.74	118.09	73.93
1.75	117.17	74.31
1.76	116.12	74.42
1.77	114.28	74.7
1.78	112.6	74.92
1.79	111.58	73.74
1.8	110.7	72.95
1.81	108.88	72.54
1.82	107.32	72.16
1.83	106.96	72.39
1.84	104.35	72.14
1.85	105.12	71.33
1.86	108.99	71.13
1.87	101.94	69.44
1.88	0	66.18
1.89	0	61.2
1.9	107.46	56.77
1.91	106.79	55.77
1.92	0	54.86
1.93	0	54.02
1.94	0	53.37
1.95	0	52.96
1.96	0	52.36
1.97	0	51.28
1.98	0	50.39
1.99	0	51.61
2	0	52.27
2.01	0	55.83
2.02	0	59.65
2.03	0	63.86
2.04	0	69.55
2.05	220.04	72.2
2.06	0	70.72
2.07	0	66.95
2.08	0	65.55
2.09	0	65.11
2.1	0	65.25
2.11	0	66.4
2.12	0	65.93
2.13	0	64.09
2.14	0	62.45
2.15	0	61.89
2.16	0	61.54
2.17	0	57.79
2.18	0	50.95
2.19	0	46.26
2.2	0	43.97
2.21	0	42.97
2.22	0	42.06
2.23	0	41.86
2.24	0	41.59
2.25	0	41.1
2.26	0	42.65
2.27	0	44.16
2.28	0	0
2.29	0	0
2.3	0	0
