time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.68
0.04	0	28.33
0.05	0	29.2
0.06	0	29.69
0.07	0	35.5
0.08	0	36.12
0.09	0	32.24
0.1	0	33.42
0.11	0	35.18
0.12	0	34.98
0.13	0	38.02
0.14	0	43.73
0.15	0	42.45
0.16	0	36.6
0.17	0	35.68
0.18	0	37.07
0.19	0	37.49
0.2	0	38.03
0.21	0	40.55
0.22	0	51.56
0.23	162.87	62.56
0.24	152.72	67.6
0.25	145.6	69.12
0.26	143.55	69.55
0.27	142.49	69.68
0.28	141.51	69.28
0.29	140.77	68.58
0.3	139.54	68.13
0.31	138.11	67.89
0.32	136.71	68.1
0.33	136.66	68.75
0.34	138.75	69.87
0.35	141.89	71.81
0.36	143.98	74.47
0.37	146.1	76.91
0.38	146.46	78.13
0.39	145.86	78.92
0.4	145.23	80.58
0.41	144.86	81.99
0.42	144.12	82.11
0.43	144.2	80.55
0.44	147.78	76.48
0.45	0	68.08
0.46	0	54.07
0.47	0	37.38
0.48	0	44.03
0.49	0	56.59
0.5	0	60.18
0.51	0	55.75
0.52	0	47.44
0.53	0	46.04
0.54	0	44.55
0.55	0	47.22
0.56	0	54.54
0.57	147.18	58.05
0.58	146.99	58.63
0.59	145.1	58.65
0.6	141.33	58.77
0.61	138.66	58.6
0.62	0	56.56
0.63	0	52.03
0.64	0	46.08
0.65	0	47.89
0.66	137	54.75
0.67	136.17	59.08
0.68	135.19	61.43
0.69	134.69	62.79
0.7	133.82	63.44
0.71	132.83	63.69
0.72	133.13	64.81
0.73	131.75	67.86
0.74	130.45	70.41
0.75	130.03	71.81
0.76	129.63	72.78
0.77	129.44	73.52
0.78	129.57	74.01
0.79	129.34	74.53
0.8	129.31	75.08
0.81	130.01	75.5
0.82	131.09	75.89
0.83	131.61	76.45
0.84	131.37	76.96
0.85	130.86	77.11
0.86	130.41	77
0.87	130.23	76.65
0.88	129.31	76.11
0.89	128.25	75.13
0.9	128	73.29
0.91	128.61	70.55
0.92	123.69	66.23
0.93	121.61	61.01
0.94	0	59.25
0.95	0	60.15
0.96	0	62.18
0.97	0	62.28
0.98	0	62.58
0.99	0	64.11
1	0	62.46
1.01	0	59.42
1.02	0	56.43
1.03	0	53.82
1.04	0	51.84
1.05	0	50.94
1.06	0	57.61
1.07	0	65.73
1.08	130.77	69.73
1.09	129.21	71.04
1.1	122.91	70.21
1.11	116.96	68.28
1.12	113.09	66.37
1.13	108.22	64.54
1.14	104.98	62.17
1.15	0	60.72
1.16	0	62.53
1.17	0	64.26
1.18	0	64.26
1.19	0	61.13
1.2	0	54.14
1.21	0	45.44
1.22	0	37.95
1.23	0	37.54
1.24	0	43.16
1.25	0	51.14
1.26	0	56.78
1.27	0	60.46
1.28	0	63.39
1.29	0	63.13
1.3	0	64.08
1.31	132.57	70.02
1.32	126.71	73.98
1.33	125.03	77.05
1.34	124.62	79.19
1.35	122.52	79.88
1.36	120.49	80.81
1.37	119.03	82.02
1.38	118.36	82.67
1.39	118.39	83.05
1.4	117.51	82.88
1.41	116.65	81.5
1.42	118.28	78.83
1.43	119.04	75.16
1.44	0	70.91
1.45	0	65.62
1.46	0	54.84
1.47	0	37.66
1.48	0	38.44
1.49	0	50.75
1.5	0	54.67
1.51	0	50.74
1.52	0	51.73
1.53	0	63.14
1.54	0	69.57
1.55	0	70.97
1.56	0	69.35
1.57	0	65.19
1.58	0	58.97
1.59	0	48
1.6	0	39.61
1.61	0	35.63
1.62	0	29.49
1.63	0	26.24
1.64	0	30.95
1.65	0	36.95
1.66	0	42.73
1.67	0	48.96
1.68	0	53.42
1.69	0	55.63
1.7	0	57.3
1.71	120.57	58.31
1.72	118.54	59.52
1.73	117.59	60.57
1.74	116.71	60.76
1.75	114.27	60.02
1.76	111.52	58.77
1.77	108.7	57.14
1.78	0	54.14
1.79	0	51.56
1.8	0	55.71
1.81	0	59.54
1.82	0	62.4
1.83	0	64.02
1.84	0	63.08
1.85	0	60.49
1.86	0	58.05
1.87	0	54.56
1.88	0	53.91
1.89	0	64.94
1.9	0	73.21
1.91	125.91	77.24
1.92	123.21	78.88
1.93	119.51	79.61
1.94	117.33	80.43
1.95	115.57	81.24
1.96	114.28	81.29
1.97	112.93	80.87
1.98	111.58	80.37
1.99	110.74	80.09
2	110.43	79.85
2.01	111.17	79.91
2.02	111.35	80.47
2.03	110.56	80.11
2.04	109.27	78.94
2.05	108.65	77.46
2.06	107.74	75.66
2.07	106.93	73.62
2.08	105.41	70.58
2.09	0	65.36
2.1	0	62.01
2.11	0	62.15
2.12	0	63.14
2.13	0	62.39
2.14	0	61.48
2.15	0	59.61
2.16	0	57.63
2.17	0	57.2
2.18	0	58.57
2.19	0	60.11
2.2	0	59.22
2.21	0	57.72
2.22	0	60.04
2.23	0	56.78
2.24	0	54.4
2.25	128.11	57.05
2.26	128.44	57.86
2.27	129.05	56.46
2.28	0	51.83
2.29	0	48.63
2.3	0	51.63
2.31	0	53.41
2.32	0	54.07
2.33	0	53.84
2.34	0	53.53
2.35	0	53.49
2.36	0	52.14
2.37	0	50.45
2.38	0	46.74
2.39	0	40.79
2.4	0	35.57
2.41	0	33.25
2.42	0	32.78
2.43	0	31.68
2.44	0	29.34
2.45	0	26.03
2.46	0	26.08
2.47	0	26.69
2.48	0	26.82
2.49	0	0
2.5	0	0
2.51	0	0
?	?	?
