time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.1
0.05	0	23.64
0.06	0	22.64
0.07	0	22.4
0.08	0	23.64
0.09	0	24.64
0.1	0	26.21
0.11	0	29.03
0.12	0	34.5
0.13	0	42.59
0.14	0	57.29
0.15	0	66.91
0.16	137.24	71.22
0.17	130.88	72.68
0.18	126.69	70.5
0.19	125.74	66.41
0.2	124.45	64.72
0.21	122.76	64.22
0.22	123.01	66.48
0.23	122.26	73.03
0.24	122.47	78.04
0.25	123.45	80.16
0.26	124.36	79.04
0.27	0	74.62
0.28	0	65.21
0.29	0	55.08
0.3	0	59.11
0.31	0	68.85
0.32	0	77.06
0.33	148.6	80.81
0.34	147.65	82.02
0.35	0	82.2
0.36	0	81.47
0.37	118.86	79.9
0.38	120.86	77.98
0.39	123.12	76.68
0.4	0	75.56
0.41	0	74.71
0.42	151.06	74.69
0.43	148.97	73.1
0.44	0	68.79
0.45	0	63.73
0.46	0	61.07
0.47	0	61.48
0.48	0	59.97
0.49	0	61.08
0.5	0	65.23
0.51	181.4	71.67
0.52	182.17	76.23
0.53	183.84	78.21
0.54	182.28	78.5
0.55	181.01	77.47
0.56	180.26	75.82
0.57	177.92	74.91
0.58	175.79	73.13
0.59	174.43	68.32
0.6	171.05	63.53
0.61	166.71	62.75
0.62	162.83	62.66
0.63	158.98	62.22
0.64	154.23	63.08
0.65	144.01	68.07
0.66	138.29	71.44
0.67	133.5	72.24
0.68	129.27	72.1
0.69	122.59	71.17
0.7	113.37	68.22
0.71	0	62.02
0.72	0	55.58
0.73	0	51.2
0.74	0	48.45
0.75	0	49.75
0.76	0	55.16
0.77	122.07	58.74
0.78	127.83	59.65
0.79	140.61	61.84
0.8	146.24	68.62
0.81	151.27	73.81
0.82	158.17	76.43
0.83	163.92	77.32
0.84	168.95	76.81
0.85	174.62	75.89
0.86	177.04	73.74
0.87	176.74	67.65
0.88	0	57.94
0.89	0	55.05
0.9	0	56.01
0.91	0	57.1
0.92	158.44	57.79
0.93	147.26	58.85
0.94	137.12	64.16
0.95	121.76	71.84
0.96	116.71	74.68
0.97	113.29	75.31
0.98	110.96	75.2
0.99	109.7	73.81
1	110.26	72.81
1.01	109.27	72.83
1.02	109.72	72.52
1.03	109.27	72.36
1.04	110.06	71.51
1.05	110.85	69.73
1.06	111.09	66.27
1.07	0	59.7
1.08	0	47.38
1.09	0	37.11
1.1	0	33.53
1.11	0	28.82
1.12	0	36.02
1.13	0	50.73
1.14	0	59.58
1.15	0	64.66
1.16	0	67.23
1.17	0	69.73
1.18	0	71.63
1.19	0	71.47
1.2	0	70.99
1.21	0	70.28
1.22	0	68.67
1.23	0	67.16
1.24	156.91	69.11
1.25	156.32	70.97
1.26	154.34	70.56
1.27	152.02	69.32
1.28	148.06	68.41
1.29	143.17	68.1
1.3	138.26	68.26
1.31	134.59	68.82
1.32	130.86	69.21
1.33	125.51	69.45
1.34	120.22	69.28
1.35	113.16	68.35
1.36	109.48	67.58
1.37	0	66.02
1.38	0	64.86
1.39	0	66.93
1.4	0	68.3
1.41	0	67
1.42	0	62.29
1.43	0	52.37
1.44	0	36.73
1.45	0	26.77
1.46	0	27.76
1.47	0	40.73
1.48	0	57.13
1.49	0	63.96
1.5	0	65.29
1.51	0	65.02
1.52	0	66.04
1.53	0	66.21
1.54	0	67.43
1.55	0	71.96
1.56	143.65	77.2
1.57	141.45	80.73
1.58	138.62	81.36
1.59	136.66	79.61
1.6	130.66	77.94
1.61	128.53	76.85
1.62	127.51	76.49
1.63	127.2	76.48
1.64	125.05	76.61
1.65	122.45	76.84
1.66	119.86	77.21
1.67	118.91	77.64
1.68	119.45	78.02
1.69	120.01	78.18
1.7	120.31	78.22
1.71	120.2	78.04
1.72	120.97	77.4
1.73	121.81	76.73
1.74	120.23	75.69
1.75	116.27	72.55
1.76	0	65.07
1.77	0	60.85
1.78	0	69.5
1.79	0	75.45
1.8	111.45	78.44
1.81	111.05	79.54
1.82	110.84	78.18
1.83	117.01	76.56
1.84	0	78.26
1.85	111.39	78.58
1.86	114.33	78.52
1.87	115.08	78.99
1.88	114.1	78.82
1.89	112.43	78.87
1.9	110.68	77.3
1.91	111.77	73.93
1.92	111.36	72.67
1.93	106.54	72.2
1.94	102.62	71.95
1.95	99.9	69.2
1.96	0	65.01
1.97	0	63.93
1.98	0	61.97
1.99	0	62.29
2	0	58.16
2.01	0	45.42
2.02	0	39.21
2.03	0	36.46
2.04	0	31.03
2.05	0	26.68
2.06	0	23.5
2.07	0	22.71
2.08	0	23.48
2.09	0	24.72
2.1	0	0
2.11	0	0
2.12	0	0
