time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.07
0.05	0	27.05
0.06	0	27.98
0.07	0	30.89
0.08	0	33.6
0.09	0	36.76
0.1	0	40.35
0.11	0	43.89
0.12	0	47.89
0.13	0	55.81
0.14	0	60.85
0.15	0	66.82
0.16	129.45	73.92
0.17	130.53	77.59
0.18	131.67	79.82
0.19	133.56	81.01
0.2	137.84	81.16
0.21	141.35	80.97
0.22	144.24	80.6
0.23	147.62	80
0.24	151.25	79.18
0.25	154.02	78.15
0.26	155.35	75.51
0.27	157.3	70.21
0.28	159.46	66.19
0.29	160.13	64.84
0.3	158.94	63.41
0.31	155.26	63.33
0.32	150.62	64.55
0.33	147.89	64.42
0.34	144.74	63.31
0.35	142.47	62.38
0.36	142.42	62.31
0.37	143.26	63.73
0.38	143.99	65.17
0.39	144.67	66.19
0.4	145.6	67.52
0.41	146.06	68.47
0.42	144.64	68.89
0.43	142.17	69.13
0.44	139.73	69.31
0.45	136.66	69.22
0.46	133.36	68.77
0.47	130.1	68.2
0.48	126.22	66.91
0.49	123.87	65.59
0.5	124.77	65.2
0.51	126.8	65.84
0.52	132.72	67.66
0.53	137.64	70.7
0.54	139.49	73.89
0.55	140.96	76.55
0.56	141.3	78.15
0.57	141.09	78.42
0.58	140.94	78.44
0.59	141.12	78.76
0.6	141.51	79.06
0.61	142.39	79.26
0.62	143.45	79.46
0.63	143.87	79.5
0.64	143.72	79.16
0.65	142.79	78.21
0.66	141.11	76.66
0.67	139.32	73.64
0.68	0	68.51
0.69	0	60.7
0.7	0	52.12
0.71	0	47.86
0.72	0	47.26
0.73	0	48.21
0.74	0	50.52
0.75	0	54.59
0.76	0	58.11
0.77	116.78	62.88
0.78	115.89	66.92
0.79	113.68	68.94
0.8	112.18	69.57
0.81	111.81	70.13
0.82	111.82	71.23
0.83	111.98	72.74
0.84	112.97	74.39
0.85	115.56	76.05
0.86	118.14	77.01
0.87	120.49	76.7
0.88	123.1	76.89
0.89	125.16	78.24
0.9	126.98	79.72
0.91	128.92	80.81
0.92	131.09	81.54
0.93	133.61	82.08
0.94	136.48	82.61
0.95	139.71	82.97
0.96	142.88	83.11
0.97	145.85	83.12
0.98	148.45	82.71
0.99	149.86	81.37
1	149.96	77.37
1.01	148.6	68.53
1.02	149.08	68.3
1.03	150.78	73.33
1.04	151.42	75.33
1.05	151.18	75.12
1.06	149.98	73.7
1.07	147.22	70.79
1.08	142.34	65.9
1.09	0	58.29
1.1	0	49.55
1.11	0	46.56
1.12	0	45.69
1.13	0	45.01
1.14	0	44.31
1.15	0	43.22
1.16	0	49.34
1.17	0	60.46
1.18	140.36	67.49
1.19	136.47	72.12
1.2	132.79	74.45
1.21	131.51	75.42
1.22	130.91	75.87
1.23	130.98	76.25
1.24	131.79	76.53
1.25	133.31	76.51
1.26	134.9	76.37
1.27	136.22	76.39
1.28	137.3	76.48
1.29	138.17	76.5
1.3	138.78	76.26
1.31	139.39	75.49
1.32	139.8	74.14
1.33	139.74	72.51
1.34	139.27	70.69
1.35	138.03	68.43
1.36	135.08	64.93
1.37	0	58.74
1.38	0	52.31
1.39	0	50.46
1.4	0	48.03
1.41	0	40.27
1.42	0	29.38
1.43	0	27.1
1.44	0	33.41
1.45	0	53.43
1.46	0	65.12
1.47	0	67.67
1.48	0	63.64
1.49	0	60.49
1.5	0	58.48
1.51	0	55.95
1.52	0	57.74
1.53	139.43	67.31
1.54	134.09	74.15
1.55	128.11	77.13
1.56	124.94	77.9
1.57	122.84	77.74
1.58	121.51	77.34
1.59	119.76	76.93
1.6	117.77	76.36
1.61	115.8	75.79
1.62	114.02	75.28
1.63	112.28	74.59
1.64	110.52	73.66
1.65	108.7	72.39
1.66	106.72	71.09
1.67	104.64	69.53
1.68	102.43	67.58
1.69	99.92	65.27
1.7	97.01	62.48
1.71	94.32	59.57
1.72	91.37	57.47
1.73	89.8	56.73
1.74	89.56	56.64
1.75	90.23	56.77
1.76	94.5	57.67
1.77	94.65	58.01
1.78	91.45	56.9
1.79	90.38	55.62
1.8	89.57	55.21
1.81	88.7	54.84
1.82	87.35	53.95
1.83	85.36	53.12
1.84	81.58	53.82
1.85	85.45	55.01
1.86	0	53.86
1.87	0	49.33
1.88	0	45.3
1.89	0	44.3
1.9	0	44.94
1.91	0	45.83
1.92	0	44.7
1.93	0	43.76
1.94	0	42.51
1.95	0	40.54
1.96	0	40.36
1.97	0	40.4
1.98	0	41.22
1.99	0	42.53
2	0	41.06
2.01	0	40.09
2.02	0	39.77
2.03	0	39.54
2.04	0	38.77
2.05	0	38.45
2.06	0	37.66
2.07	0	36.53
2.08	0	35.9
2.09	0	0
2.1	0	0
2.11	0	0
?	?	?
