time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.54
0.05	0	25.25
0.06	0	25.7
0.07	0	25.89
0.08	0	25.39
0.09	0	25.14
0.1	0	25.42
0.11	0	25.36
0.12	0	33.02
0.13	0	49.99
0.14	0	64.49
0.15	0	74.14
0.16	147.92	78.6
0.17	134.53	80
0.18	133.71	80.64
0.19	134.27	81.14
0.2	133.51	81.57
0.21	133.36	82.13
0.22	132.82	82.61
0.23	132.09	82.99
0.24	130.35	83.17
0.25	128.28	83.1
0.26	126.94	82.72
0.27	125.34	81.58
0.28	124.38	78.42
0.29	0	71.46
0.3	0	62.8
0.31	0	61.54
0.32	0	61.29
0.33	0	62.39
0.34	0	62.8
0.35	0	61.54
0.36	0	59.64
0.37	0	58.45
0.38	0	58.84
0.39	0	61.38
0.4	147.14	65.24
0.41	146.11	69.14
0.42	146.3	73.27
0.43	146.14	76.27
0.44	144.64	77.84
0.45	144.43	78.38
0.46	144.28	78.3
0.47	144.34	78.07
0.48	144.43	77.65
0.49	144.49	77.07
0.5	144.76	76.29
0.51	145.87	75.45
0.52	147.19	74.51
0.53	148.48	73.54
0.54	149.16	72.73
0.55	149.31	71.98
0.56	148.91	71
0.57	148.14	69.65
0.58	147.46	67.94
0.59	147.03	66.18
0.6	146.44	65.11
0.61	145.33	64.93
0.62	144.16	65.04
0.63	142.73	64.98
0.64	140.64	64.74
0.65	137.77	64.14
0.66	134.42	62.96
0.67	130.44	61.64
0.68	125.64	60.13
0.69	122.99	58.25
0.7	122.32	57.74
0.71	124.03	58.95
0.72	126.43	61.39
0.73	128.45	64.43
0.74	129.75	67.34
0.75	129.79	69.87
0.76	130.04	72.08
0.77	130.14	73.74
0.78	130.2	74.5
0.79	131.07	74.5
0.8	131.62	74.23
0.81	131.57	74.07
0.82	131.5	74.3
0.83	131.62	74.97
0.84	131.71	75.75
0.85	131.65	76.54
0.86	131.38	77.01
0.87	131.33	76.74
0.88	132.47	75.89
0.89	133.83	74.88
0.9	134.51	73.42
0.91	134.02	70.67
0.92	133.21	65.1
0.93	0	59.67
0.94	0	62.53
0.95	0	63.67
0.96	0	63.15
0.97	0	64.07
0.98	0	65.22
0.99	0	65.24
1	0	64.25
1.01	0	63.47
1.02	0	63.3
1.03	0	61.28
1.04	0	58.75
1.05	0	59.54
1.06	0	59.93
1.07	0	57.11
1.08	0	60.16
1.09	0	65.46
1.1	117.84	69.16
1.11	113.12	70.36
1.12	115.64	69.52
1.13	116.13	69.3
1.14	116.78	69.4
1.15	116.91	69.32
1.16	117.26	69.13
1.17	117.03	68.38
1.18	116.43	67.53
1.19	116.03	66.63
1.2	117.48	65.69
1.21	0	66.98
1.22	0	68.16
1.23	0	63.03
1.24	0	59.76
1.25	0	62.07
1.26	0	63.22
1.27	0	63.65
1.28	0	64.78
1.29	107.81	66.26
1.3	105.78	68
1.31	108.43	70.08
1.32	109.93	71.97
1.33	111.75	73.55
1.34	111.69	74.61
1.35	110.64	75.08
1.36	110.39	75.36
1.37	110.23	75.32
1.38	110.13	74.97
1.39	110.87	74.48
1.4	111.13	73.97
1.41	111.68	73.18
1.42	112.05	71.63
1.43	112.76	69.62
1.44	112.66	66.76
1.45	109.55	61.48
1.46	105.32	54.87
1.47	0	49.07
1.48	0	44.93
1.49	0	41.51
1.5	0	45.22
1.51	0	49.25
1.52	0	49.76
1.53	0	50.45
1.54	0	54.05
1.55	110.25	57.93
1.56	106.54	59.12
1.57	0	59.64
1.58	0	60.37
1.59	0	60.29
1.6	0	60.14
1.61	0	59.33
1.62	0	59.25
1.63	0	59.25
1.64	0	58.76
1.65	0	58.36
1.66	0	57.83
1.67	0	57.3
1.68	0	55.57
1.69	0	48.06
1.7	0	39.25
1.71	0	34.58
1.72	0	43.29
1.73	0	52.19
1.74	0	54.92
1.75	0	54.19
1.76	0	51.72
1.77	0	50.15
1.78	0	49.44
1.79	0	49.59
1.8	0	49.09
1.81	0	46.36
1.82	0	43.37
1.83	0	41.13
1.84	0	40.66
1.85	0	41.57
1.86	0	41.91
1.87	0	41.33
1.88	0	40.91
1.89	0	40.62
1.9	0	39.74
1.91	0	0
1.92	0	0
1.93	0	0
