time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.02
0.05	0	31.78
0.06	0	31.78
0.07	0	34.5
0.08	0	43.16
0.09	0	47.85
0.1	0	44.65
0.11	0	36.89
0.12	0	39.01
0.13	0	45.38
0.14	0	46.67
0.15	0	51.76
0.16	0	58.12
0.17	118.6	59.81
0.18	117.49	58.45
0.19	0	55.95
0.2	0	53.4
0.21	0	55.81
0.22	0	61.36
0.23	122.74	65.43
0.24	122.86	69.13
0.25	128.86	73.98
0.26	131.78	77.86
0.27	133.89	80.15
0.28	135.8	81.9
0.29	136.36	83.25
0.3	136.43	83.92
0.31	136.4	83.99
0.32	136.72	83.53
0.33	136.44	82.22
0.34	135.12	79.29
0.35	0	74.07
0.36	0	72.41
0.37	0	77.62
0.38	0	80.81
0.39	0	80.64
0.4	0	79.93
0.41	0	80.29
0.42	0	80.95
0.43	0	78.15
0.44	0	71.01
0.45	0	64.87
0.46	0	62.11
0.47	0	58.88
0.48	0	54.8
0.49	0	61.26
0.5	135.27	69.35
0.51	129.92	73.93
0.52	124.33	76.85
0.53	119.35	77.94
0.54	115.73	77.51
0.55	113.35	76.54
0.56	112.13	75.16
0.57	110.23	73.39
0.58	0	70.83
0.59	0	64.88
0.6	0	56.15
0.61	0	48.06
0.62	0	47.56
0.63	0	55.55
0.64	0	57.62
0.65	0	55.02
0.66	0	57.78
0.67	125.11	66.06
0.68	123.93	69.62
0.69	116.35	69.67
0.7	110.99	68.24
0.71	108.95	66.42
0.72	108.73	65.09
0.73	107.37	63.6
0.74	105.21	61.2
0.75	0	60.64
0.76	0	67.18
0.77	0	71.16
0.78	0	73.88
0.79	0	77.51
0.8	0	78.08
0.81	0	77.78
0.82	0	76.99
0.83	0	75.54
0.84	0	73.6
0.85	0	68.74
0.86	0	70.05
0.87	135.65	75.55
0.88	132.94	77.49
0.89	129.53	77.85
0.9	126.53	76.72
0.91	122.87	73.51
0.92	118	67.02
0.93	0	58.68
0.94	0	56.15
0.95	0	55.7
0.96	0	60.96
0.97	0	66.48
0.98	0	66.65
0.99	0	70.53
1	116.71	75.47
1.01	112.42	76.4
1.02	0	73.53
1.03	0	66.19
1.04	0	54.79
1.05	0	48.35
1.06	0	45.82
1.07	0	44.25
1.08	0	44.77
1.09	0	46.96
1.1	0	50.2
1.11	0	53.36
1.12	0	54.61
1.13	0	63.73
1.14	0	75.06
1.15	123.93	80.98
1.16	120.67	83.11
1.17	118.14	83.14
1.18	117.41	83.22
1.19	117.32	84.15
1.2	117.19	84.4
1.21	116.93	83.2
1.22	115.08	79.64
1.23	0	71.64
1.24	0	67.44
1.25	123.31	72.81
1.26	120.36	76.76
1.27	116.56	77.77
1.28	111.47	75.42
1.29	109.81	69.7
1.3	0	63.05
1.31	0	54.52
1.32	0	44.15
1.33	0	38.59
1.34	0	45
1.35	0	55.82
1.36	0	59.99
1.37	0	59.21
1.38	0	54.71
1.39	0	57.7
1.4	0	66.28
1.41	115.58	70.52
1.42	113.13	72.34
1.43	111.16	72.91
1.44	110.9	72.8
1.45	111.12	72.5
1.46	111.32	72.12
1.47	112.09	72.04
1.48	112.5	72.54
1.49	112.3	73.16
1.5	112.14	73.51
1.51	112.18	73.51
1.52	112.23	73.46
1.53	112.27	73.59
1.54	112.27	73.82
1.55	112.08	73.8
1.56	111.51	73.18
1.57	110.61	71.2
1.58	107.58	66.79
1.59	109.73	63.87
1.6	108.65	64.16
1.61	106.19	64.14
1.62	104.03	63.59
1.63	102.89	63.13
1.64	0	64.75
1.65	0	66.47
1.66	0	64.42
1.67	0	61.78
1.68	0	61.36
1.69	0	64.61
1.7	0	68.68
1.71	0	70.48
1.72	0	72.58
1.73	0	76.58
1.74	0	78.83
1.75	0	78.08
1.76	0	74.93
1.77	0	69.35
1.78	0	58.64
1.79	0	49.45
1.8	0	59.38
1.81	0	66.12
1.82	0	67.25
1.83	116.26	71.67
1.84	116.47	75.92
1.85	115.69	76.81
1.86	113.57	76.25
1.87	111.37	75.74
1.88	109.92	75.1
1.89	109.82	74.03
1.9	109.43	73.28
1.91	108.91	72.28
1.92	109.08	70.46
1.93	108.63	68.48
1.94	111.51	67.33
1.95	111.43	66.14
1.96	111.61	66.03
1.97	113.61	66.01
1.98	114.41	65.17
1.99	0	64.58
2	0	64.68
2.01	0	64.15
2.02	0	64.01
2.03	0	64.24
2.04	130.32	64.29
2.05	131.7	64.89
2.06	132.86	64.93
2.07	133.06	62.47
2.08	0	56.37
2.09	0	50.11
2.1	0	47.21
2.11	0	43.8
2.12	0	46.6
2.13	0	48.7
2.14	0	46.38
2.15	0	51.23
2.16	0	53.04
2.17	0	47.2
2.18	0	39.96
2.19	0	37.1
2.2	0	34.61
2.21	0	32.94
2.22	0	32.53
2.23	0	32.44
2.24	0	32.94
2.25	0	33.61
2.26	0	0
2.27	0	0
2.28	0	0
