time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.31
0.04	0	29.96
0.05	0	30.64
0.06	0	32.96
0.07	0	35.5
0.08	0	36.58
0.09	0	38.77
0.1	0	41.77
0.11	0	45.06
0.12	0	47.45
0.13	0	48.93
0.14	0	50.99
0.15	0	53.28
0.16	0	64.75
0.17	126	74.05
0.18	118.57	78.72
0.19	115.01	81.08
0.2	114.12	82.58
0.21	113.31	83.19
0.22	112.16	82.53
0.23	111.08	80.9
0.24	111.04	79.64
0.25	111.67	79.33
0.26	112.31	79.46
0.27	113.23	79.86
0.28	114.37	81.07
0.29	114.23	82.84
0.3	113.11	84.1
0.31	111.66	84.68
0.32	111	85.03
0.33	111.07	85.08
0.34	111.09	84.86
0.35	110.93	84.46
0.36	110.68	83.94
0.37	110.34	83.25
0.38	109.72	82.4
0.39	108.75	81.49
0.4	107.36	80.6
0.41	106.09	79.84
0.42	104.77	79.19
0.43	103.23	78.59
0.44	101.46	77.9
0.45	99.48	76.93
0.46	97.49	75.74
0.47	95.68	74.4
0.48	93.96	72.95
0.49	92.5	71.42
0.5	91.79	70.06
0.51	91.47	69.37
0.52	91.04	69.25
0.53	90.07	69.25
0.54	89.19	69.43
0.55	88.42	69.68
0.56	87.68	69.35
0.57	87.23	68.57
0.58	87.39	67.95
0.59	88	67.89
0.6	88.99	68.22
0.61	90.15	68.7
0.62	91.51	68.99
0.63	92.1	68.54
0.64	92.06	66.73
0.65	91.5	62.55
0.66	93.13	58.98
0.67	94.53	59.07
0.68	96.16	60.39
0.69	96.25	62.05
0.7	95.75	62.95
0.71	95.7	63.2
0.72	95.26	62.88
0.73	94.78	62.47
0.74	94.43	62.18
0.75	94.43	61.48
0.76	94.02	59.89
0.77	93.46	58.52
0.78	93.04	57.99
0.79	92.96	57.89
0.8	92.9	58
0.81	93.2	58.44
0.82	93.93	59.58
0.83	94.75	61.42
0.84	94.85	63.35
0.85	94.87	65.02
0.86	95.49	66.93
0.87	96	68.97
0.88	96.18	70.8
0.89	96.3	72.22
0.9	96.5	73.07
0.91	97.12	73.61
0.92	97.65	73.75
0.93	97.88	73.21
0.94	97.97	72
0.95	97.35	69.09
0.96	97.99	63.52
0.97	98.13	59.86
0.98	97.66	59.74
0.99	97.51	63.97
1	96.76	67.63
1.01	96.7	68.99
1.02	96.96	69.64
1.03	96.61	70.26
1.04	96.2	70.84
1.05	95.79	71.3
1.06	95.51	71.66
1.07	95.57	72.01
1.08	95.58	72.23
1.09	95.5	72.22
1.1	95.19	71.85
1.11	94.5	70.66
1.12	93.12	66.83
1.13	0	58.91
1.14	0	55.96
1.15	0	59.54
1.16	100.43	61.63
1.17	100.73	62.05
1.18	100.42	62.17
1.19	100.26	62.84
1.2	100.71	64.05
1.21	101.43	65.96
1.22	101.79	68.33
1.23	101.26	70.53
1.24	100.11	72.27
1.25	100.1	73.51
1.26	100.7	74.29
1.27	101.28	74.56
1.28	101.79	74.59
1.29	102.46	74.42
1.3	102.95	73.95
1.31	103.86	73.13
1.32	105.25	72.48
1.33	106.64	71.86
1.34	108.14	70.87
1.35	110.04	69.46
1.36	111.78	67.25
1.37	113.64	63.76
1.38	115.8	59.31
1.39	0	56.24
1.4	0	54.49
1.41	0	51.99
1.42	0	49.03
1.43	0	45.71
1.44	0	42.17
1.45	0	38.44
1.46	0	34.54
1.47	0	31.69
1.48	0	30.28
1.49	0	28.51
1.5	0	27.54
1.51	0	0
1.52	0	0
1.53	0	0
?	?	?
