time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	22.84
0.04	0	23.92
0.05	0	25.33
0.06	0	24.7
0.07	0	23.41
0.08	0	23.48
0.09	0	25.2
0.1	0	28.7
0.11	0	33.33
0.12	0	38.44
0.13	0	43.9
0.14	0	47.14
0.15	0	50.31
0.16	0	59.08
0.17	140.41	66.1
0.18	131.51	69.37
0.19	129.39	70.6
0.2	126.86	70.88
0.21	124.75	70.46
0.22	122.31	69.34
0.23	120.3	67.8
0.24	116.98	66.39
0.25	0	67.79
0.26	0	71.17
0.27	0	72.62
0.28	0	71.26
0.29	0	69.72
0.3	0	67.79
0.31	0	61.31
0.32	0	46.3
0.33	0	36.34
0.34	0	55.48
0.35	0	63.94
0.36	0	65.86
0.37	0	65.63
0.38	0	72.67
0.39	0	79.04
0.4	119.09	81.55
0.41	117.87	81.61
0.42	118.68	81.47
0.43	118.76	81.98
0.44	118.35	82.19
0.45	118.25	81.5
0.46	118.49	79.79
0.47	0	76.94
0.48	0	70.86
0.49	0	57.97
0.5	0	38.94
0.51	0	28.85
0.52	0	32.24
0.53	0	40.58
0.54	0	45.96
0.55	0	47.73
0.56	0	48.63
0.57	0	46.72
0.58	0	44.86
0.59	0	49.46
0.6	0	57.74
0.61	112.06	61.78
0.62	113.86	63.28
0.63	113.77	64.24
0.64	112.73	66.35
0.65	111.95	68.23
0.66	111.71	68.97
0.67	111.55	69.29
0.68	110.94	69.39
0.69	110.72	68.92
0.7	110.74	68.07
0.71	110.26	67.27
0.72	109.07	66.13
0.73	108.13	64.44
0.74	105.64	62.33
0.75	0	58.95
0.76	0	52.72
0.77	0	43.13
0.78	0	31.58
0.79	0	24.2
0.8	0	22.79
0.81	0	24.13
0.82	0	43.3
0.83	0	55.72
0.84	0	60.15
0.85	0	60.19
0.86	0	65.63
0.87	110.45	71.28
0.88	108.54	73.27
0.89	105.51	74.12
0.9	103.77	74.14
0.91	101.5	73.39
0.92	98.22	71.85
0.93	95.07	69.53
0.94	93.77	66.39
0.95	0	64.59
0.96	0	64.65
0.97	0	65.38
0.98	0	67.02
0.99	0	68.53
1	0	67.7
1.01	0	62.87
1.02	0	53.55
1.03	0	43.91
1.04	0	47.82
1.05	0	55.69
1.06	0	62.74
1.07	0	67.1
1.08	0	67.56
1.09	0	67.09
1.1	109.56	70.53
1.11	110.52	74.37
1.12	110.04	76.43
1.13	109.61	76.7
1.14	109.53	77.03
1.15	109.2	77.67
1.16	108.74	77.86
1.17	108.96	77.63
1.18	109.54	76.63
1.19	109.97	74.7
1.2	109.97	71.36
1.21	112.96	67.07
1.22	114.92	65.2
1.23	114.39	64.99
1.24	113.15	64.71
1.25	112.34	64.74
1.26	110.17	66.26
1.27	109.96	67.59
1.28	110.14	67.49
1.29	109.45	67.32
1.3	108.85	67.5
1.31	108.38	67.73
1.32	108.46	67.94
1.33	108.92	68.27
1.34	108.48	69.02
1.35	107.52	69.31
1.36	107.07	69.19
1.37	106.47	69.32
1.38	106.35	69.86
1.39	106.39	70.35
1.4	106.45	70.59
1.41	107.11	70.7
1.42	107.15	70.51
1.43	106.58	69.65
1.44	106.04	67.37
1.45	105.74	63.87
1.46	106.42	62.27
1.47	106.62	62.14
1.48	106.42	62.2
1.49	105.77	62.54
1.5	104.96	63.13
1.51	103.65	63.64
1.52	102.12	65.18
1.53	100.89	66.86
1.54	100.22	67.84
1.55	100.54	68.82
1.56	101.57	70.62
1.57	101.73	72.31
1.58	101.54	72.94
1.59	101.36	72.77
1.6	100.79	72
1.61	100.29	71.2
1.62	100.02	70.73
1.63	99.95	70.32
1.64	99.37	69.64
1.65	98.58	68.29
1.66	96.2	65.24
1.67	99.48	62
1.68	100.24	61.01
1.69	101.98	60.6
1.7	100.72	60.42
1.71	102.11	60.46
1.72	102.86	61.06
1.73	103.39	61.73
1.74	106.45	63.21
1.75	102.67	67.35
1.76	99.31	71.97
1.77	98.73	74.3
1.78	99	75.31
1.79	99.58	75.95
1.8	101.42	76.66
1.81	102.96	77.41
1.82	103.52	78.06
1.83	103.65	78.16
1.84	103.72	77.84
1.85	103.51	77.19
1.86	102.73	76.44
1.87	102.18	75.6
1.88	0	74.06
1.89	0	69.36
1.9	0	62.5
1.91	0	64.67
1.92	0	68.67
1.93	0	69.05
1.94	0	68.59
1.95	0	68.81
1.96	0	68.72
1.97	0	68.67
1.98	0	66.7
1.99	0	60.16
2	0	46.69
2.01	0	38.69
2.02	0	52.65
2.03	0	59.21
2.04	0	59.34
2.05	0	60.87
2.06	0	62.59
2.07	0	60.77
2.08	0	59.97
2.09	0	58.51
2.1	0	54.89
2.11	0	50.23
2.12	0	48.09
2.13	0	47.78
2.14	0	47.46
2.15	0	46.43
2.16	0	46.7
2.17	0	48.08
2.18	0	49.56
2.19	0	49.42
2.2	0	49.25
2.21	0	58.48
2.22	0	63.91
2.23	0	62.76
2.24	95.44	63.7
2.25	94.7	66.26
2.26	93.63	66.12
2.27	91.54	63
2.28	90.44	59.19
2.29	0	56.66
2.3	0	51.76
2.31	0	47.8
2.32	0	46.48
2.33	0	45.5
2.34	0	44.72
2.35	0	44.2
2.36	0	44.2
2.37	0	44.22
2.38	0	43.23
2.39	0	41.33
2.4	0	40
2.41	0	41.34
2.42	0	43.03
2.43	0	42.96
2.44	0	41.09
2.45	0	40.87
2.46	0	0
2.47	0	0
2.48	0	0
