time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	21.26
0.04	0	21.21
0.05	0	21.69
0.06	0	21.44
0.07	0	20.68
0.08	0	22.28
0.09	0	25.15
0.1	0	28.43
0.11	0	32.52
0.12	0	36.29
0.13	0	40.11
0.14	0	42.76
0.15	0	43.31
0.16	0	43.75
0.17	0	44.92
0.18	0	55.04
0.19	0	64.53
0.2	135.27	68.12
0.21	136.34	69.16
0.22	137.52	69.78
0.23	137.7	69.9
0.24	136.96	69.54
0.25	135.57	68.97
0.26	133.22	68.55
0.27	130.38	67.96
0.28	127.15	66.86
0.29	123.42	65.65
0.3	118.46	64.13
0.31	113.48	62.23
0.32	106.69	59.78
0.33	0	57.3
0.34	0	55.66
0.35	99.87	56.42
0.36	101.08	60.17
0.37	104.57	64.72
0.38	107.61	68.69
0.39	108.82	72.08
0.4	109.84	74.78
0.41	110.58	76.12
0.42	110.13	76
0.43	109.32	75.55
0.44	108.94	75.63
0.45	109.12	75.6
0.46	108.72	75.37
0.47	107.98	75.18
0.48	106.8	74.76
0.49	105.33	74.29
0.5	104.4	73.92
0.51	103.27	73.46
0.52	102.35	72.97
0.53	101.23	72.45
0.54	100.21	71.9
0.55	99.53	71.3
0.56	98.42	70.66
0.57	97.36	69.74
0.58	0	67.47
0.59	0	60.86
0.6	0	49.11
0.61	0	43.6
0.62	0	47.42
0.63	0	56.25
0.64	0	60.02
0.65	91.54	61.92
0.66	92.81	64.34
0.67	94.23	66.37
0.68	94.87	67.49
0.69	95.73	68.04
0.7	96.87	68.32
0.71	99.16	68.64
0.72	104.18	71.04
0.73	108.6	76.36
0.74	110.05	80.23
0.75	110.66	81.63
0.76	111.12	81.89
0.77	110.65	81.73
0.78	109.75	81.39
0.79	108.84	81.01
0.8	107.76	80.51
0.81	106.73	79.93
0.82	105.82	79.32
0.83	105.31	78.51
0.84	105.12	77.36
0.85	104.82	75.95
0.86	104.53	74.72
0.87	103.93	73.86
0.88	102.95	73.51
0.89	101.75	73.24
0.9	100.44	72.83
0.91	99.02	72.52
0.92	97.59	72.02
0.93	96.11	71.26
0.94	94.19	70.35
0.95	92.16	69.37
0.96	90.19	68.35
0.97	88.35	67.8
0.98	86.92	67.94
0.99	86.06	68.37
1	86.3	69.85
1.01	87.9	72.58
1.02	88.41	74.79
1.03	87.73	75.49
1.04	87.45	74.92
1.05	87.38	73.27
1.06	0	69.56
1.07	0	61.41
1.08	0	55.38
1.09	0	54.48
1.1	0	54.11
1.11	0	53.71
1.12	0	54.77
1.13	84.7	60.78
1.14	84.76	66.32
1.15	83.38	69.11
1.16	0	68.38
1.17	0	64.06
1.18	0	56.65
1.19	0	54.57
1.2	0	54.82
1.21	0	54.88
1.22	0	55.23
1.23	0	56.29
1.24	0	61.54
1.25	0	68.38
1.26	90.2	71.47
1.27	90.33	72.15
1.28	90.85	72.44
1.29	90.47	72.47
1.3	90.15	72.57
1.31	89.99	72.74
1.32	89.42	72.91
1.33	88.75	73.26
1.34	87.73	73.76
1.35	86.79	74.21
1.36	85.88	74.41
1.37	85.05	74.36
1.38	84.32	73.81
1.39	83.8	73.07
1.4	83.58	72.55
1.41	83.46	72.41
1.42	83.39	72.35
1.43	83.25	72.04
1.44	82.83	71.07
1.45	82.23	69.11
1.46	80.77	65.91
1.47	79.01	62.09
1.48	0	59.19
1.49	0	57.88
1.5	0	58.82
1.51	0	60.67
1.52	0	64.62
1.53	0	66.95
1.54	0	65.89
1.55	0	60.54
1.56	0	48.88
1.57	0	48
1.58	0	51.98
1.59	85.44	54.57
1.6	85.74	56.19
1.61	86.23	56.86
1.62	86.82	57.7
1.63	0	63.82
1.64	90.35	70.24
1.65	90.69	73.02
1.66	91.12	74.42
1.67	91.27	75.12
1.68	91.06	75.38
1.69	90.29	75.72
1.7	88.8	76.18
1.71	86.48	76.75
1.72	83.17	77.53
1.73	0	77.79
1.74	0	75.19
1.75	0	69.59
1.76	0	65.83
1.77	0	61.68
1.78	0	59.86
1.79	0	63.59
1.8	0	61.8
1.81	0	51.42
1.82	0	33.42
1.83	0	24.4
1.84	0	22.71
1.85	0	21.73
1.86	0	20.87
1.87	0	20.38
1.88	0	22.61
1.89	0	44.1
1.9	0	57.61
1.91	0	62.48
1.92	0	62.25
1.93	0	58.15
1.94	0	49.73
1.95	0	46.19
1.96	0	46.39
1.97	0	45.87
1.98	0	45.24
1.99	0	44.43
2	0	43.35
2.01	0	39.87
2.02	0	36.62
2.03	0	35.25
2.04	0	33.31
2.05	0	30.45
2.06	0	27.92
2.07	0	0
2.08	0	0
2.09	0	0
?	?	?
