time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.26
0.04	0	28.44
0.05	0	31.48
0.06	0	33.49
0.07	0	35.86
0.08	0	38.16
0.09	0	40.26
0.1	0	41.27
0.11	0	42.23
0.12	0	42.92
0.13	0	42.25
0.14	0	42.64
0.15	0	43.29
0.16	0	43.1
0.17	0	42.18
0.18	0	42.4
0.19	0	44.11
0.2	0	45.08
0.21	0	46.02
0.22	0	47.77
0.23	0	47.94
0.24	0	46.44
0.25	0	47.25
0.26	0	49.27
0.27	0	49.43
0.28	0	49.39
0.29	0	50.62
0.3	0	51.48
0.31	0	51.16
0.32	0	50.63
0.33	0	50.1
0.34	0	49.04
0.35	0	49.62
0.36	0	48.79
0.37	0	47.42
0.38	0	46.32
0.39	0	45.14
0.4	0	44.38
0.41	0	42.25
0.42	0	39.71
0.43	0	38.93
0.44	0	37.64
0.45	0	36.1
0.46	0	34.29
0.47	0	32.23
0.48	0	30.14
0.49	0	27.27
0.5	0	23.73
0.51	0	23.6
0.52	0	31.48
0.53	0	38.86
0.54	0	42.15
0.55	0	45.43
0.56	0	59.06
0.57	0	67.21
0.58	0	67.16
0.59	0	67.84
0.6	124.79	72.65
0.61	125.23	74.04
0.62	125.92	73.24
0.63	125.23	72.4
0.64	122.13	71.7
0.65	118.38	70.15
0.66	117.08	66.84
0.67	118.27	61.55
0.68	0	56.32
0.69	0	53.32
0.7	0	52.52
0.71	0	52.58
0.72	0	52.25
0.73	130.24	54.36
0.74	129.25	59.27
0.75	128.01	64.49
0.76	127.54	68.84
0.77	128	72.16
0.78	128.76	74.61
0.79	130.12	76.25
0.8	131.51	77.16
0.81	133.46	77.52
0.82	136.23	78.04
0.83	138.92	79.12
0.84	141.12	80.3
0.85	142.63	80.88
0.86	143.72	81.38
0.87	144.04	81.88
0.88	143.5	81.56
0.89	142.54	79.96
0.9	141.34	76.64
0.91	0	71.95
0.92	0	66.81
0.93	0	66.53
0.94	0	69.06
0.95	0	70.34
0.96	0	70.55
0.97	0	69.76
0.98	0	69.88
0.99	0	70.08
1	0	70.62
1.01	0	70.8
1.02	0	70.43
1.03	0	71.15
1.04	0	72.52
1.05	0	71.65
1.06	0	66.85
1.07	0	61.24
1.08	0	54.17
1.09	0	41.85
1.1	0	30.68
1.11	0	25.11
1.12	0	21.86
1.13	0	22.23
1.14	0	24.11
1.15	0	42.08
1.16	0	64.49
1.17	134.33	76.27
1.18	133.66	81.75
1.19	132.98	83.46
1.2	131.68	83.55
1.21	130.62	83.39
1.22	129.81	82.94
1.23	129.28	82.33
1.24	129.11	82.2
1.25	128.9	82.43
1.26	128.53	82.55
1.27	127.01	82.12
1.28	125.63	80.99
1.29	125.64	79.53
1.3	126.46	77.43
1.31	126.63	74.47
1.32	0	70.68
1.33	0	64.5
1.34	0	54.18
1.35	0	41.11
1.36	0	32.37
1.37	0	31.51
1.38	0	35.46
1.39	0	44.72
1.4	0	50.72
1.41	0	53.58
1.42	123.64	55.97
1.43	126.89	57.28
1.44	127.8	57.48
1.45	126.97	57.32
1.46	127.08	57.38
1.47	127.36	57.62
1.48	128.81	58.82
1.49	129.86	63.01
1.5	129.13	67.76
1.51	128.43	70.7
1.52	128.24	72.28
1.53	128.86	73.44
1.54	129.85	74.63
1.55	130.71	75.78
1.56	131.11	76.98
1.57	131.01	78.05
1.58	130.7	78.75
1.59	130.67	79.27
1.6	131.05	79.58
1.61	131.21	79.86
1.62	130.49	80.38
1.63	129.38	81
1.64	128.46	81.22
1.65	127.63	81.03
1.66	126.98	80.68
1.67	126.28	80.11
1.68	125.19	78.47
1.69	0	74
1.7	0	64.41
1.71	0	56.47
1.72	0	58.69
1.73	0	60.5
1.74	0	61.59
1.75	0	61.85
1.76	0	61.4
1.77	121.66	62.46
1.78	122.06	65.35
1.79	125.66	68.47
1.8	127.43	71.58
1.81	126.36	73.8
1.82	124.98	74.97
1.83	124.69	75.13
1.84	125.4	74.51
1.85	126.31	73.36
1.86	126.38	71.67
1.87	125.61	70.47
1.88	124.53	70.56
1.89	123.32	70.93
1.9	123.11	70.67
1.91	123.26	70.25
1.92	123.21	69.93
1.93	123.39	69.57
1.94	123.12	69.09
1.95	122.15	68.43
1.96	121.73	67.72
1.97	121.22	67.2
1.98	120.45	67.03
1.99	119.56	67.12
2	118.61	66.56
2.01	118.26	64.95
2.02	117.53	61.39
2.03	0	55.91
2.04	0	54.13
2.05	0	53.88
2.06	0	52.93
2.07	0	51.37
2.08	0	48.53
2.09	0	46.14
2.1	0	50.93
2.11	0	53.25
2.12	0	52.45
2.13	0	51.38
2.14	0	50.55
2.15	0	50.1
2.16	0	47.39
2.17	0	41.98
2.18	0	36.48
2.19	0	33.47
2.2	0	32.44
2.21	0	31.08
2.22	0	29
2.23	0	28.02
2.24	0	27.01
2.25	0	25.94
2.26	0	26.24
2.27	0	0
2.28	0	0
2.29	0	0
?	?	?
