time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.37
0.04	0	27.74
0.05	0	28.19
0.06	0	26.98
0.07	0	25.35
0.08	0	25.52
0.09	0	25.48
0.1	0	25.22
0.11	0	25.48
0.12	0	38.09
0.13	0	47.91
0.14	0	51.25
0.15	0	53.47
0.16	0	56.29
0.17	0	59.07
0.18	0	67.97
0.19	80.23	75.12
0.2	81.45	77.46
0.21	83.06	77.06
0.22	84.64	76.46
0.23	86.1	76.55
0.24	87.44	76.64
0.25	88.35	75.95
0.26	89.9	73.02
0.27	0	65.56
0.28	0	51.35
0.29	0	34.34
0.3	0	28.89
0.31	0	34.73
0.32	0	41.12
0.33	0	44.58
0.34	0	46.36
0.35	0	48.46
0.36	0	48.94
0.37	0	47.23
0.38	0	46.3
0.39	0	47.95
0.4	0	60.23
0.41	0	70.46
0.42	100.35	73.94
0.43	97.36	73.83
0.44	94.98	72.71
0.45	94.48	71.45
0.46	94.29	69.89
0.47	93.96	68.59
0.48	93.86	66.39
0.49	94.17	62.87
0.5	94.48	60.45
0.51	94.12	59.92
0.52	93.56	59.67
0.53	93.04	59.26
0.54	92.46	58.61
0.55	92.48	57.91
0.56	92.64	57.45
0.57	93.38	57.49
0.58	94.14	57.94
0.59	94.48	58.25
0.6	96.34	59.46
0.61	100.66	64.58
0.62	101.46	70.08
0.63	101.2	73.17
0.64	102.71	74.78
0.65	104.38	76.1
0.66	106.64	77.41
0.67	108.62	78.32
0.68	110.88	78.91
0.69	113.55	79.82
0.7	115.91	80.9
0.71	117.53	81.54
0.72	118.21	81
0.73	117.4	78.14
0.74	0	71.06
0.75	0	58.13
0.76	0	45.59
0.77	0	45.88
0.78	0	48.35
0.79	0	53
0.8	0	61.76
0.81	0	69.89
0.82	99.76	74.05
0.83	99.27	75.22
0.84	97.85	75.29
0.85	96.53	75.12
0.86	95.26	74.94
0.87	94.41	74.62
0.88	94.2	74.11
0.89	93.93	73.49
0.9	93.13	72.48
0.91	92.13	70.7
0.92	91.77	68.74
0.93	91.84	67
0.94	91.06	64.48
0.95	90.57	61.78
0.96	93.61	61.73
0.97	95.04	65.87
0.98	95.13	70.13
0.99	94.97	72.35
1	95.21	73.47
1.01	95.55	74.11
1.02	96.3	74.59
1.03	96.61	75.12
1.04	96.52	75.58
1.05	96.35	75.93
1.06	96.21	76.19
1.07	96.35	76.12
1.08	96.65	75.66
1.09	96.31	74.54
1.1	95.11	72.18
1.11	91.84	67.75
1.12	89.03	60.99
1.13	0	53.64
1.14	0	49.64
1.15	0	50.07
1.16	0	50.67
1.17	0	51.27
1.18	0	51.8
1.19	0	51.33
1.2	0	50.32
1.21	0	50.62
1.22	0	51.75
1.23	0	52.32
1.24	0	51.9
1.25	0	50.06
1.26	0	47.48
1.27	0	45.04
1.28	0	51.93
1.29	0	65.39
1.3	0	72.79
1.31	96.53	74.43
1.32	96.11	74.08
1.33	94.34	73.79
1.34	93.29	72.99
1.35	92.19	72.16
1.36	91.75	71.71
1.37	91.97	71.89
1.38	92.22	72.14
1.39	92.53	72.12
1.4	92.9	72.21
1.41	93.41	72.51
1.42	94.19	72.68
1.43	95.55	72.88
1.44	97.32	73.33
1.45	98.88	73.97
1.46	101.05	74.55
1.47	103.18	75.01
1.48	105.59	75.51
1.49	107.23	75.63
1.5	108.59	75.46
1.51	108.95	75.13
1.52	107.9	74.3
1.53	105.87	72.2
1.54	103.56	67.3
1.55	0	58.39
1.56	0	46.42
1.57	0	42.1
1.58	0	44.1
1.59	0	44.66
1.6	0	43.62
1.61	0	44.49
1.62	0	54.61
1.63	0	66.55
1.64	102.01	71.06
1.65	102.74	71.49
1.66	102.84	70.92
1.67	102.27	69.94
1.68	102.14	68.44
1.69	101.71	66.7
1.7	101.91	64.91
1.71	101.88	62.51
1.72	103.05	59.22
1.73	105.1	56.03
1.74	0	53.11
1.75	0	50.7
1.76	0	48.25
1.77	0	45.54
1.78	0	42.94
1.79	0	41.43
1.8	0	39.53
1.81	0	38.97
1.82	0	39.06
1.83	0	38.88
1.84	0	37.89
1.85	0	38.61
1.86	0	39.28
1.87	0	37.93
1.88	0	36.17
1.89	0	34.71
1.9	0	32.45
1.91	0	30.97
1.92	0	30.01
1.93	0	31.49
1.94	0	31.26
1.95	0	28.51
1.96	0	0
1.97	0	0
1.98	0	0
