time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	24.2
0.04	0	23.87
0.05	0	23.76
0.06	0	23.66
0.07	0	23.88
0.08	0	24.28
0.09	0	24.37
0.1	0	24.2
0.11	0	24.04
0.12	0	28.29
0.13	0	35.47
0.14	0	36.83
0.15	0	34.92
0.16	0	39.07
0.17	0	50.1
0.18	0	56.59
0.19	0	56.01
0.2	0	53.24
0.21	0	50.35
0.22	0	48.44
0.23	0	48.55
0.24	0	49.42
0.25	0	49.85
0.26	0	50.07
0.27	0	50.7
0.28	0	51.22
0.29	0	51.53
0.3	0	51.58
0.31	0	51.48
0.32	0	51.24
0.33	0	51.57
0.34	0	51.48
0.35	0	51.04
0.36	0	50.83
0.37	0	50.42
0.38	0	49.8
0.39	0	49.67
0.4	0	50.61
0.41	0	51.04
0.42	0	50.02
0.43	0	48.83
0.44	0	48.52
0.45	0	48.27
0.46	0	47.73
0.47	0	48.18
0.48	0	48.73
0.49	0	48.52
0.5	0	48.14
0.51	0	48.42
0.52	0	48.06
0.53	0	47.28
0.54	0	48.1
0.55	0	48.31
0.56	0	48.07
0.57	0	47.5
0.58	0	46.77
0.59	0	46.7
0.6	0	47.57
0.61	0	48.36
0.62	0	48.17
0.63	0	46.74
0.64	0	45.62
0.65	0	44.9
0.66	0	43.25
0.67	0	40.81
0.68	0	38.44
0.69	0	36.16
0.7	0	34.21
0.71	0	31.78
0.72	0	28.45
0.73	0	26.02
0.74	0	32.33
0.75	0	42.84
0.76	0	51.01
0.77	0	57.58
0.78	0	62.38
0.79	0	67.15
0.8	0	70.36
0.81	0	71.57
0.82	0	73
0.83	0	75.11
0.84	0	77.48
0.85	0	78.24
0.86	0	77.77
0.87	0	77.8
0.88	0	77.92
0.89	0	77.53
0.9	0	76.05
0.91	0	72.64
0.92	0	73.79
0.93	171.65	77.48
0.94	169.61	76.91
0.95	165.38	72.25
0.96	162.54	64.63
0.97	155.67	57.75
0.98	0	56.33
0.99	0	62.22
1	0	70.02
1.01	0	76.05
1.02	0	79.52
1.03	0	80.92
1.04	0	82.44
1.05	0	83.69
1.06	0	83.75
1.07	0	82.62
1.08	0	79.92
1.09	0	75.61
1.1	0	72.37
1.11	152.65	73.76
1.12	151.35	76.18
1.13	149.87	76.72
1.14	149.38	75.85
1.15	146.14	74.34
1.16	143.32	72.87
1.17	142.63	72
1.18	142.63	71.63
1.19	142.53	71.8
1.2	144.04	72.55
1.21	146.76	74.96
1.22	150.03	78.36
1.23	151.66	80.98
1.24	152.87	82.02
1.25	154.17	82.39
1.26	154.89	83.01
1.27	155.73	83.44
1.28	157.21	83.37
1.29	159.45	83.21
1.3	163.01	83
1.31	164.55	81.84
1.32	163.42	79.2
1.33	161.82	73.87
1.34	0	64.09
1.35	0	47.89
1.36	0	50.83
1.37	0	62.06
1.38	0	66.01
1.39	0	65.75
1.4	0	66.34
1.41	0	75.19
1.42	226.34	81.6
1.43	226.52	83.52
1.44	230.08	83.37
1.45	234.86	82.6
1.46	238.56	80.69
1.47	242.19	76.67
1.48	246.49	70.26
1.49	252.57	64.43
1.5	257.93	62.59
1.51	262.36	62.1
1.52	265.04	61.41
1.53	266.12	60.34
1.54	0	58.73
1.55	0	56.26
1.56	0	52.77
1.57	0	48.94
1.58	0	46.67
1.59	0	44.98
1.6	0	42.61
1.61	0	41.5
1.62	0	40.81
1.63	0	41.89
1.64	0	43.5
1.65	0	43.47
1.66	0	43.53
1.67	0	44.57
1.68	0	45.86
1.69	0	46.12
1.7	0	44.64
1.71	0	44.22
1.72	0	44.39
1.73	0	43.71
1.74	0	43.71
1.75	0	45.55
1.76	0	46.17
1.77	0	44.71
1.78	0	44.57
1.79	0	45.38
1.8	0	45.49
1.81	0	45.51
1.82	0	45.85
1.83	0	44.71
1.84	0	43.38
1.85	0	42.47
1.86	0	41.91
1.87	0	42.24
1.88	0	42.43
1.89	0	41.92
1.9	0	42.09
1.91	0	43.92
1.92	0	44.71
1.93	0	43.36
1.94	0	43.08
1.95	0	44.3
1.96	0	43.26
1.97	0	42.54
1.98	0	42.53
1.99	0	41.92
2	0	42.04
2.01	0	41.82
2.02	0	40.77
2.03	0	40.83
2.04	0	41.38
2.05	0	40.63
2.06	0	40.26
2.07	0	41.16
2.08	0	41.21
2.09	0	40.73
2.1	0	40.34
2.11	0	40.21
2.12	0	40.47
2.13	0	41.03
2.14	0	41.01
2.15	0	40.35
2.16	0	40.02
2.17	0	40.76
2.18	0	40.91
2.19	0	40.13
2.2	0	40.63
2.21	0	40.41
2.22	0	39.93
2.23	0	40.23
2.24	0	39.74
2.25	0	39.46
2.26	0	39.26
2.27	0	39.2
2.28	0	39.4
2.29	0	38.58
2.3	0	37.87
2.31	0	37.91
2.32	0	37.89
2.33	0	38.61
2.34	0	39.3
2.35	0	39.71
2.36	0	39.17
2.37	0	38.49
2.38	0	39.15
2.39	0	39.5
2.4	0	39.11
2.41	0	39.68
2.42	0	38.85
2.43	0	37.3
2.44	0	36.85
2.45	0	36.24
2.46	0	0
2.47	0	0
2.48	0	0
