time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.18
0.05	0	28.99
0.06	0	29.96
0.07	0	31.7
0.08	0	30.1
0.09	0	27.84
0.1	0	31.91
0.11	0	40.57
0.12	0	46.26
0.13	0	52.79
0.14	0	60.08
0.15	0	65.22
0.16	131.34	70.34
0.17	133.77	73.5
0.18	134.51	74.74
0.19	133.34	74.47
0.2	131.06	72.09
0.21	129.76	66.75
0.22	132.49	61.3
0.23	134.02	58.24
0.24	136.46	59.3
0.25	143.58	63.75
0.26	152.77	70.6
0.27	158.78	77.19
0.28	163.37	81.06
0.29	166.91	82.96
0.3	170.04	83.45
0.31	172.44	82.87
0.32	173.12	81.28
0.33	173.2	78.47
0.34	174.9	77.22
0.35	176.38	78.6
0.36	176.96	79.71
0.37	176.54	79.81
0.38	175.02	79.29
0.39	172.71	78.13
0.4	169.84	75.13
0.41	167.79	69.46
0.42	166.18	65.7
0.43	164.08	65.08
0.44	162.79	64.81
0.45	161.53	64.64
0.46	159.93	64.52
0.47	159.01	64.47
0.48	159.02	66.86
0.49	157.44	74.49
0.5	156.41	80.04
0.51	155.94	82.15
0.52	154.96	82.51
0.53	153.11	82.56
0.54	151.49	82.89
0.55	149.76	82.9
0.56	147.69	82.07
0.57	145.68	80.96
0.58	144.38	80.37
0.59	143.61	80.13
0.6	143.26	79.86
0.61	143.18	79.44
0.62	142.75	78.51
0.63	141.74	76.13
0.64	139.97	70.75
0.65	138.95	63.01
0.66	0	56.99
0.67	0	53.58
0.68	0	59.68
0.69	0	63.81
0.7	0	62.69
0.71	0	57.18
0.72	0	48.54
0.73	0	40.02
0.74	0	42.97
0.75	0	50.36
0.76	0	57.22
0.77	0	63.69
0.78	0	66.13
0.79	0	65.08
0.8	0	64.61
0.81	0	64.62
0.82	0	62.94
0.83	0	61.61
0.84	0	66.47
0.85	153.25	75.14
0.86	151.61	79.92
0.87	150.63	82.06
0.88	150.59	83.26
0.89	150.51	83.94
0.9	150.54	84.23
0.91	150.18	84.2
0.92	149.71	83.88
0.93	149.89	83.56
0.94	150.1	83.17
0.95	151.05	82.73
0.96	152.51	82.26
0.97	153.99	81.76
0.98	154.6	81.08
0.99	154.21	80.12
1	153.31	78.9
1.01	151.48	77
1.02	149.46	73.63
1.03	145.22	69.72
1.04	0	68.4
1.05	0	68.3
1.06	0	66.99
1.07	0	64.44
1.08	135.71	61.68
1.09	135.65	60.73
1.1	138.12	62.06
1.11	139.94	64.06
1.12	141.49	66.73
1.13	142.66	69.22
1.14	143.46	71.13
1.15	144.23	72.75
1.16	145.23	74.54
1.17	145.64	76.36
1.18	144.97	77.81
1.19	143.56	78.59
1.2	141.24	79.02
1.21	139.5	79.63
1.22	139.2	80.3
1.23	139.56	80.57
1.24	139.29	80.32
1.25	137.53	79.1
1.26	0	75.41
1.27	0	68.95
1.28	0	61.3
1.29	0	51.17
1.3	0	43.36
1.31	0	51.44
1.32	0	59.64
1.33	0	66.03
1.34	0	69.97
1.35	0	73.36
1.36	0	75.48
1.37	0	75.75
1.38	0	75.17
1.39	0	74.58
1.4	0	73.94
1.41	0	73.73
1.42	0	72.92
1.43	0	69.1
1.44	0	63.52
1.45	0	67.21
1.46	146.45	74.72
1.47	145.64	78.08
1.48	144.97	79.13
1.49	144.65	79.13
1.5	143.78	78.19
1.51	141.3	75.74
1.52	138.38	71.36
1.53	137.65	66.96
1.54	138.08	65
1.55	138.49	65.31
1.56	138.69	64.52
1.57	142.03	62.64
1.58	143.43	62.09
1.59	141.73	61.49
1.6	139.92	60.38
1.61	140.08	60.76
1.62	138.1	66.42
1.63	136.82	71.01
1.64	137.32	73.15
1.65	138.08	73.58
1.66	137.97	72.97
1.67	137.07	71.74
1.68	135.65	69.25
1.69	0	64.02
1.7	0	54.48
1.71	0	43.66
1.72	0	34.87
1.73	0	27.27
1.74	0	33.28
1.75	0	46.72
1.76	0	52.65
1.77	0	56.43
1.78	0	59.88
1.79	0	62.57
1.8	0	64.05
1.81	0	64.17
1.82	0	66.18
1.83	0	67.73
1.84	0	70.39
1.85	0	72.51
1.86	0	74.25
1.87	0	75.35
1.88	0	75.5
1.89	0	74.84
1.9	0	71.85
1.91	0	67.05
1.92	0	61.31
1.93	0	61.57
1.94	0	68.6
1.95	128.11	71.6
1.96	127.13	71.5
1.97	124.37	71.1
1.98	120.22	70.89
1.99	117	70.86
2	114.47	70.61
2.01	113.09	69.99
2.02	111.99	69.42
2.03	110.93	68.7
2.04	110.82	68.37
2.05	111.28	68.69
2.06	111.14	68.35
2.07	0	66.54
2.08	0	65.31
2.09	0	64.31
2.1	0	60.86
2.11	0	53.87
2.12	0	49.52
2.13	0	41.92
2.14	0	37.81
2.15	0	32.41
2.16	0	28.7
2.17	0	28.07
2.18	0	26.96
2.19	0	28.12
2.2	0	28.22
2.21	0	28.17
2.22	0	0
2.23	0	0
2.24	0	0
?	?	?
