time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.04
0.04	0	24.93
0.05	0	24.37
0.06	0	24.2
0.07	0	24.44
0.08	0	24.62
0.09	0	24.27
0.1	0	23.96
0.11	0	23.92
0.12	0	24.07
0.13	0	25.22
0.14	0	28.04
0.15	0	27.68
0.16	0	25.76
0.17	0	25.51
0.18	0	26.62
0.19	0	30.14
0.2	0	34.59
0.21	0	45.95
0.22	0	56.22
0.23	107.1	64.53
0.24	103.44	70.52
0.25	102.78	73.29
0.26	101.92	73.59
0.27	96.99	73.35
0.28	92.8	73.42
0.29	0	72.19
0.3	0	68.57
0.31	0	67.54
0.32	0	69.43
0.33	0	66.41
0.34	0	64.34
0.35	0	64.45
0.36	0	65.72
0.37	0	68.68
0.38	0	72.42
0.39	119.45	75.52
0.4	120.33	76.95
0.41	121.22	77.71
0.42	120.18	77.98
0.43	119.62	77.85
0.44	118.8	78.06
0.45	118.58	78.32
0.46	119.79	78.66
0.47	120.32	79.07
0.48	120.86	79.36
0.49	121.73	79.56
0.5	122.91	79.65
0.51	124.2	79.53
0.52	125.07	79.18
0.53	125.89	78.51
0.54	126.93	77.4
0.55	127.71	75.64
0.56	127.1	73.29
0.57	121.66	69.83
0.58	0	64.58
0.59	0	62.22
0.6	0	65.38
0.61	0	67.41
0.62	0	68.6
0.63	0	69.85
0.64	0	69.64
0.65	0	70.87
0.66	0	71.92
0.67	0	71.48
0.68	0	70.01
0.69	0	67.07
0.7	0	62.85
0.71	0	55.69
0.72	0	49.29
0.73	0	58.31
0.74	128.34	63.54
0.75	126.89	65.19
0.76	124.97	65.83
0.77	125.19	68.22
0.78	121.26	71.38
0.79	118.53	73.16
0.8	117.14	73.82
0.81	116.09	74.05
0.82	115.25	74.31
0.83	114.85	74.64
0.84	115.11	75
0.85	115.32	75.37
0.86	115.15	75.77
0.87	114.97	76.33
0.88	114.73	77.02
0.89	114.42	77.79
0.9	113.87	78.6
0.91	113.32	79.08
0.92	112.78	79.4
0.93	112.19	79.78
0.94	111.88	80
0.95	111.22	79.94
0.96	110.02	79.73
0.97	108.66	79.23
0.98	107.98	78.29
0.99	108.09	76.7
1	107.67	73.95
1.01	106.34	70
1.02	104.19	64.95
1.03	101.03	58.92
1.04	0	51.44
1.05	0	50.26
1.06	0	55.17
1.07	0	52.27
1.08	0	48.76
1.09	0	50.71
1.1	0	49.96
1.11	0	49.11
1.12	0	48.58
1.13	0	51.51
1.14	0	53.72
1.15	0	49.63
1.16	0	49.72
1.17	0	48.59
1.18	0	47.34
1.19	0	51.84
1.2	111.78	55.38
1.21	112.13	58.14
1.22	113.69	60.71
1.23	115.64	63.01
1.24	117.22	65.39
1.25	117.75	67.9
1.26	118	69.73
1.27	118.73	71.07
1.28	120.05	72.44
1.29	120.59	73.49
1.3	120.88	74.21
1.31	121.79	74.96
1.32	122.5	75.37
1.33	122.39	75.26
1.34	122.33	75.04
1.35	122.17	74.09
1.36	121.76	71.08
1.37	122.09	66.97
1.38	123.85	66.13
1.39	124.67	66.4
1.4	124.5	66.32
1.41	124.51	66.62
1.42	124.64	68.54
1.43	122.8	70.95
1.44	120.77	71.94
1.45	119.93	71.71
1.46	119.82	71.18
1.47	119.52	70.59
1.48	118.1	69.69
1.49	117.36	68.05
1.5	113.24	64.76
1.51	0	61.54
1.52	0	63.43
1.53	0	66.24
1.54	0	69.05
1.55	0	70.23
1.56	0	69.09
1.57	0	68.46
1.58	0	67.85
1.59	0	66.96
1.6	0	65.84
1.61	0	63.37
1.62	0	59.83
1.63	0	62.87
1.64	112.11	66.68
1.65	108.46	67.61
1.66	105.82	67.44
1.67	104.32	67.5
1.68	102.73	67.5
1.69	99.88	66.33
1.7	95.62	63.05
1.71	96.2	60.41
1.72	97.5	60.36
1.73	94.71	59.95
1.74	93.12	59.22
1.75	91.43	58.12
1.76	89.07	56.25
1.77	0	53.22
1.78	0	49.66
1.79	0	46.92
1.8	0	47.05
1.81	0	43.9
1.82	0	37.26
1.83	0	34.59
1.84	0	35.21
1.85	0	38.24
1.86	0	44.72
1.87	0	49.56
1.88	0	55.33
1.89	0	63.06
1.9	0	72.82
1.91	99.68	78.29
1.92	98.31	80.05
1.93	99.18	80.5
1.94	101.31	81.03
1.95	100.92	81.15
1.96	99.82	80.78
1.97	99.76	81.01
1.98	97.8	81.1
1.99	98.14	80.85
2	100.46	81.17
2.01	100.39	81.53
2.02	99.25	81.68
2.03	98.34	81.5
2.04	97.7	81.06
2.05	97.04	81.05
2.06	95.87	80.97
2.07	94.9	80.72
2.08	93	80.37
2.09	91.81	80.23
2.1	91.52	80.33
2.11	89.97	80.25
2.12	89.2	80.24
2.13	87.12	80.18
2.14	86.43	79.7
2.15	85.34	79.29
2.16	83.4	78.58
2.17	81.65	77.62
2.18	81.35	76.69
2.19	80.87	75.82
2.2	81.35	74.64
2.21	82.67	72.08
2.22	82.3	71.26
2.23	82.72	70.47
2.24	84.1	68.28
2.25	0	69.38
2.26	79.28	69.06
2.27	81.65	67.38
2.28	82.86	65
2.29	81.65	61.62
2.3	80.58	56.51
2.31	0	49.67
2.32	0	42.13
2.33	0	38.51
2.34	0	36.07
2.35	0	32.99
2.36	0	31.03
2.37	0	28.02
2.38	0	25.54
2.39	0	24
2.4	0	23.71
2.41	0	0
2.42	0	0
2.43	0	0
