time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.39
0.05	0	36.38
0.06	0	36.86
0.07	0	37.04
0.08	0	36.13
0.09	0	34.16
0.1	0	34.09
0.11	0	35.5
0.12	0	36.13
0.13	0	37.13
0.14	0	40.47
0.15	0	41.85
0.16	0	38.84
0.17	0	39.07
0.18	0	39.84
0.19	0	40.97
0.2	0	44.3
0.21	0	51.47
0.22	0	66.44
0.23	0	76.66
0.24	138.9	80.95
0.25	139.03	82.32
0.26	140.63	82.33
0.27	141.64	82.1
0.28	142.92	81.97
0.29	144.14	81.76
0.3	144.3	81.23
0.31	144.04	80.49
0.32	143.82	79.89
0.33	143.09	79.19
0.34	141.25	77.1
0.35	140.33	73.14
0.36	139.6	70.93
0.37	137.96	70.7
0.38	136.59	70.67
0.39	136.21	70.57
0.4	137.55	71.37
0.41	142.19	75.84
0.42	142.12	80.23
0.43	142.28	82.17
0.44	144.14	82.48
0.45	146.03	82.35
0.46	147.08	82.04
0.47	147.92	81.62
0.48	148.7	81.34
0.49	148.83	81.17
0.5	148.44	80.79
0.51	146.77	80.69
0.52	143.97	80.82
0.53	139.95	80.54
0.54	134.89	79.87
0.55	128.94	79.04
0.56	124.04	78.55
0.57	120.29	78.5
0.58	117.17	78.42
0.59	115	78.52
0.6	113.09	78.84
0.61	111.29	78.99
0.62	109.26	78.63
0.63	107.75	77.99
0.64	106.22	77.15
0.65	105.3	75.99
0.66	105.22	74.73
0.67	105.73	73.54
0.68	105.1	72.36
0.69	106.33	71.34
0.7	106.51	70.36
0.71	105.8	68.24
0.72	106.75	65.47
0.73	107.17	64.9
0.74	107.18	65.18
0.75	107.26	65.23
0.76	107.18	65.34
0.77	107.57	65.55
0.78	108.02	65.72
0.79	108.55	66.02
0.8	0	68.66
0.81	0	73.36
0.82	115.42	76.91
0.83	116.9	79.07
0.84	118.22	80.3
0.85	119.23	81.04
0.86	120.49	81.53
0.87	121.45	81.79
0.88	122.94	81.86
0.89	124.07	81.79
0.9	124.44	81.12
0.91	123.49	78.47
0.92	120.89	71.4
0.93	122.86	65.49
0.94	126.27	70.66
0.95	123.68	74.72
0.96	122.08	75.55
0.97	117.22	73.93
0.98	116.75	69.88
0.99	0	62.42
1	0	54.28
1.01	0	50.63
1.02	0	52.58
1.03	0	60.77
1.04	0	63.67
1.05	133.58	66.93
1.06	135.36	71.66
1.07	138.88	74.82
1.08	140.71	76.35
1.09	143.12	76.76
1.1	146.46	76.55
1.11	148.88	76.3
1.12	149.53	76.37
1.13	148.66	76.88
1.14	146.39	77.62
1.15	142.71	78
1.16	138.23	77.34
1.17	0	75.45
1.18	0	73.64
1.19	0	71.91
1.2	0	68.13
1.21	0	65.43
1.22	111.23	65.21
1.23	111.59	65.39
1.24	112.02	66.71
1.25	116.47	69.69
1.26	109.71	70.41
1.27	106.8	66.65
1.28	113.66	61.26
1.29	120.68	61.47
1.3	120.13	65.71
1.31	116.37	68.99
1.32	113.94	70.38
1.33	110.41	70.45
1.34	106.54	69.87
1.35	105.82	69.37
1.36	108.67	69.37
1.37	104.18	68.81
1.38	102.05	67.17
1.39	0	64.91
1.4	0	66.13
1.41	0	70.16
1.42	0	72.23
1.43	0	73.49
1.44	0	73.7
1.45	0	72.84
1.46	0	70.28
1.47	0	65.55
1.48	0	60.41
1.49	0	59.25
1.5	0	71.03
1.51	118.47	77.83
1.52	114.33	79.29
1.53	112.17	78.25
1.54	111.61	77.56
1.55	110.9	76.84
1.56	109.52	74.41
1.57	0	68.08
1.58	0	63.83
1.59	116.82	68.64
1.6	115.65	72.3
1.61	111.63	74.9
1.62	108.36	76.64
1.63	106.67	77.41
1.64	106.25	77.58
1.65	106.22	77.52
1.66	105.79	77.41
1.67	105.52	77.19
1.68	105.67	76.93
1.69	105.95	76.75
1.7	107.4	77.34
1.71	108.04	78.3
1.72	107.58	78.83
1.73	106.97	78.99
1.74	106.25	78.98
1.75	106.09	78.71
1.76	106.11	78.3
1.77	107.23	77.76
1.78	109.06	77.08
1.79	110.3	76.41
1.8	112.19	75.63
1.81	114.3	74.46
1.82	116.09	72.88
1.83	118.11	71.41
1.84	120.22	70.59
1.85	121.39	69.92
1.86	123.03	68.89
1.87	124.61	67.92
1.88	125.71	67.09
1.89	126.03	66.09
1.9	0	62.94
1.91	0	56.68
1.92	0	53.31
1.93	0	52.94
1.94	0	52.06
1.95	0	50.33
1.96	0	49.11
1.97	0	48.65
1.98	0	45.34
1.99	0	40.66
2	0	37.73
2.01	0	35.47
2.02	0	35.34
2.03	0	37.12
2.04	0	39.49
2.05	0	40.34
2.06	0	38.47
2.07	0	42.36
2.08	0	50.5
2.09	0	50.74
2.1	0	44.65
2.11	0	41.79
2.12	0	41.76
2.13	0	42.36
2.14	0	42.22
2.15	0	42.21
2.16	0	41.73
2.17	0	40.4
2.18	0	39.93
2.19	0	0
2.2	0	0
2.21	0	0
