time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.07
0.05	0	30.77
0.06	0	30.18
0.07	0	29.42
0.08	0	28.94
0.09	0	28.95
0.1	0	28.7
0.11	0	27.45
0.12	0	25.7
0.13	0	23.87
0.14	0	23.63
0.15	0	24.23
0.16	0	29.25
0.17	0	36.04
0.18	0	41.2
0.19	0	44.74
0.2	0	48.07
0.21	0	51.57
0.22	0	53.57
0.23	0	54.1
0.24	0	57.95
0.25	0	66.23
0.26	117.64	71.45
0.27	113.1	72.37
0.28	106.47	70.56
0.29	99.72	67.85
0.3	0	64.88
0.31	0	65.36
0.32	0	68.59
0.33	0	70.53
0.34	0	71.28
0.35	0	71.44
0.36	0	71.3
0.37	0	71.46
0.38	0	71.52
0.39	0	71.83
0.4	0	71.93
0.41	0	71.87
0.42	0	70.97
0.43	0	68.73
0.44	0	69.25
0.45	133.01	75.58
0.46	133.58	79.74
0.47	128.99	80.58
0.48	124.19	80.9
0.49	122.95	82.19
0.5	121.99	82.58
0.51	121.33	82.12
0.52	121.04	82.03
0.53	120.36	82.3
0.54	119.33	82.47
0.55	118.42	82.47
0.56	117.38	82.23
0.57	115.94	81.77
0.58	113.87	80.52
0.59	0	76.83
0.6	0	68.43
0.61	0	53.8
0.62	0	54.07
0.63	0	65.27
0.64	110.99	72.75
0.65	109.67	76.02
0.66	107.05	76.07
0.67	103.53	75.01
0.68	100.87	73.89
0.69	99.54	72.8
0.7	98.29	72.09
0.71	96.94	71.69
0.72	95.75	71.27
0.73	94.82	70.62
0.74	94.09	69.99
0.75	93.41	68.74
0.76	92.63	66.5
0.77	91.82	63.91
0.78	90.63	61.33
0.79	89.25	58.44
0.8	0	54.88
0.81	0	51.27
0.82	0	49.28
0.83	0	47.96
0.84	0	47.33
0.85	0	48.22
0.86	0	49.58
0.87	0	51.52
0.88	102.09	57.04
0.89	103.55	64.42
0.9	105.01	70.12
0.91	104.74	72.91
0.92	103.22	73.08
0.93	101.51	72.53
0.94	100.77	72.09
0.95	100.69	71.69
0.96	100.28	71.36
0.97	99.71	71.24
0.98	99.19	71.31
0.99	98.41	71.45
1	97.52	71.6
1.01	96.39	71.72
1.02	95.21	71.39
1.03	94.03	69.68
1.04	0	65.08
1.05	0	57.51
1.06	0	53.76
1.07	88.25	57.12
1.08	87.89	61.65
1.09	86.93	64.18
1.1	85.53	65.39
1.11	84.57	66
1.12	83.95	65.85
1.13	83.74	65.08
1.14	83.99	64.14
1.15	83.99	63.19
1.16	83.2	62.05
1.17	82.17	60.74
1.18	0	58.78
1.19	0	54.29
1.2	0	48.87
1.21	0	50.2
1.22	0	55.68
1.23	0	59.14
1.24	0	59.95
1.25	0	59.8
1.26	0	58.81
1.27	0	59.28
1.28	0	60.36
1.29	0	59.49
1.3	0	58.36
1.31	0	58.98
1.32	0	59.69
1.33	0	59.57
1.34	0	59.28
1.35	0	58.46
1.36	0	56.6
1.37	0	55.44
1.38	0	55.32
1.39	0	53.8
1.4	0	48.27
1.41	0	38.93
1.42	0	26.81
1.43	0	18.35
1.44	0	18.23
1.45	0	22.4
1.46	0	42.07
1.47	0	52.68
1.48	0	54.68
1.49	0	49.68
1.5	0	41.94
1.51	0	36.97
1.52	0	34.38
1.53	0	33.35
1.54	0	32.03
1.55	0	30.42
1.56	0	28.39
1.57	0	27.25
1.58	0	27.06
1.59	0	25.48
1.6	0	24.16
1.61	0	22.43
1.62	0	21.04
1.63	0	20.1
1.64	0	19.44
1.65	0	19.9
1.66	0	20.46
1.67	0	19.92
1.68	0	19.76
1.69	0	19.14
1.7	0	18.53
1.71	0	18.33
1.72	0	18.65
1.73	0	21.69
1.74	0	25.67
1.75	0	24.5
1.76	0	19.81
1.77	0	18.13
1.78	0	19.24
1.79	0	21.18
1.8	0	22.19
1.81	0	21.32
1.82	0	18.31
1.83	0	16.67
1.84	0	17.74
1.85	0	18.82
1.86	0	18.83
1.87	0	18.88
1.88	0	24.63
1.89	0	31.08
1.9	0	30.98
1.91	0	23.89
1.92	0	19.02
1.93	0	19.2
1.94	0	19.3
1.95	0	18.49
1.96	0	17.75
1.97	0	18.26
1.98	0	18.71
1.99	0	18.59
2	0	0
2.01	0	0
2.02	0	0
?	?	?
