time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	24.3
0.04	0	23.7
0.05	0	22.46
0.06	0	22.03
0.07	0	22.93
0.08	0	23.67
0.09	0	24.11
0.1	0	23.01
0.11	0	22.06
0.12	0	29.46
0.13	0	40.22
0.14	0	51.2
0.15	106.62	61.43
0.16	106.98	66.35
0.17	107.38	69.28
0.18	107.96	71.99
0.19	108.98	74.48
0.2	109.68	76.17
0.21	109.65	76.32
0.22	0	73.92
0.23	0	67.47
0.24	0	54
0.25	0	32.78
0.26	0	24.1
0.27	0	36.61
0.28	0	51.33
0.29	0	59.53
0.3	0	62.53
0.31	147.16	66.94
0.32	147.58	72.65
0.33	148.07	76.04
0.34	148.64	78.69
0.35	148.63	80.9
0.36	148.05	82.37
0.37	148.74	82.64
0.38	150.48	82.26
0.39	152.73	82.25
0.4	156.3	82.65
0.41	158.71	82.39
0.42	158.62	80.86
0.43	157.98	78.3
0.44	157.21	74.44
0.45	155.3	69.37
0.46	148.83	65
0.47	140.47	63.16
0.48	137.25	62.62
0.49	138.26	62.98
0.5	138.29	65.49
0.51	136.53	68.24
0.52	135.09	70.06
0.53	133.52	70.13
0.54	130.15	68.21
0.55	125.68	65.09
0.56	118.5	62.68
0.57	106.87	60.69
0.58	88.34	59.1
0.59	0	58.6
0.6	0	60.98
0.61	76.59	65.05
0.62	84.29	68.34
0.63	96.54	71.31
0.64	106.99	73.69
0.65	112.86	75.62
0.66	115.07	76.69
0.67	116.55	77.48
0.68	117.47	78.13
0.69	118.55	78.6
0.7	119.7	79.01
0.71	121.25	79.3
0.72	123.33	79.36
0.73	124.94	79.23
0.74	125.67	78.64
0.75	125.43	76.79
0.76	0	72.27
0.77	0	63.66
0.78	0	56.38
0.79	0	53.55
0.8	0	46.17
0.81	0	47.49
0.82	0	51.6
0.83	0	54.43
0.84	0	55.2
0.85	0	62.26
0.86	0	69.78
0.87	0	73.32
0.88	0	75.5
0.89	0	77.67
0.9	0	79.04
0.91	98.6	79.42
0.92	97.96	79.49
0.93	96.75	79.39
0.94	96.19	79.02
0.95	96.28	78.34
0.96	97.71	77.44
0.97	99.07	76.66
0.98	103.45	77.16
0.99	110.49	77.68
1	113.65	78.35
1.01	101.67	78.19
1.02	93.48	77.1
1.03	95.27	76.53
1.04	97.61	72.85
1.05	0	66.19
1.06	0	58.49
1.07	0	53.53
1.08	0	53.9
1.09	0	53.61
1.1	0	49
1.11	0	42.1
1.12	0	45.84
1.13	0	47.85
1.14	0	50.43
1.15	0	54.21
1.16	0	52.45
1.17	0	53.38
1.18	116.6	55.54
1.19	114.26	57.14
1.2	110.5	57.55
1.21	0	56.69
1.22	0	54.62
1.23	0	50.59
1.24	0	44
1.25	0	47.02
1.26	0	55.6
1.27	0	59.11
1.28	0	60.12
1.29	0	60.12
1.3	0	59.04
1.31	0	56.88
1.32	0	58.68
1.33	134.4	64.21
1.34	134.31	67.29
1.35	133.81	68.86
1.36	132.2	69.39
1.37	129.59	68.46
1.38	125.59	65.46
1.39	125.27	61.58
1.4	126.53	60.19
1.41	124.58	59.93
1.42	122.25	60.52
1.43	119.65	63.81
1.44	116.45	66.73
1.45	114.34	67.92
1.46	112.99	68.27
1.47	110.51	68.23
1.48	108.3	67.83
1.49	106.06	66.57
1.5	102.19	63.61
1.51	0	58
1.52	0	49.14
1.53	0	41.34
1.54	0	43.58
1.55	0	53.43
1.56	0	57.92
1.57	0	63.06
1.58	0	65.19
1.59	0	62.86
1.6	0	58.9
1.61	0	55.75
1.62	0	52.12
1.63	0	56.46
1.64	0	60.85
1.65	0	60.63
1.66	0	59.96
1.67	0	58.86
1.68	0	56.31
1.69	129.49	59.8
1.7	122.99	64.99
1.71	116.77	68.53
1.72	114.58	71.32
1.73	111.77	73.28
1.74	108.82	74.16
1.75	105.74	73.98
1.76	103.53	72.4
1.77	102.27	68.65
1.78	101.9	62.14
1.79	101.96	57.47
1.8	101.13	57.1
1.81	99.88	56.84
1.82	98.95	57.42
1.83	98.35	62.34
1.84	97.92	67.53
1.85	97.75	69.86
1.86	97.95	70.35
1.87	98.52	70.06
1.88	99.24	69.65
1.89	99.96	69.25
1.9	100.51	68.86
1.91	101.07	68.57
1.92	101.27	68.64
1.93	101.17	69.03
1.94	100.88	69.31
1.95	100.25	69.47
1.96	99.37	69.66
1.97	98	69.87
1.98	96	70.26
1.99	94.23	70.37
2	92.58	70.12
2.01	91.35	69.33
2.02	90.72	68.26
2.03	90.42	66.93
2.04	90.54	65.38
2.05	89.94	63.2
2.06	0	59.43
2.07	0	54.3
2.08	0	51.3
2.09	0	50.08
2.1	0	49.2
2.11	0	48.58
2.12	0	48.33
2.13	0	47.82
2.14	0	46.88
2.15	0	44.95
2.16	0	42.07
2.17	0	38.88
2.18	0	35.63
2.19	0	32.3
2.2	0	30.65
2.21	0	29.41
2.22	0	26.89
2.23	0	0
2.24	0	0
2.25	0	0
?	?	?
