time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.89
0.04	0	34.06
0.05	0	34.42
0.06	0	34.98
0.07	0	37.26
0.08	0	40.26
0.09	0	41.6
0.1	0	42.43
0.11	0	43.07
0.12	0	50.92
0.13	0	62.65
0.14	0	66.87
0.15	0	65.48
0.16	0	66.78
0.17	85.24	67.66
0.18	88.48	69.18
0.19	80.74	70.19
0.2	0	69.26
0.21	0	66.08
0.22	0	69.98
0.23	0	75.83
0.24	0	77.88
0.25	0	76.86
0.26	0	75.78
0.27	0	74.91
0.28	0	75.23
0.29	0	77.35
0.3	0	78.3
0.31	0	75.32
0.32	0	70.37
0.33	0	67.51
0.34	0	65.37
0.35	0	62.44
0.36	0	58.57
0.37	0	63.91
0.38	0	71.18
0.39	0	76.39
0.4	0	79.35
0.41	0	80.25
0.42	0	79.75
0.43	0	79.2
0.44	0	78.23
0.45	0	75.22
0.46	0	68.26
0.47	0	54.3
0.48	0	51.84
0.49	0	60.82
0.5	0	64.5
0.51	0	64.36
0.52	0	67.01
0.53	106.84	70.31
0.54	107.98	72.09
0.55	104.28	73.1
0.56	101.82	73.2
0.57	98.28	73.09
0.58	96.91	71.98
0.59	96.27	69.48
0.6	92.73	66.47
0.61	90.43	63.31
0.62	89.25	60.32
0.63	88.61	57.81
0.64	0	56
0.65	0	54.96
0.66	0	56.63
0.67	104.75	63.3
0.68	104.44	71.16
0.69	102.26	77.13
0.7	101.81	80.36
0.71	101.87	81.69
0.72	102.71	81.98
0.73	104.68	82.38
0.74	106.46	82.87
0.75	109.35	83.63
0.76	110.38	84.13
0.77	110.53	83.86
0.78	109.29	83.33
0.79	107.12	82.63
0.8	104.75	81.95
0.81	102.42	81.06
0.82	101.24	79.72
0.83	99.53	78.04
0.84	97.6	76.38
0.85	95.16	74.12
0.86	93.86	70.94
0.87	0	68.08
0.88	0	70.69
0.89	0	75.4
0.9	0	77.91
0.91	0	77.48
0.92	0	74.65
0.93	0	72.45
0.94	0	72.1
0.95	0	72.22
0.96	0	72.4
0.97	0	72.21
0.98	0	69.96
0.99	0	64.65
1	0	64.76
1.01	0	63.99
1.02	0	56.7
1.03	0	52.1
1.04	0	55.74
1.05	0	63.83
1.06	0	69.95
1.07	0	72.58
1.08	84.81	72.04
1.09	83.07	71.91
1.1	83.38	72.9
1.11	85.5	73.59
1.12	81.64	73.51
1.13	80.03	74
1.14	79.49	74.46
1.15	78.74	74.1
1.16	78.08	73.37
1.17	78.35	71.89
1.18	79.34	67.93
1.19	79.95	64.47
1.2	78.19	62.65
1.21	0	59.61
1.22	0	56.29
1.23	0	62.01
1.24	0	68.66
1.25	0	72.11
1.26	0	73.33
1.27	0	72.21
1.28	0	68.12
1.29	0	65.19
1.3	0	63.74
1.31	0	62.75
1.32	80.12	65.29
1.33	0	67.83
1.34	0	65.16
1.35	0	62.42
1.36	0	67.87
1.37	0	68.7
1.38	0	65.25
1.39	0	66.09
1.4	0	65.23
1.41	0	62.67
1.42	0	60.5
1.43	0	54.63
1.44	0	46.39
1.45	0	47.12
1.46	0	58.74
1.47	0	63.71
1.48	0	62.46
1.49	0	60.42
1.5	0	59.23
1.51	0	57.89
1.52	0	55.64
1.53	0	53.78
1.54	0	52.34
1.55	0	50.38
1.56	0	49.36
1.57	0	50.39
1.58	0	50.17
1.59	0	49.23
1.6	0	47.89
1.61	0	46.64
1.62	0	46.06
1.63	0	45.24
1.64	0	44.48
1.65	0	43.26
1.66	0	41.84
1.67	0	41.52
1.68	0	40.63
1.69	0	37.94
1.7	0	36.83
1.71	0	36.66
1.72	0	36.57
1.73	0	36.86
1.74	0	35.73
1.75	0	34.76
1.76	0	34.88
1.77	0	35.26
1.78	0	35.43
1.79	0	35.93
1.8	0	35.87
1.81	0	34.68
1.82	0	34.22
1.83	0	34.11
1.84	0	37.91
1.85	0	41.92
1.86	0	39.55
1.87	0	35.91
1.88	0	38.62
1.89	0	43.43
1.9	0	44.53
1.91	0	40.51
1.92	0	40.21
1.93	0	40.92
1.94	0	39.94
1.95	0	36.96
1.96	0	37.18
1.97	0	38.3
1.98	0	37.02
1.99	0	35.35
2	0	36.18
2.01	0	36.94
2.02	0	36.61
2.03	0	36.78
2.04	0	36.13
2.05	0	36.2
2.06	0	40.59
2.07	0	39.98
2.08	0	36.13
2.09	0	35.67
2.1	0	35.4
2.11	0	34.86
2.12	0	34.1
2.13	0	34.69
2.14	0	37.54
2.15	0	38.05
2.16	0	35.56
2.17	0	0
2.18	0	0
2.19	0	0
?	?	?
