time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.89
0.04	0	29.89
0.05	0	30.23
0.06	0	30.46
0.07	0	30.67
0.08	0	31.17
0.09	0	31.72
0.1	0	32.46
0.11	0	32.76
0.12	0	40.22
0.13	0	54.68
0.14	0	62.1
0.15	0	63.01
0.16	0	70.9
0.17	0	76.48
0.18	0	75.67
0.19	0	76.67
0.2	0	78.87
0.21	0	80.26
0.22	0	80.15
0.23	0	80.47
0.24	132.56	79.6
0.25	132.63	77.7
0.26	133.38	76.39
0.27	134.91	76.14
0.28	135.63	76.63
0.29	135.53	76.9
0.3	135.73	76.81
0.31	135.83	75.68
0.32	136.1	72.88
0.33	137.62	70.72
0.34	138.98	70.57
0.35	139.24	70.85
0.36	139.23	71.15
0.37	138.95	72.03
0.38	137.71	73.6
0.39	136.61	74.9
0.4	137.01	75.77
0.41	138.31	76.34
0.42	138.87	76.47
0.43	138.27	76.08
0.44	137.56	75.29
0.45	136.29	73.08
0.46	0	67.44
0.47	0	58.95
0.48	0	52.67
0.49	0	48.74
0.5	0	46.73
0.51	0	44.89
0.52	0	45.94
0.53	0	55.04
0.54	0	60.86
0.55	0	66.63
0.56	0	73.81
0.57	134.89	77.97
0.58	134.59	80.06
0.59	133.98	81
0.6	132.92	80.87
0.61	131.25	79.17
0.62	129.78	74.91
0.63	0	66.26
0.64	0	55.6
0.65	0	52.92
0.66	0	52.7
0.67	131.09	57.41
0.68	131.07	63.88
0.69	130.6	67.74
0.7	129.46	69.44
0.71	130.75	71.18
0.72	129.78	74.53
0.73	127.36	77.56
0.74	127.28	79.56
0.75	126.9	80.63
0.76	126.79	81.31
0.77	126.82	81.73
0.78	126.93	81.84
0.79	127.79	82.02
0.8	128.19	82.24
0.81	126.29	82.03
0.82	123.11	81.46
0.83	124.33	80.12
0.84	0	76.27
0.85	0	71.84
0.86	0	67.65
0.87	0	65.16
0.88	0	68.06
0.89	0	67.69
0.9	0	63.7
0.91	0	61.69
0.92	0	57.48
0.93	0	52.84
0.94	0	50.2
0.95	0	48.28
0.96	0	49.92
0.97	0	54.75
0.98	0	65.17
0.99	130.6	73.91
1	130.16	78.26
1.01	126.67	79.98
1.02	122.04	80.14
1.03	119.47	79.51
1.04	118.03	78.52
1.05	117.3	77.53
1.06	116.64	76.75
1.07	115.61	76.09
1.08	114.21	75.57
1.09	113.39	75.44
1.1	113.04	75.52
1.11	112.35	75.4
1.12	111.76	75.08
1.13	111.83	74.6
1.14	112.1	73.61
1.15	112.43	72.09
1.16	113.17	70.38
1.17	114.12	68.14
1.18	0	64.16
1.19	0	59.8
1.2	0	58.22
1.21	0	57.67
1.22	0	57.2
1.23	0	56.47
1.24	0	54.44
1.25	0	51.42
1.26	0	49.48
1.27	0	48.93
1.28	0	48.15
1.29	0	47.31
1.3	0	45.96
1.31	0	44.74
1.32	0	43.14
1.33	0	40.62
1.34	0	39.45
1.35	0	0
1.36	0	0
?	?	?
