time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.51
0.04	0	33.32
0.05	0	32.91
0.06	0	33.6
0.07	0	35.31
0.08	0	34.94
0.09	0	34.18
0.1	0	34.34
0.11	0	34.74
0.12	0	38.13
0.13	0	45.66
0.14	0	53.53
0.15	0	66.36
0.16	0	77.07
0.17	107.42	81.6
0.18	103.97	82.61
0.19	103.56	82.78
0.2	103.86	82.74
0.21	104.08	83.03
0.22	103.92	83.43
0.23	102.84	83.14
0.24	102.02	81.44
0.25	100.81	78.75
0.26	100.01	75.88
0.27	98.73	74.08
0.28	97.99	73.7
0.29	96.95	73.9
0.3	95.44	73.58
0.31	94.3	73.25
0.32	94.37	73.32
0.33	94.83	72.84
0.34	94.65	71.66
0.35	0	69.43
0.36	0	66.62
0.37	0	68.15
0.38	0	71.86
0.39	0	74.04
0.4	0	74.3
0.41	0	75.53
0.42	0	77.62
0.43	0	79.51
0.44	0	79.94
0.45	0	78.38
0.46	0	75.53
0.47	0	73.73
0.48	0	71.4
0.49	0	71.96
0.5	0	77.51
0.51	0	79.28
0.52	101.31	79.14
0.53	101.28	80.03
0.54	101.79	81.17
0.55	102.18	81.47
0.56	102.43	81.89
0.57	102.54	82.44
0.58	101.53	82.46
0.59	100.5	81.87
0.6	98.81	80.7
0.61	98.5	78.21
0.62	0	73.93
0.63	0	65.88
0.64	0	67.09
0.65	0	73.43
0.66	0	75.39
0.67	0	74.03
0.68	0	70.08
0.69	0	68.05
0.7	0	67.18
0.71	0	66.73
0.72	0	65.35
0.73	0	60.57
0.74	0	53.22
0.75	0	44.33
0.76	0	38.8
0.77	0	50.97
0.78	0	63.29
0.79	0	66.44
0.8	0	64.28
0.81	0	61.75
0.82	0	57.49
0.83	0	56.2
0.84	0	55.75
0.85	0	54.07
0.86	0	52.61
0.87	0	52.15
0.88	0	51.32
0.89	0	49.83
0.9	0	49.07
0.91	0	48.43
0.92	0	46.39
0.93	0	43.94
0.94	0	42.77
0.95	0	41.79
0.96	0	40.74
0.97	0	39.66
0.98	0	39.63
0.99	0	0
1	0	0
1.01	0	0
