time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	23.3
0.04	0	24.59
0.05	0	25.05
0.06	0	22.62
0.07	0	21.43
0.08	0	21.31
0.09	0	21.87
0.1	0	21.77
0.11	0	20.78
0.12	0	29
0.13	0	47.52
0.14	0	58.64
0.15	0	63.93
0.16	0	69.54
0.17	143.77	74.4
0.18	145.63	76.8
0.19	153	78.61
0.2	156.01	80.15
0.21	156.28	80.87
0.22	160.34	81.11
0.23	157.09	80.55
0.24	158.97	78.49
0.25	161.27	76.04
0.26	159.05	76.73
0.27	156.01	79.14
0.28	152.63	80.5
0.29	148.05	80.31
0.3	140.36	78.32
0.31	135.2	75.67
0.32	131.4	73.94
0.33	128.26	73.02
0.34	125.05	72.31
0.35	122.83	71.74
0.36	120.54	71.98
0.37	119.32	73.19
0.38	118.34	74.7
0.39	117.78	75.68
0.4	117.43	75.93
0.41	116.62	76.38
0.42	115.51	76.88
0.43	114.42	77.34
0.44	113.89	78
0.45	114.83	78.09
0.46	116.3	77.88
0.47	117.05	77.27
0.48	116.64	76.59
0.49	116.57	76.45
0.5	117.54	76.17
0.51	119.01	75.93
0.52	119.73	75.4
0.53	120	74.65
0.54	120.11	74.36
0.55	120.08	74.54
0.56	120.14	74.64
0.57	120.97	75.01
0.58	121.94	75.53
0.59	122.78	76
0.6	123.47	76.33
0.61	124.03	76.69
0.62	125.64	77.41
0.63	127.55	78.02
0.64	128.78	78.23
0.65	130.08	78.31
0.66	131.34	78.32
0.67	133.17	77.6
0.68	135.39	76.29
0.69	135.76	74.48
0.7	135.46	72.1
0.71	134.59	69.63
0.72	132.3	67.61
0.73	129.91	66.53
0.74	129.02	66.99
0.75	129.41	68.48
0.76	129.87	69.44
0.77	129.84	69.88
0.78	129.96	70.8
0.79	128.39	71.26
0.8	126.22	71.1
0.81	123.37	70.81
0.82	119.83	69.83
0.83	115.41	67.84
0.84	111.27	64.84
0.85	0	62.36
0.86	0	63.02
0.87	0	65.61
0.88	116.12	68.55
0.89	122.07	72.11
0.9	127.98	75.3
0.91	130.21	77.87
0.92	132.49	80.41
0.93	134	82.49
0.94	135.35	83.67
0.95	136.59	84.03
0.96	137.49	83.9
0.97	138.06	83.31
0.98	137.64	81.94
0.99	135.79	78.84
1	132.83	73.61
1.01	129.06	68.56
1.02	126.25	64.91
1.03	124.35	62.7
1.04	122.76	62.39
1.05	121.65	64.07
1.06	121.4	67.05
1.07	121.57	70.29
1.08	121.22	72.6
1.09	119.04	73.42
1.1	116.07	73.46
1.11	113.57	73.19
1.12	111.77	72.42
1.13	111.02	71.58
1.14	111.1	70.94
1.15	112.85	70.42
1.16	116.36	70.04
1.17	119.88	70.31
1.18	122.11	70.96
1.19	123.26	71.08
1.2	121.52	69.38
1.21	119.45	65.97
1.22	118.97	62.02
1.23	119.53	59.61
1.24	118.94	59.96
1.25	117.61	61.34
1.26	116.77	63.35
1.27	114.78	65.64
1.28	113.73	67.76
1.29	114.31	70.1
1.3	115.18	72.69
1.31	115.74	74.47
1.32	115.96	75.92
1.33	116.61	77.22
1.34	116.75	77.73
1.35	115.86	76.88
1.36	113.67	74.85
1.37	109.65	72.45
1.38	106.81	70.09
1.39	107.67	69.01
1.4	112.96	69.68
1.41	117.91	71.12
1.42	117.79	72.33
1.43	115.54	72.52
1.44	112.94	72.15
1.45	110.44	71.63
1.46	108.17	71.17
1.47	105.92	70.78
1.48	105.93	71.36
1.49	106.88	72.91
1.5	104.82	73.9
1.51	103.15	74.82
1.52	105.17	76.22
1.53	107.77	77.61
1.54	109.18	78.66
1.55	108.78	79.37
1.56	109.56	79.88
1.57	110.09	79.9
1.58	110.36	79.56
1.59	110.17	79.25
1.6	110.02	78.76
1.61	109.99	77.81
1.62	108.78	75.47
1.63	106.2	70.62
1.64	104.2	66.34
1.65	104.44	66.76
1.66	105.41	68.41
1.67	107.19	69.24
1.68	108.89	69.28
1.69	109.89	69.08
1.7	109.56	68.42
1.71	108.1	64.83
1.72	107.66	58.62
1.73	107.94	56.2
1.74	107.31	56.51
1.75	106.72	56.85
1.76	106.52	57.02
1.77	106.57	57.12
1.78	107.72	60.07
1.79	108.82	67.67
1.8	108.6	72.14
1.81	108.66	73.24
1.82	108.11	73.35
1.83	107.49	73.56
1.84	107.07	73.57
1.85	106.84	73.48
1.86	106.48	73.48
1.87	105.56	73.31
1.88	104.48	72.74
1.89	103.15	72.77
1.9	101.23	72.89
1.91	105.39	72.49
1.92	111.7	71.64
1.93	108.04	70.36
1.94	105.05	68.91
1.95	104.55	66.78
1.96	0	63.89
1.97	0	60.62
1.98	0	56.52
1.99	0	50.76
2	0	46.99
2.01	0	44.93
2.02	0	42.75
2.03	0	41.14
2.04	0	40.06
2.05	0	39.31
2.06	0	38.96
2.07	0	38.15
2.08	0	37.23
2.09	0	0
2.1	0	0
2.11	0	0
