time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.19
0.04	0	34.75
0.05	0	34.81
0.06	0	35.22
0.07	0	34.39
0.08	0	31.75
0.09	0	27.78
0.1	0	25.68
0.11	0	25.89
0.12	0	26.21
0.13	0	28.2
0.14	0	37.59
0.15	0	52.75
0.16	140.04	63.45
0.17	137.49	69.44
0.18	137.1	72.6
0.19	144.05	75.12
0.2	150.57	77.51
0.21	157.94	79.49
0.22	165.38	80.87
0.23	171.89	80.8
0.24	173.24	79.01
0.25	171	76.43
0.26	162.12	74.68
0.27	151.64	74.3
0.28	144.98	74.55
0.29	139.26	74.33
0.3	128.72	73.69
0.31	120.96	73.13
0.32	115.16	72.41
0.33	110.28	71.61
0.34	105.99	70.59
0.35	103.48	69.52
0.36	101.46	68.99
0.37	100.51	68.94
0.38	99.99	69.06
0.39	100.19	70.03
0.4	101.05	72.04
0.41	103.24	75.07
0.42	105.64	77.55
0.43	108.8	78.82
0.44	111.69	79.67
0.45	114.09	80.29
0.46	116.05	80.59
0.47	119.12	80.38
0.48	123.99	80.31
0.49	127.88	80.82
0.5	130.48	81.28
0.51	133.74	81.83
0.52	136.33	82.66
0.53	139.11	83.38
0.54	141.61	84.26
0.55	143.27	85.01
0.56	144.21	85.39
0.57	144.26	85.31
0.58	142.53	83.99
0.59	139.52	79.86
0.6	0	71.31
0.61	0	58.63
0.62	0	48.58
0.63	0	47.74
0.64	0	51.03
0.65	0	48.6
0.66	0	41.36
0.67	0	43.94
0.68	0	50.58
0.69	0	49.75
0.7	0	40.14
0.71	0	33.74
0.72	0	33.09
0.73	0	30.14
0.74	0	31.59
0.75	0	34.55
0.76	0	31.32
0.77	0	25.13
0.78	0	23.72
0.79	0	23.72
0.8	0	24.46
0.81	0	30.61
0.82	0	43.9
0.83	0	58.07
0.84	0	70.17
0.85	0	77.13
0.86	109.36	78.89
0.87	110.81	78.34
0.88	111.98	78.3
0.89	112.61	78.14
0.9	113.52	77.94
0.91	114.06	78.07
0.92	113.53	78.12
0.93	112.07	77.54
0.94	110.22	76.54
0.95	108.23	76.06
0.96	105.99	76.29
0.97	103.73	76.57
0.98	102.1	77.01
0.99	101.01	77.31
1	99.66	76.77
1.01	98.11	74.78
1.02	0	70.17
1.03	0	61.38
1.04	0	55.45
1.05	0	54.6
1.06	0	55.26
1.07	0	61.67
1.08	102.57	69.58
1.09	102.55	74.69
1.1	102.4	77.15
1.11	103.2	78.06
1.12	104.69	78.01
1.13	108.08	77.05
1.14	110.59	76.16
1.15	111.62	76.25
1.16	112.02	74.76
1.17	0	69.09
1.18	0	59.33
1.19	0	54.59
1.2	0	59.49
1.21	0	63.49
1.22	0	64.99
1.23	0	63.93
1.24	0	60.26
1.25	0	56.8
1.26	0	61.07
1.27	103.3	67.47
1.28	98.71	69.9
1.29	96.39	70.03
1.3	91.19	67.73
1.31	89.43	63.95
1.32	89.6	62.52
1.33	89.2	62.84
1.34	89.52	63.87
1.35	89.95	67.83
1.36	89.96	71.61
1.37	90.44	72.91
1.38	91.54	73.67
1.39	92.65	74.42
1.4	93.58	74.66
1.41	94.07	74.43
1.42	96.41	74.77
1.43	100.29	75.53
1.44	103.55	75.78
1.45	106.39	75.6
1.46	109.65	75.56
1.47	112.33	75.57
1.48	113.68	75.47
1.49	113.56	75.32
1.5	112.26	75.01
1.51	110.73	74.44
1.52	107.22	73.73
1.53	102.19	73.01
1.54	96.09	72.5
1.55	90.2	71.78
1.56	86.1	70.6
1.57	83.35	69.16
1.58	81.83	68.04
1.59	80.79	67.1
1.6	80.11	65.96
1.61	80.35	65.37
1.62	80.09	64.87
1.63	80.1	64.78
1.64	80.83	64.78
1.65	81.47	63.54
1.66	82.64	61.31
1.67	0	58.17
1.68	0	54.32
1.69	0	52.08
1.7	0	51.29
1.71	0	50.43
1.72	0	49.65
1.73	0	49.15
1.74	0	48.73
1.75	0	47.92
1.76	0	46.84
1.77	0	44.61
1.78	0	42
1.79	0	40.01
1.8	0	36.77
1.81	0	34.7
1.82	0	33.54
1.83	0	0
1.84	0	0
1.85	0	0
?	?	?
