time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	41.09
0.05	0	40.45
0.06	0	41.13
0.07	0	43.19
0.08	0	42.24
0.09	0	46.14
0.1	0	54.94
0.11	0	61.25
0.12	0	65.13
0.13	96.45	67.13
0.14	108.53	69.56
0.15	110.01	72.36
0.16	110.52	75.38
0.17	110.94	78.05
0.18	111.39	79.69
0.19	111.98	80.11
0.2	112.8	79.13
0.21	113.35	76.38
0.22	113.17	72.82
0.23	112.96	70
0.24	107.88	66.35
0.25	107.51	63.45
0.26	104.99	62.02
0.27	101.25	60.32
0.28	95.74	60.61
0.29	0	68.86
0.3	0	75.1
0.31	113.34	79.53
0.32	110.87	83.22
0.33	107.14	84.19
0.34	105.14	83.81
0.35	103.9	83.67
0.36	102.24	83.44
0.37	100.88	82.44
0.38	99.47	81.58
0.39	98.83	81.47
0.4	98.41	81.05
0.41	97.31	80.24
0.42	96.39	80.42
0.43	95.42	81.19
0.44	93.74	81.94
0.45	92.23	81.33
0.46	91.07	79.51
0.47	90.64	78.27
0.48	90.88	77.61
0.49	90.84	76.75
0.5	90.57	75.66
0.51	90.38	74.38
0.52	89.45	72.64
0.53	88.5	71.53
0.54	88.3	70.82
0.55	86.01	69.7
0.56	0	67.58
0.57	0	66.73
0.58	0	71.28
0.59	0	75
0.6	0	76.82
0.61	0	77.27
0.62	0	76.93
0.63	0	75.41
0.64	0	71.93
0.65	0	68.31
0.66	0	71.78
0.67	0	76.33
0.68	85.46	77.18
0.69	85.67	75.91
0.7	85.58	74.59
0.71	84.98	73.35
0.72	85.08	70.99
0.73	84.49	69.08
0.74	83.93	68.47
0.75	82.36	67.43
0.76	0	64.61
0.77	0	58.87
0.78	0	53.32
0.79	0	58.82
0.8	0	63.7
0.81	0	62.21
0.82	0	61.08
0.83	0	66.1
0.84	81.18	69.83
0.85	83.19	71.8
0.86	84.64	73.92
0.87	83.8	76.63
0.88	81.3	77.32
0.89	82.38	76.79
0.9	82.92	76.58
0.91	82.16	76.33
0.92	81.76	76.42
0.93	79.34	75.05
0.94	77.94	72.85
0.95	78.25	71.03
0.96	81.2	69.95
0.97	82.37	68.9
0.98	0	67.34
0.99	0	65.41
1	0	67.62
1.01	0	71.34
1.02	0	73.59
1.03	0	75.39
1.04	0	77.24
1.05	0	78.6
1.06	0	78.15
1.07	0	76.05
1.08	0	73.68
1.09	0	70.77
1.1	0	67.45
1.11	0	63.32
1.12	0	58.76
1.13	0	55.67
1.14	0	54.08
1.15	0	54.22
1.16	0	54.45
1.17	0	52.9
1.18	0	51.94
1.19	0	50.51
1.2	0	49.57
1.21	0	49.18
1.22	0	47.93
1.23	0	0
1.24	0	0
1.25	0	0
