time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.08
0.05	0	25.44
0.06	0	24.91
0.07	0	25.31
0.08	0	25.64
0.09	0	26.29
0.1	0	27.04
0.11	0	27.88
0.12	0	31.32
0.13	0	38.54
0.14	0	43.54
0.15	0	51.87
0.16	0	61.13
0.17	0	63.7
0.18	0	59.87
0.19	0	56.91
0.2	0	54.56
0.21	0	47.77
0.22	0	43.96
0.23	0	44.65
0.24	0	42.68
0.25	0	41.76
0.26	0	40.41
0.27	0	39.32
0.28	0	38.63
0.29	0	37.91
0.3	0	38.07
0.31	0	38.09
0.32	0	38.26
0.33	0	38.5
0.34	0	38.4
0.35	0	38.13
0.36	0	39
0.37	0	39.42
0.38	0	38.78
0.39	0	39.21
0.4	0	40.14
0.41	0	39.49
0.42	0	39.17
0.43	0	40.21
0.44	0	41.73
0.45	0	41.73
0.46	0	40.69
0.47	0	41.33
0.48	0	41.74
0.49	0	41.38
0.5	0	41.96
0.51	0	40.07
0.52	0	38.07
0.53	0	37.53
0.54	0	35.26
0.55	0	34.19
0.56	0	34.49
0.57	0	34.25
0.58	0	33.39
0.59	0	31.2
0.6	0	29.24
0.61	0	28.3
0.62	0	27.74
0.63	0	27.9
0.64	0	27.13
0.65	0	25.78
0.66	0	25.14
0.67	0	26.36
0.68	0	32.01
0.69	0	36.42
0.7	0	34.76
0.71	0	32.64
0.72	0	37.95
0.73	0	39.08
0.74	0	36
0.75	0	42.62
0.76	0	49.83
0.77	0	54.17
0.78	102.72	56.38
0.79	104.03	57.66
0.8	106.91	58.76
0.81	107.95	59.69
0.82	107.88	60.31
0.83	108.26	60.67
0.84	108.98	61.01
0.85	113.17	63.79
0.86	114.97	70.37
0.87	115.26	74.96
0.88	114.64	77.12
0.89	115.37	78.05
0.9	117.4	78.58
0.91	119.94	79.37
0.92	122.56	80.46
0.93	125.39	81.1
0.94	128.52	81.38
0.95	131.39	81.63
0.96	133.53	81.91
0.97	135.14	82.44
0.98	135.86	82.96
0.99	135.94	83.29
1	135.8	83.63
1.01	135.54	83.9
1.02	133.95	83.64
1.03	131.63	83.34
1.04	129.26	83.1
1.05	126.93	82.6
1.06	124.8	81.85
1.07	122.45	80.71
1.08	120.2	79.32
1.09	118.19	77.62
1.1	115.09	75.38
1.11	112.27	72.65
1.12	0	69.42
1.13	0	67.12
1.14	0	68.68
1.15	0	71.47
1.16	0	73.88
1.17	0	76.42
1.18	0	78.24
1.19	0	79.69
1.2	0	81.06
1.21	0	81.63
1.22	0	82.11
1.23	0	82.46
1.24	0	82.92
1.25	0	83.46
1.26	0	83.34
1.27	0	83.25
1.28	0	83.13
1.29	0	82.93
1.3	0	82.66
1.31	0	81.91
1.32	0	81.43
1.33	0	79.78
1.34	0	75.19
1.35	0	71.17
1.36	133.22	72.59
1.37	132.62	74.94
1.38	132.58	76.16
1.39	132.71	76.8
1.4	129.51	77.09
1.41	126.72	77.28
1.42	125.59	77.64
1.43	124.28	77.72
1.44	122.67	77.42
1.45	120.5	77.39
1.46	118.73	78.16
1.47	117.47	78.84
1.48	114.43	78.38
1.49	110.47	76.71
1.5	107.63	74.86
1.51	105.97	73.6
1.52	104.67	72.53
1.53	103.86	70.82
1.54	103.08	68.72
1.55	101.86	66.76
1.56	101.27	65.33
1.57	101.16	64.59
1.58	101.6	64.38
1.59	103.4	65.09
1.6	107.45	68.78
1.61	113.08	73.75
1.62	116.78	77.62
1.63	118.2	80.23
1.64	119.05	82.69
1.65	119.06	84.25
1.66	118.16	83.7
1.67	117.07	82.7
1.68	115.49	82.57
1.69	112.24	82.1
1.7	0	80.5
1.71	0	77.75
1.72	0	73.5
1.73	0	66.37
1.74	0	54.79
1.75	0	46.86
1.76	0	45.59
1.77	0	44.43
1.78	0	43.22
1.79	0	41.53
1.8	0	39.86
1.81	0	37.18
1.82	0	31.57
1.83	0	32.33
1.84	0	35.33
1.85	0	35.49
1.86	0	42.04
1.87	0	59.85
1.88	0	68.59
1.89	0	72.66
1.9	0	74.05
1.91	98	73.99
1.92	96.88	73.3
1.93	95.42	72.67
1.94	94.41	72.18
1.95	93.23	71.62
1.96	92.07	71.4
1.97	91.55	71.26
1.98	91.24	70.14
1.99	90.4	68.13
2	91.24	67.09
2.01	91.55	66.8
2.02	88.85	66.29
2.03	88.34	65.34
2.04	78.21	62.95
2.05	0	58.47
2.06	0	49.42
2.07	0	39.28
2.08	0	35.74
2.09	0	35.66
2.1	0	35.11
2.11	0	36.39
2.12	0	37.89
2.13	0	42.42
2.14	0	42.65
2.15	0	38.39
2.16	0	36.62
2.17	0	38.03
2.18	0	38.69
2.19	0	38.4
2.2	0	39.65
2.21	0	43.57
2.22	0	45.38
2.23	0	43.58
2.24	0	42.34
2.25	0	42.85
2.26	0	44.24
2.27	0	45.22
2.28	0	44.68
2.29	0	44.48
2.3	0	44.73
2.31	0	45.98
2.32	0	46.39
2.33	0	47.32
2.34	0	49.73
2.35	0	50.06
2.36	0	49.51
2.37	0	48.14
2.38	0	48.28
2.39	0	49.01
2.4	0	48.61
2.41	0	48.06
2.42	0	47.26
2.43	0	45.61
2.44	0	46.5
2.45	0	48.01
2.46	0	47.74
2.47	0	46.55
2.48	0	45.69
2.49	0	46.01
2.5	0	45.25
2.51	0	44.38
2.52	0	43.75
2.53	0	41.61
2.54	0	41.6
2.55	0	0
2.56	0	0
2.57	0	0
