time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.93
0.05	0	31.91
0.06	0	31.34
0.07	0	29.73
0.08	0	27.82
0.09	0	28.97
0.1	0	30.57
0.11	0	29.09
0.12	0	29.25
0.13	0	34.55
0.14	0	41.51
0.15	0	47.58
0.16	0	51.63
0.17	0	55.9
0.18	0	60.4
0.19	0	62.89
0.2	0	64.77
0.21	0	66.51
0.22	0	68
0.23	0	69.34
0.24	0	70.23
0.25	0	70.39
0.26	0	70.48
0.27	0	68.98
0.28	0	65.66
0.29	0	65.95
0.3	0	69.89
0.31	125.61	72.36
0.32	124.79	73.29
0.33	123.95	73.49
0.34	123.63	73.34
0.35	123.27	72.57
0.36	121.89	70.01
0.37	0	63.72
0.38	0	55.96
0.39	0	53.57
0.4	0	54.58
0.41	0	64.44
0.42	130.53	72.88
0.43	130.68	78.16
0.44	137.65	81.87
0.45	149.77	84.17
0.46	156.34	85.01
0.47	160.94	84.39
0.48	166.33	83.03
0.49	167.57	80.82
0.5	166.99	75.34
0.51	0	63.99
0.52	0	58.21
0.53	151.28	62.8
0.54	151.12	66.34
0.55	150.74	68.53
0.56	148.82	69.74
0.57	144.09	70.19
0.58	139.49	70.35
0.59	136.53	70.25
0.6	134.31	69.87
0.61	132.48	69.34
0.62	131.47	68.66
0.63	130.71	67.6
0.64	128.82	65.55
0.65	123.24	62.27
0.66	121.02	60.28
0.67	133.24	67.97
0.68	136	76.8
0.69	128.98	81.18
0.7	131.06	82.89
0.71	132.1	83.92
0.72	133.11	84.65
0.73	133.09	84.52
0.74	133.24	83.33
0.75	133.62	81.63
0.76	133.09	80.03
0.77	133.72	79.37
0.78	133.98	79.21
0.79	133.48	78.7
0.8	132.34	77.65
0.81	131.46	76.58
0.82	130.38	73.9
0.83	128.12	69.66
0.84	128.17	68.6
0.85	128.89	72.85
0.86	128.69	77.67
0.87	123.93	79.4
0.88	122.88	79.63
0.89	121.92	79.92
0.9	121.56	80.54
0.91	121.39	81.26
0.92	120.75	81.37
0.93	119.64	80.51
0.94	118.74	79.04
0.95	117.68	77.62
0.96	116.85	76.26
0.97	115.78	74.05
0.98	113.17	71.01
0.99	114.57	71.8
1	116.53	74.97
1.01	118.7	77.48
1.02	119.88	79.29
1.03	119.43	79.59
1.04	119.18	78.24
1.05	119.96	76.78
1.06	120.92	75.23
1.07	121.91	71.79
1.08	125.59	67.15
1.09	126.91	66.63
1.1	129.33	69.87
1.11	128.96	74.13
1.12	127.82	75.66
1.13	126.22	75.23
1.14	122.58	74.09
1.15	120.13	72.68
1.16	117.69	70.8
1.17	115.29	67.75
1.18	0	62.03
1.19	0	51.42
1.2	0	36.94
1.21	0	35.6
1.22	0	39.14
1.23	0	43.36
1.24	0	49.09
1.25	0	54.33
1.26	0	62.66
1.27	141.88	70.88
1.28	133.49	74.97
1.29	129.84	75.57
1.3	124.02	74.04
1.31	121.03	72.23
1.32	119.66	70.87
1.33	118.5	69.88
1.34	116.44	69.39
1.35	115.13	69.75
1.36	114.25	70.93
1.37	113.47	72.34
1.38	112.58	73.06
1.39	111.24	71.72
1.4	108.66	67.31
1.41	107.49	61.92
1.42	104.14	58.87
1.43	101.37	57.76
1.44	100.83	59.92
1.45	109.97	64.28
1.46	111.11	67.3
1.47	111.97	69.51
1.48	113.05	71.88
1.49	118.18	74.26
1.5	118.1	75.55
1.51	115.01	76.53
1.52	117.68	78.8
1.53	119.23	80.78
1.54	121.19	81.88
1.55	126.05	82.6
1.56	130.26	82.93
1.57	136.19	82.4
1.58	141.62	81.58
1.59	147.84	81.12
1.6	153.68	81.02
1.61	158.52	81.52
1.62	161.83	82.13
1.63	161.45	82.31
1.64	158.64	82.04
1.65	152.31	81.43
1.66	145.33	80.95
1.67	132.88	81.02
1.68	124.48	81.39
1.69	120.7	81
1.7	116.82	79.68
1.71	114.41	77.7
1.72	112.98	75.21
1.73	111.55	72.48
1.74	110.05	69.81
1.75	107.78	66.39
1.76	104.92	62.4
1.77	0	61.55
