time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	24.58
0.04	0	26.99
0.05	0	28.76
0.06	0	24.86
0.07	0	21.19
0.08	0	20.9
0.09	0	22.53
0.1	0	28.93
0.11	0	39.27
0.12	0	44.97
0.13	0	47.56
0.14	0	50.54
0.15	0	52.38
0.16	107.1	53.74
0.17	107.09	55.32
0.18	110.35	60.47
0.19	111.04	68.86
0.2	111.49	73.16
0.21	113.16	74.96
0.22	114.98	76.05
0.23	116.87	76.77
0.24	119.05	76.91
0.25	121.32	76.65
0.26	123.31	76.36
0.27	126.7	75.89
0.28	129.79	75.19
0.29	130.84	74.08
0.3	130.55	71.53
0.31	0	66.22
0.32	0	57.68
0.33	0	45.41
0.34	0	38.65
0.35	0	51.36
0.36	0	58.07
0.37	0	58.13
0.38	0	58.63
0.39	0	66.68
0.4	156.32	72.52
0.41	155.97	73.35
0.42	154.84	71.81
0.43	153.16	68.48
0.44	0	61.26
0.45	0	47.62
0.46	0	31.81
0.47	0	28.76
0.48	0	43.41
0.49	0	50.74
0.5	0	49.39
0.51	0	37.33
0.52	0	44.34
0.53	0	58.33
0.54	0	63.77
0.55	0	64.84
0.56	0	64.05
0.57	0	62.11
0.58	0	64.11
0.59	145.58	71.29
0.6	144.58	77.11
0.61	143.63	80.76
0.62	142.8	82.47
0.63	141.8	82.21
0.64	140.84	79.4
0.65	140.49	72.43
0.66	141.75	61.73
0.67	141.84	57.55
0.68	0	62.71
0.69	138.61	71.48
0.7	138.95	76.36
0.71	138.94	78.75
0.72	137.64	79.56
0.73	135.53	79.48
0.74	133.87	79.31
0.75	132.77	79.24
0.76	131.69	78.97
0.77	130.75	78.46
0.78	129.77	78.24
0.79	128.29	78.44
0.8	126.53	78.87
0.81	123.65	79.48
0.82	120.77	79.55
0.83	118.76	78.44
0.84	114.09	75.79
0.85	110.89	72.19
0.86	0	66.75
0.87	0	58.62
0.88	0	52.16
0.89	0	52.1
0.9	0	51.23
0.91	0	50.79
0.92	0	52.55
0.93	0	53.65
0.94	0	52.98
0.95	0	53.41
0.96	0	64.13
0.97	0	72.13
0.98	106.93	75.8
0.99	105.82	77.21
1	104.2	77.77
1.01	102.62	77.89
1.02	101.3	77.88
1.03	100.34	77.89
1.04	99.67	77.88
1.05	99.07	77.73
1.06	98.56	77.24
1.07	98.04	76.65
1.08	97.38	75.91
1.09	97.62	75.21
1.1	97.54	74.28
1.11	97.29	73.35
1.12	97.54	72.35
1.13	97.54	71.14
1.14	96.94	69.76
1.15	96.34	68.2
1.16	95.87	66.31
1.17	95.77	64.2
1.18	96.82	63.19
1.19	97.42	64.02
1.2	97.1	65.21
1.21	96.87	65.99
1.22	96.16	66.75
1.23	94.91	67.39
1.24	94.52	67.86
1.25	94.94	68.55
1.26	95.33	69.11
1.27	95.69	69.44
1.28	95.66	69.51
1.29	95.17	69.16
1.3	94.86	68.56
1.31	94.49	67.7
1.32	94.36	66.72
1.33	94.98	66.06
1.34	94.88	65.04
1.35	95.17	64.01
1.36	95.57	63.26
1.37	97.05	62.68
1.38	97.73	61.8
1.39	109.62	60.6
1.4	0	59.89
1.41	0	54.31
1.42	0	40.21
1.43	0	34.86
1.44	0	37.68
1.45	0	33.64
1.46	0	26.81
1.47	0	26.03
1.48	0	27.35
1.49	0	28.71
1.5	0	27.68
1.51	0	26.92
1.52	0	28.76
1.53	0	31.27
1.54	0	32.14
1.55	0	0
1.56	0	0
?	?	?
