time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.66
0.05	0	28.36
0.06	0	29.14
0.07	0	28.38
0.08	0	27.33
0.09	0	26.4
0.1	0	25.97
0.11	0	25.3
0.12	0	32.7
0.13	0	47.54
0.14	0	54.9
0.15	0	55.56
0.16	0	53.48
0.17	0	62.02
0.18	0	72.25
0.19	91.96	76.15
0.2	102.43	76.85
0.21	106.8	75.37
0.22	103.02	72.82
0.23	101.09	69.84
0.24	98.44	66.44
0.25	99.1	64.91
0.26	100.39	65.68
0.27	100.38	66.31
0.28	101.48	66.86
0.29	102.55	67.74
0.3	103.12	68.49
0.31	103.95	69.81
0.32	105.45	70.67
0.33	107.77	72.11
0.34	109.28	74.49
0.35	110.68	76.55
0.36	112.25	78.14
0.37	113.98	79.14
0.38	115.72	80.07
0.39	116.19	81.17
0.4	116.66	81.82
0.41	120.09	81.69
0.42	125.45	81.74
0.43	129.29	82.06
0.44	130.76	81.58
0.45	130.11	79.42
0.46	0	75.3
0.47	0	67.74
0.48	0	52.58
0.49	0	34.4
0.5	0	30.43
0.51	0	31.74
0.52	0	41.01
0.53	0	51.98
0.54	0	58.98
0.55	0	62.71
0.56	0	64.71
0.57	0	66.81
0.58	0	68.14
0.59	0	69.59
0.6	0	70.87
0.61	0	71.19
0.62	0	70.89
0.63	0	70.37
0.64	0	68.82
0.65	0	65.22
0.66	0	59.99
0.67	0	54.18
0.68	0	46.46
0.69	0	43.97
0.7	0	48.77
0.71	0	49.88
0.72	0	53.85
0.73	0	67.2
0.74	122.68	75.12
0.75	122.71	78.54
0.76	120.84	80.37
0.77	119.38	81.13
0.78	118.05	80.05
0.79	116.69	78.08
0.8	116.29	76.31
0.81	116.09	74.45
0.82	116.12	72.61
0.83	115.96	70.68
0.84	115.87	67.84
0.85	116.02	65.21
0.86	116.83	63.94
0.87	117.45	63.57
0.88	117.97	63.38
0.89	118.36	63.14
0.9	118.69	62.65
0.91	119.53	62.93
0.92	120.16	63.79
0.93	117.47	63.1
0.94	115.57	62.67
0.95	0	62.65
0.96	0	63.83
0.97	0	65.61
0.98	0	66.9
0.99	0	66.46
1	0	63.09
1.01	0	58.75
1.02	0	56.28
1.03	0	53.5
1.04	0	49.1
1.05	0	47.62
1.06	0	57.86
1.07	0	66.25
1.08	112.65	69.74
1.09	112.36	72.54
1.1	110.1	74.92
1.11	106.96	76.06
1.12	104.36	76.09
1.13	103.75	75.74
1.14	103.61	75.45
1.15	104.44	74.72
1.16	105.04	73.73
1.17	105.04	72.86
1.18	107.51	72.31
1.19	111.18	72.14
1.2	112.72	72.07
1.21	113.14	71.85
1.22	113.48	71.62
1.23	113.33	71.35
1.24	113.08	71.5
1.25	112.29	71.61
1.26	110.73	71.6
1.27	108.77	71.06
1.28	109.59	69.29
1.29	108.24	66.59
1.3	105.36	62.06
1.31	0	57.17
1.32	109.79	56.45
1.33	111.27	60.8
1.34	112.02	65.98
1.35	111.13	69.09
1.36	110.35	69.55
1.37	108.01	67.62
1.38	105.96	64.07
1.39	106.67	60.69
1.4	107.11	60.01
1.41	106.79	62.71
1.42	105.76	64.51
1.43	103.94	64.56
1.44	103.6	63.56
1.45	104.58	62.44
1.46	104.11	62.42
1.47	102.78	62.74
1.48	103.06	63.21
1.49	105.55	63.9
1.5	107.74	65.24
1.51	108.5	67.99
1.52	106.69	70.34
1.53	105.53	72.48
1.54	107.57	74.11
1.55	109.37	74.88
1.56	109.31	75.16
1.57	106.81	74.42
1.58	105.33	74.89
1.59	102.95	75.96
1.6	101.99	74.76
1.61	99.52	71.31
1.62	95.7	68.38
1.63	94.43	66.05
1.64	93.66	62.74
1.65	0	59.98
1.66	0	62.49
1.67	0	66.24
1.68	0	68.3
1.69	0	68.39
1.7	0	68.7
1.71	0	70.24
1.72	0	71.77
1.73	0	72.95
1.74	0	73.01
1.75	0	71.66
1.76	0	67.96
1.77	0	60.53
1.78	0	50.52
1.79	0	40.92
1.8	0	39.16
1.81	0	43.28
1.82	0	48.3
1.83	0	55.52
1.84	0	68.16
1.85	0	75.81
1.86	0	78.5
1.87	0	79.26
1.88	0	79.82
1.89	87.36	79.39
1.9	87.39	78.32
1.91	86.8	77.27
1.92	86.52	76.22
1.93	87.13	75.1
1.94	87.68	74.63
1.95	86.36	74.31
1.96	83.67	73.83
1.97	82.49	73
1.98	82.69	71.74
1.99	83.36	70.37
2	83.6	68.74
2.01	81.58	66.22
2.02	0	61.92
2.03	0	56.28
2.04	0	53.53
2.05	0	52.74
2.06	0	50.32
2.07	0	47.64
2.08	0	45.39
2.09	0	44.04
2.1	0	42.89
2.11	0	41.42
2.12	0	40.13
2.13	0	38.67
2.14	0	37.72
2.15	0	37.74
2.16	0	0
2.17	0	0
2.18	0	0
?	?	?
