time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	42.27
0.04	0	41.94
0.05	0	41.98
0.06	0	41.15
0.07	0	37.98
0.08	0	34.74
0.09	0	34.04
0.1	0	34.28
0.11	0	34.31
0.12	0	34.25
0.13	0	37.22
0.14	0	42.88
0.15	0	44.15
0.16	0	43.97
0.17	0	44.09
0.18	0	44.16
0.19	0	43.79
0.2	0	43.45
0.21	0	42.81
0.22	0	43.78
0.23	0	50.39
0.24	171.77	61.15
0.25	172.54	67.68
0.26	155.94	70.84
0.27	138.66	73.85
0.28	130.82	76.01
0.29	126.92	76.96
0.3	128.56	77.48
0.31	128	77.54
0.32	128.14	77.21
0.33	127.01	76.18
0.34	124.43	74.45
0.35	120.82	72.73
0.36	0	70.89
0.37	0	68.49
0.38	0	67.94
0.39	0	70.48
0.4	0	73.71
0.41	0	76.65
0.42	0	76.96
0.43	0	76.02
0.44	0	75.99
0.45	0	75.11
0.46	0	72.53
0.47	0	69.21
0.48	0	66.36
0.49	0	63.97
0.5	148.53	70.27
0.51	143.08	75.76
0.52	137.61	77.35
0.53	134.33	77.24
0.54	132	76.79
0.55	131.8	76.57
0.56	129.59	76.53
0.57	128.35	76.54
0.58	127.89	76.42
0.59	127.11	76.27
0.6	127.18	75.93
0.61	127.16	75.41
0.62	126.75	74.54
0.63	126.27	73.2
0.64	124.31	71.67
0.65	123.69	70.31
0.66	124.19	69.51
0.67	123.84	69.61
0.68	123.51	69.4
0.69	122.37	68.28
0.7	120.84	66.1
0.71	118.64	62.51
0.72	0	57.28
0.73	0	53.23
0.74	0	63.19
0.75	0	70.9
0.76	0	76.15
0.77	122.35	81.46
0.78	123.08	83.58
0.79	123.74	83.22
0.8	124.02	82.14
0.81	124.63	81.48
0.82	125.47	81.13
0.83	126.86	81.06
0.84	128.61	80.55
0.85	129.88	79.98
0.86	130.13	79.88
0.87	130.47	79.8
0.88	130.93	79.79
0.89	131.04	79.7
0.9	131.32	79.46
0.91	131.67	79.11
0.92	132.23	78.63
0.93	132.75	78.01
0.94	132.99	77.43
0.95	132.94	76.47
0.96	132.35	74.62
0.97	131.77	72.04
0.98	131.67	69.3
0.99	132.12	67.93
1	132.25	67.08
1.01	130.94	65.49
1.02	128.52	62.91
1.03	0	58.74
1.04	0	52.78
1.05	0	50.34
1.06	0	58.03
1.07	0	63.75
1.08	0	66.2
1.09	0	65.63
1.1	0	63.71
1.11	0	66.79
1.12	0	75.11
1.13	126.75	79.26
1.14	128.88	80.25
1.15	130.21	80.9
1.16	129.25	81.49
1.17	128.29	81.44
1.18	127.32	81.17
1.19	126.87	81.11
1.2	126.81	80.74
1.21	126.97	80.39
1.22	127.31	80.42
1.23	127.62	80.53
1.24	127.47	80.59
1.25	127.35	80.88
1.26	127.25	81.2
1.27	127.33	81.35
1.28	127.19	81.25
1.29	126.28	81.13
1.3	124.67	80.99
1.31	122.94	80.1
1.32	118.7	77.27
1.33	117.73	74.15
1.34	119.5	75.48
1.35	120.66	78.73
1.36	122.96	81.54
1.37	122.53	82.24
1.38	120.38	81.2
1.39	119.43	80.62
1.4	120.01	80.66
1.41	120.31	80.8
1.42	120.31	80.89
1.43	119.12	80.9
1.44	116.39	80.86
1.45	112.87	80.44
1.46	110.59	79.09
1.47	0	76.56
1.48	0	73.05
1.49	0	69.63
1.5	0	68.12
1.51	0	69.65
1.52	84.23	71.76
1.53	84.27	73.15
1.54	83.75	73.52
1.55	83.77	73.42
1.56	84.24	74.09
1.57	81.69	73.44
1.58	0	70.87
1.59	0	67.39
1.6	0	62.21
1.61	0	54.86
1.62	0	49.52
1.63	0	55.99
1.64	0	63.08
1.65	0	64.66
1.66	0	62.59
1.67	0	57.74
1.68	0	53.21
1.69	0	49.2
1.7	0	40.92
1.71	0	37.55
1.72	0	39.31
1.73	0	41.87
1.74	0	43.49
1.75	0	43.16
1.76	0	45.2
1.77	0	53.79
1.78	0	56.81
1.79	0	51.9
1.8	0	45.57
1.81	0	45.99
1.82	0	47.75
1.83	0	50.02
1.84	0	50.5
1.85	0	51.65
1.86	0	52.75
1.87	0	52.88
1.88	0	53.29
1.89	0	53.44
1.9	0	53.79
1.91	0	54.44
1.92	0	54.41
1.93	0	54.87
1.94	0	56.58
1.95	0	58.06
1.96	0	58.49
1.97	0	57.88
1.98	0	57.29
1.99	0	0
2	0	0
?	?	?
