time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.44
0.04	0	30.21
0.05	0	30.57
0.06	0	29.46
0.07	0	27.99
0.08	0	26.93
0.09	0	26.59
0.1	0	27.24
0.11	0	27.32
0.12	0	32.42
0.13	0	50.91
0.14	0	61.57
0.15	0	65.88
0.16	0	72.1
0.17	157.29	78.15
0.18	154.02	80.61
0.19	149.84	80.85
0.2	148.4	80.7
0.21	148.47	80.09
0.22	149.23	78.98
0.23	147.08	76.39
0.24	143.38	71.7
0.25	0	69.06
0.26	0	70.44
0.27	0	71.59
0.28	0	72.75
0.29	0	74.79
0.3	0	75.4
0.31	0	76.38
0.32	0	74.41
0.33	0	69.33
0.34	0	69.03
0.35	153.74	70.84
0.36	151.1	70.98
0.37	146.82	69.03
0.38	144.14	63.15
0.39	0	51.59
0.4	0	34.51
0.41	0	27.05
0.42	0	28.45
0.43	0	34.98
0.44	0	51.41
0.45	0	60.03
0.46	0	61.52
0.47	0	62.98
0.48	0	66.15
0.49	0	67.45
0.5	0	66.7
0.51	0	69.53
0.52	154.94	74.95
0.53	160	78.14
0.54	163.03	80.41
0.55	164.04	81.99
0.56	165.97	82.65
0.57	168.76	82.85
0.58	172.47	82.91
0.59	175.62	82.58
0.6	178.05	81.59
0.61	181.25	78.96
0.62	191.06	76.82
0.63	202.98	78.59
0.64	207.54	79.45
0.65	210.57	78.09
0.66	213.6	75.58
0.67	212.58	72.76
0.68	207.04	68.63
0.69	203.51	61.9
0.7	0	56.94
0.71	0	60.29
0.72	0	64.69
0.73	0	66.68
0.74	0	67.51
0.75	0	67.76
0.76	0	67.95
0.77	0	67.94
0.78	0	65.8
0.79	0	62.15
0.8	0	61.33
0.81	236.93	67.32
0.82	231.49	70.48
0.83	222.52	71.1
0.84	209.9	71.16
0.85	198.27	70.46
0.86	186.71	67.94
0.87	181.2	63.72
0.88	0	61.35
0.89	0	61.5
0.9	0	62.24
0.91	0	62.8
0.92	0	63.78
0.93	150.21	65.99
0.94	158.55	68.01
0.95	166.11	69.7
0.96	169.51	72.18
0.97	170.3	74.65
0.98	170.81	76.84
0.99	170.14	78.47
1	168.73	79.59
1.01	167.3	80.15
1.02	164.95	79.8
1.03	161.57	77.76
1.04	155.1	72.37
1.05	149.9	62.72
1.06	0	53.52
1.07	0	56.93
1.08	0	67.81
1.09	164.79	75
1.1	163.46	78.36
1.11	161.19	79.41
1.12	157.84	78.96
1.13	153.77	77.61
1.14	149.12	75.89
1.15	143.67	73.77
1.16	137.32	71.25
1.17	131.41	69.49
1.18	129.6	71.9
1.19	128.88	74.56
1.2	126.11	76.45
1.21	125.84	78.4
1.22	126.42	80.15
1.23	125.65	80.79
1.24	124.59	80.53
1.25	124.67	79.91
1.26	125.06	79.47
1.27	125.59	79.44
1.28	125.95	79.54
1.29	126.44	79.49
1.3	127.83	79.57
1.31	129.3	79.95
1.32	130.79	80.23
1.33	133.46	80.64
1.34	136.64	81.36
1.35	139.83	81.96
1.36	143.18	82.09
1.37	147.5	81.79
1.38	151.35	80.45
1.39	154.05	76.61
1.4	155.15	68.95
1.41	0	55.99
1.42	0	37.97
1.43	0	30.27
1.44	0	27.93
1.45	0	30.77
1.46	0	47.62
1.47	0	56.69
1.48	0	57.65
1.49	0	51.65
1.5	0	49.92
1.51	0	59.77
1.52	0	64.27
1.53	0	63.57
1.54	0	61.03
1.55	0	61.42
1.56	0	59.86
1.57	0	56.29
1.58	0	56.92
1.59	0	65.69
1.6	176.7	72.02
1.61	172.59	75.1
1.62	169.97	77.08
1.63	168.01	79.34
1.64	165.39	81.03
1.65	162.5	81.71
1.66	160.67	82.11
1.67	159.7	82.26
1.68	159.53	82.18
1.69	159.5	81.88
1.7	160.09	81.45
1.71	161.25	81.18
1.72	162.22	81.01
1.73	162.88	80.83
1.74	163.75	80.79
1.75	165.16	80.52
1.76	167.28	79.9
1.77	169.44	79.28
1.78	171.44	78.67
1.79	174.3	78.03
1.8	177.34	77.11
1.81	180.75	76.11
1.82	184.69	75.01
1.83	188.72	73.68
1.84	191.71	71.56
1.85	193.35	68.01
1.86	193.79	63.54
1.87	193.98	59.1
1.88	0	58.42
1.89	0	59.78
1.9	0	62.45
1.91	0	63.31
1.92	0	64.74
1.93	0	66.68
1.94	0	66.38
1.95	0	65.74
1.96	0	64.43
1.97	0	61.3
1.98	0	56.39
1.99	0	50.97
2	0	47.42
2.01	0	44.46
2.02	0	41.6
2.03	0	38.84
2.04	0	36.06
2.05	0	33.22
2.06	0	30.79
2.07	0	28.94
2.08	0	28.67
2.09	0	30.8
2.1	0	31.34
2.11	0	0
2.12	0	0
2.13	0	0
