time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.09
0.04	0	31.81
0.05	0	31.24
0.06	0	32.81
0.07	0	32.52
0.08	0	30.35
0.09	0	30.08
0.1	0	32.44
0.11	0	34.87
0.12	0	44.73
0.13	119.11	55.64
0.14	121.89	64.64
0.15	119.85	71.16
0.16	118.7	75.17
0.17	119.12	77.82
0.18	120.03	79.72
0.19	121.5	80.94
0.2	124.05	82.03
0.21	126.26	83.1
0.22	128.43	83.65
0.23	130.68	83.68
0.24	133.13	83.49
0.25	135.3	83.39
0.26	136.87	83.28
0.27	138.35	82.91
0.28	139.7	81.99
0.29	140.62	80.41
0.3	141.56	78.34
0.31	142.07	76.26
0.32	142.08	74.82
0.33	142.9	74.93
0.34	144.32	76.22
0.35	144.46	77.04
0.36	143.57	77.34
0.37	142.41	77.25
0.38	140.64	76.65
0.39	138.91	75.8
0.4	137.5	74.53
0.41	135.75	72.7
0.42	133.77	69.57
0.43	131.1	63.7
0.44	0	53.08
0.45	0	40.82
0.46	0	39.77
0.47	0	41.02
0.48	0	37.77
0.49	0	47.69
0.5	0	55.16
0.51	0	57.15
0.52	0	57.47
0.53	0	56.06
0.54	0	55.95
0.55	0	65.71
0.56	131.35	71.81
0.57	129.83	74.57
0.58	128.05	76.18
0.59	125.78	76.88
0.6	123.88	76.71
0.61	122.85	76.16
0.62	122.59	75.5
0.63	122.74	74.92
0.64	122.78	74.5
0.65	122.74	74.05
0.66	122.88	73.5
0.67	123.33	73.03
0.68	123.64	72.54
0.69	123.46	71.43
0.7	123.13	68.99
0.71	122.7	64.46
0.72	121.9	60.39
0.73	121.28	60.05
0.74	119.65	64.44
0.75	118.05	68.04
0.76	117.15	68.77
0.77	116.34	68.85
0.78	115.75	69.29
0.79	115.17	69.89
0.8	114.39	70.45
0.81	113.3	70.77
0.82	112.23	70.94
0.83	111.79	71.22
0.84	111.77	71.74
0.85	111.53	72.52
0.86	111.28	73.33
0.87	111.19	73.9
0.88	111.11	74.08
0.89	111.04	73.82
0.9	111.04	72.92
0.91	110.89	70.59
0.92	0	65.21
0.93	0	54.93
0.94	0	42.56
0.95	0	41.82
0.96	0	53.93
0.97	0	60.33
0.98	0	59.07
0.99	0	55.44
1	0	61.88
1.01	118.12	68.37
1.02	112.81	71.74
1.03	110.75	73.3
1.04	110.57	73.68
1.05	110.34	73.62
1.06	109.91	73.49
1.07	109.65	73.59
1.08	109.57	73.77
1.09	110.02	73.98
1.1	110.34	74.13
1.11	109.87	73.86
1.12	109.65	72.92
1.13	109.99	70.75
1.14	109.91	66.61
1.15	0	59.76
1.16	0	52.22
1.17	0	52.93
1.18	0	54.91
1.19	0	56.11
1.2	0	58.38
1.21	0	60.26
1.22	0	60.83
1.23	0	58.85
1.24	0	54.11
1.25	0	50.32
1.26	0	48.16
1.27	0	46.13
1.28	0	44.1
1.29	0	42.05
1.3	0	53.66
1.31	0	66.61
1.32	0	72.44
1.33	109.27	74.71
1.34	108.28	75.3
1.35	107.3	75.24
1.36	106.59	74.5
1.37	106	72.79
1.38	105.29	69.8
1.39	103.7	64.67
1.4	0	56.09
1.41	0	48.95
1.42	0	51.9
1.43	0	55.17
1.44	0	58.39
1.45	0	61.29
1.46	0	62.15
1.47	0	60.49
1.48	0	59.61
1.49	0	60.71
1.5	0	60.6
1.51	0	58.28
1.52	0	55.41
1.53	0	54.55
1.54	0	54.01
1.55	0	62.44
1.56	108.8	67.21
1.57	108.45	67.44
1.58	105.69	66.66
1.59	102.67	65.26
1.6	100.81	63.58
1.61	99.91	62.2
1.62	99.03	61.09
1.63	98.6	60.69
1.64	98.72	61.16
1.65	98.89	61.38
1.66	99.12	62.18
1.67	99.28	63.68
1.68	99.19	64.23
1.69	99.28	64.73
1.7	98.62	64.85
1.71	98.19	64.84
1.72	98.07	64.76
1.73	98.48	64.55
1.74	98.76	64.94
1.75	98.57	65.19
1.76	97.54	65.25
1.77	97.19	65.16
1.78	97.04	64.64
1.79	96.24	63.86
1.8	95.63	62.49
1.81	94.97	61.01
1.82	0	58.84
1.83	0	55.82
1.84	0	53.01
1.85	0	52.59
1.86	0	53.87
1.87	87.07	56.89
1.88	86.71	59.35
1.89	86.57	61.06
1.9	0	60.25
1.91	0	56.47
1.92	0	55.19
1.93	0	53.73
1.94	0	52.25
1.95	0	51.04
1.96	0	50.21
1.97	0	49.82
1.98	0	48.4
1.99	0	48.79
2	0	45.72
2.01	0	0
2.02	0	0
2.03	0	0
?	?	?
