time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.64
0.04	0	26.88
0.05	0	25.43
0.06	0	24.37
0.07	0	24.1
0.08	0	23.59
0.09	0	22.69
0.1	0	22.37
0.11	0	24.58
0.12	0	33.52
0.13	0	40.98
0.14	0	46.95
0.15	0	50.22
0.16	0	53.01
0.17	0	56.16
0.18	0	57.87
0.19	0	58.08
0.2	0	57.85
0.21	0	61.02
0.22	0	69.03
0.23	152.28	74.01
0.24	149.3	75.82
0.25	146.45	76.3
0.26	143.72	76.51
0.27	140.48	76.41
0.28	137.61	76.23
0.29	136.24	74.56
0.3	0	68.48
0.31	0	55.07
0.32	0	42.85
0.33	0	34.76
0.34	0	26.11
0.35	0	24.34
0.36	0	24.46
0.37	0	38.19
0.38	0	56.84
0.39	0	65.55
0.4	0	67.99
0.41	0	66.44
0.42	0	63.72
0.43	160.29	67.44
0.44	158.9	76.17
0.45	156.43	81.69
0.46	157.65	83.53
0.47	158.4	83.84
0.48	158.68	84.22
0.49	158.51	84.03
0.5	158.26	83.75
0.51	158.42	83.66
0.52	158.51	83.67
0.53	158.32	83.86
0.54	158.3	84.13
0.55	158.26	84.46
0.56	157.99	84.8
0.57	157.11	84.94
0.58	156.28	84.78
0.59	156.07	84.24
0.6	155.86	83.49
0.61	155.3	82.59
0.62	154.58	81.39
0.63	153.9	79.81
0.64	152.55	77.42
0.65	150.69	74.13
0.66	150.07	70.38
0.67	150.3	67.57
0.68	149.49	65.84
0.69	148.48	65.53
0.7	148.48	68.15
0.71	150.86	73.91
0.72	149.61	77
0.73	148.91	78.02
0.74	148.95	78.73
0.75	148.96	79.5
0.76	149.42	80.59
0.77	150.08	81.52
0.78	150.63	81.88
0.79	151.48	82.11
0.8	152.21	82.28
0.81	152.62	82.13
0.82	152.77	81.53
0.83	152.74	80.53
0.84	152.68	79.69
0.85	152.55	79.12
0.86	151.99	78.41
0.87	151.31	77.69
0.88	151.16	77.23
0.89	152.73	78.39
0.9	153.53	80.95
0.91	153.67	82.36
0.92	153.87	82.65
0.93	154.41	82.62
0.94	155.01	82.44
0.95	155.47	82
0.96	155.67	81.15
0.97	155.75	80.04
0.98	155.64	78.55
0.99	155	76.21
1	153.25	72.37
1.01	152.43	68.63
1.02	151.46	67.54
1.03	150.52	67.35
1.04	150.14	67.23
1.05	149.21	67.29
1.06	149.41	69.11
1.07	149.08	73.67
1.08	148.29	77.26
1.09	147.52	79.09
1.1	146.31	79.9
1.11	144.81	80.1
1.12	143.72	79.99
1.13	142.76	79.8
1.14	142.12	79.8
1.15	141.61	79.5
1.16	141	78.93
1.17	140.77	78.73
1.18	140.88	78.74
1.19	142.43	78.99
1.2	145.88	80.31
1.21	145.87	81.63
1.22	145.66	82.61
1.23	145.87	83.48
1.24	146.39	84.28
1.25	146.94	85
1.26	147.09	85.5
1.27	146.62	85.63
1.28	145.56	85.3
1.29	143.96	84.91
1.3	142.11	84.45
1.31	139.81	83.95
1.32	136.68	83.15
1.33	132.16	81.94
1.34	127.23	80.73
1.35	123.67	79.84
1.36	119.23	78.83
1.37	114.83	77.25
1.38	111.16	75.78
1.39	108.39	74.87
1.4	106.81	74.01
1.41	104.51	73.11
1.42	99.8	71.68
1.43	94.86	67.9
1.44	0	62.27
1.45	0	61.12
1.46	0	64.8
1.47	0	67.99
1.48	0	69.26
1.49	0	68.18
1.5	0	66.89
1.51	0	66.51
1.52	0	66.66
1.53	0	66.85
1.54	0	66.6
1.55	0	65.83
1.56	0	65.71
1.57	0	64.95
1.58	0	61.79
1.59	0	55.95
1.6	0	43.26
1.61	0	27.11
1.62	0	24.76
1.63	0	22.81
1.64	0	21.72
1.65	0	38.55
1.66	0	54.51
1.67	0	60.91
1.68	0	60.52
1.69	0	56.76
1.7	0	52.85
1.71	0	49.08
1.72	0	47.14
1.73	0	47.39
1.74	0	47.09
1.75	0	44.38
1.76	0	42.03
1.77	0	39.69
1.78	0	36.99
1.79	0	34.51
1.8	0	32.48
1.81	0	30.61
1.82	0	29.79
1.83	0	28.41
1.84	0	26.13
1.85	0	0
1.86	0	0
1.87	0	0
?	?	?
