time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.37
0.05	0	32.98
0.06	0	33.93
0.07	0	34.05
0.08	0	33.66
0.09	0	33.38
0.1	0	33.71
0.11	0	33.71
0.12	0	37.24
0.13	0	45.54
0.14	0	62.51
0.15	131.94	73.87
0.16	128.79	78.89
0.17	124.97	80.95
0.18	122.72	81.94
0.19	121.09	82.37
0.2	120.13	82.33
0.21	119.84	81.77
0.22	119.89	80.31
0.23	118.93	77.49
0.24	114.28	73.17
0.25	109.77	68.27
0.26	106.02	64.56
0.27	0	63.82
0.28	0	65.38
0.29	0	68.38
0.3	114.49	70.76
0.31	115.03	71.53
0.32	115.98	72.13
0.33	116.77	72.35
0.34	117.45	72.39
0.35	118.07	72.79
0.36	118.71	73.32
0.37	119.42	73.85
0.38	120.05	74.27
0.39	120.72	74.47
0.4	121.65	74.61
0.41	123.18	75.03
0.42	125.17	75.74
0.43	126.26	76.32
0.44	126.51	76.52
0.45	126.69	76.78
0.46	126.66	77.15
0.47	126.05	77.55
0.48	124.39	77.77
0.49	122.09	77.78
0.5	119.75	77.83
0.51	117.48	77.86
0.52	115.18	77.7
0.53	112.7	77.24
0.54	110.16	76.36
0.55	107.88	74.99
0.56	105.84	73.11
0.57	103.36	70.2
0.58	99.55	65.42
0.59	0	57.83
0.6	0	45.56
0.61	0	33.4
0.62	0	30.68
0.63	0	32.71
0.64	0	34.16
0.65	0	42.35
0.66	0	56.26
0.67	0	61.43
0.68	0	58.73
0.69	0	57.33
0.7	0	70.73
0.71	123.06	77.98
0.72	120.75	79.58
0.73	117.69	79.45
0.74	116.18	79.42
0.75	115.81	79.13
0.76	115.58	78.57
0.77	114.93	77.73
0.78	113.79	76.14
0.79	0	73.41
0.8	0	68.54
0.81	0	60.03
0.82	0	45.75
0.83	0	31.9
0.84	0	37.67
0.85	0	55.08
0.86	0	63.99
0.87	0	64.98
0.88	0	64.73
0.89	0	72.77
0.9	0	77.43
0.91	118.07	78.57
0.92	116.67	78.48
0.93	114.84	77.35
0.94	113.68	75.8
0.95	112.34	74.65
0.96	111.25	74.07
0.97	110.12	73.55
0.98	108.12	72.78
0.99	105.61	71.37
1	101.73	68.7
1.01	96.97	64.29
1.02	0	59.67
1.03	0	58.78
1.04	0	56.41
1.05	0	49.46
1.06	0	44.04
1.07	0	44.49
1.08	0	48.69
1.09	0	54.44
1.1	0	59.05
1.11	0	60.92
1.12	0	66.84
1.13	0	76.3
1.14	109.62	80.13
1.15	109.83	80.7
1.16	110.04	80.59
1.17	109.93	80.53
1.18	109.75	80.43
1.19	109.67	80.16
1.2	109.45	79.95
1.21	109.2	79.79
1.22	109.39	79.45
1.23	109.57	78.94
1.24	109.17	78.13
1.25	108.51	76.67
1.26	107.81	74.18
1.27	107.02	70.68
1.28	106.37	67.23
1.29	105.88	65.4
1.3	105.71	65.11
1.31	105.51	65.65
1.32	105.28	67.12
1.33	105.11	69.34
1.34	104.65	71.82
1.35	104.14	72.78
1.36	103.85	72.47
1.37	103.31	71.73
1.38	101.83	70.57
1.39	99.35	68.67
1.4	0	65.97
1.41	0	64.9
1.42	0	67.89
1.43	0	69.08
1.44	0	69.17
1.45	0	68.81
1.46	0	64.88
1.47	0	59.47
1.48	0	57.03
1.49	0	59.68
1.5	0	68.85
1.51	0	75.07
1.52	105.72	77.49
1.53	105.05	78.5
1.54	103.89	79.4
1.55	103.07	80.16
1.56	102.3	80.45
1.57	101.31	80.21
1.58	100.58	79.96
1.59	100.18	79.92
1.6	99.97	79.9
1.61	99.51	79.7
1.62	98.77	79.38
1.63	98.39	79.08
1.64	98.24	78.33
1.65	98.21	76.91
1.66	98.79	75.84
1.67	99.56	74.8
1.68	98.94	72.05
1.69	98.41	66.64
1.7	97.47	61.93
1.71	93.01	60.88
1.72	97.93	61.56
1.73	102.52	61.91
1.74	101.45	61.46
1.75	102.03	61.72
1.76	104.52	66.25
1.77	106.97	70.81
1.78	108.31	73.49
1.79	109.23	74.77
1.8	109.36	75.28
1.81	108.62	75.14
1.82	106.88	74.01
1.83	104.58	71.29
1.84	103.39	66.81
1.85	104.49	64.95
1.86	105.17	65.87
1.87	104.06	66.75
1.88	102.5	67.24
1.89	101.17	67.04
1.9	99.98	66.41
1.91	98.25	65.3
1.92	96.41	63.76
1.93	93.19	62.28
1.94	90.25	61.12
1.95	89.92	60.93
1.96	91.19	59.21
1.97	90.3	57.79
1.98	89.66	57.88
1.99	97.21	59.18
2	109.3	63.2
2.01	114.49	68.18
2.02	110.27	71.32
2.03	105.35	72.26
2.04	102.62	73.14
2.05	100.35	74.78
2.06	98.89	75.66
2.07	98.59	76.02
2.08	98.64	76.45
2.09	98.23	76.72
2.1	97.73	76.61
2.11	97.24	75.97
2.12	96.45	75.23
2.13	95.86	74.64
2.14	95.61	74.38
2.15	94.88	73.92
2.16	94.32	72.66
2.17	94.56	71.09
2.18	94.75	69.62
2.19	95.3	68.93
2.2	95.55	67.84
2.21	0	66.04
2.22	0	63.26
2.23	0	55.05
2.24	0	39.61
2.25	0	33.25
2.26	0	33.58
2.27	0	35.3
2.28	0	36.93
2.29	0	36.84
2.3	0	36.33
2.31	0	37.26
2.32	0	0
2.33	0	0
2.34	0	0
?	?	?
