time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	23.04
0.04	0	22.61
0.05	0	22.58
0.06	0	23.05
0.07	0	23.63
0.08	0	23.28
0.09	0	22.88
0.1	0	22.07
0.11	0	22.36
0.12	0	29.65
0.13	0	39.77
0.14	0	47.7
0.15	0	53.43
0.16	0	56.38
0.17	0	58.27
0.18	0	61.38
0.19	0	64.39
0.2	0	65.74
0.21	0	64.96
0.22	0	61.3
0.23	0	58.99
0.24	133.49	64.06
0.25	134.33	66.66
0.26	133.66	66.98
0.27	130.34	66.75
0.28	126.08	66.63
0.29	123.62	66.72
0.3	0	65.97
0.31	0	65.83
0.32	0	68.86
0.33	0	70.83
0.34	0	71.52
0.35	0	72.92
0.36	0	72.66
0.37	0	73.16
0.38	0	74.18
0.39	0	72.65
0.4	0	70.21
0.41	0	66.43
0.42	0	58.14
0.43	0	49.58
0.44	0	48.66
0.45	0	54.98
0.46	139.12	62
0.47	135.2	70.74
0.48	130.86	77.23
0.49	129.55	79.82
0.5	128.77	80.37
0.51	128.47	81.29
0.52	128.68	82.73
0.53	129.5	83.63
0.54	131.29	83.92
0.55	133.89	83.99
0.56	136.56	83.98
0.57	138.49	83.59
0.58	139.29	82.89
0.59	138.92	82.4
0.6	138.03	82.23
0.61	137.22	82.1
0.62	136.3	81.8
0.63	135.14	81.31
0.64	134.61	80.99
0.65	134.99	81.35
0.66	135.41	82.03
0.67	135.56	82.57
0.68	135.59	82.72
0.69	136.01	82.53
0.7	136.86	82.33
0.71	137.34	81.89
0.72	137.27	80.78
0.73	137.05	78.95
0.74	136.7	75.75
0.75	0	68.81
0.76	0	57.3
0.77	0	52.73
0.78	0	51.1
0.79	0	52
0.8	0	53.78
0.81	0	52.3
0.82	0	49.79
0.83	0	49.39
0.84	0	51.18
0.85	0	53.27
0.86	0	55.94
0.87	122.62	60.29
0.88	123.79	64.06
0.89	126.15	66.69
0.9	127.54	69.75
0.91	128.02	72.68
0.92	129.02	74.54
0.93	130.01	75.74
0.94	130.02	76.49
0.95	129.69	76.74
0.96	129.26	76.41
0.97	128.61	75.5
0.98	127.63	74.45
0.99	126.51	72.27
1	124.22	68.37
1.01	123	65.58
1.02	122.68	65.1
1.03	123.79	65.94
1.04	124.98	69.21
1.05	122.15	70.55
1.06	120.31	68.86
1.07	119.85	66.14
1.08	119.33	62.91
1.09	119.78	61.63
1.1	119.81	61.49
1.11	118.98	61.3
1.12	118.88	61.18
1.13	120.03	61.21
1.14	120.14	61.96
1.15	119.26	62.91
1.16	118.3	63.24
1.17	120.14	62.91
1.18	120.57	63.1
1.19	121.55	63.72
1.2	123.75	64.12
1.21	123.78	64.71
1.22	123.09	65.87
1.23	121.73	66.64
1.24	120.43	67.01
1.25	119.4	67.49
1.26	118.23	67.33
1.27	116.88	65.54
1.28	115.98	61.66
1.29	117.76	57.73
1.3	0	55.24
1.31	0	53.91
1.32	0	52.58
1.33	0	50.52
1.34	0	47.58
1.35	0	43.85
1.36	0	40.66
1.37	0	37.33
1.38	0	34.69
1.39	0	32.54
1.4	0	30.31
1.41	0	27.55
1.42	0	25.22
1.43	0	0
1.44	0	0
1.45	0	0
?	?	?
