time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.13
0.04	0	32.18
0.05	0	32.18
0.06	0	32.19
0.07	0	31.95
0.08	0	31.29
0.09	0	31.43
0.1	0	33.33
0.11	0	34.41
0.12	0	39.97
0.13	0	53.41
0.14	0	61.74
0.15	0	66.12
0.16	0	70.06
0.17	0	74.23
0.18	0	74.73
0.19	88.82	77.35
0.2	100.7	79.54
0.21	105.21	80.44
0.22	102.37	80.48
0.23	99.94	80.44
0.24	99.36	79.65
0.25	99.55	77.99
0.26	0	74.83
0.27	0	71.87
0.28	0	72.79
0.29	0	74.37
0.3	0	74.96
0.31	0	74.57
0.32	0	72.49
0.33	0	67.66
0.34	0	58.84
0.35	109.32	59.33
0.36	109.29	65.78
0.37	109.22	69.81
0.38	108.89	71.7
0.39	108.29	72.34
0.4	108.02	73.16
0.41	109.55	76.05
0.42	109.2	78.97
0.43	109.99	80.16
0.44	111.26	80.37
0.45	112.07	80.38
0.46	112.92	80.57
0.47	113.48	80.67
0.48	113.53	80.64
0.49	112.17	80.61
0.5	111.36	80.26
0.51	111.75	79.14
0.52	112	78.12
0.53	111.64	76.93
0.54	111.22	74.8
0.55	110.53	72.53
0.56	109.15	70.07
0.57	107.97	67.11
0.58	106.94	64.26
0.59	109.26	62.6
0.6	0	63.05
0.61	0	65.04
0.62	0	68.11
0.63	0	71.74
0.64	0	74.36
0.65	0	76.61
0.66	107.19	78.55
0.67	108.54	79.47
0.68	109.05	80.17
0.69	109.08	80.69
0.7	108.81	80.86
0.71	108.35	80.76
0.72	107.92	80.42
0.73	107.23	79.85
0.74	108.37	79.75
0.75	107.99	80.18
0.76	108.77	80.5
0.77	109.29	81.13
0.78	108.62	80.95
0.79	107.8	80.22
0.8	106.81	79.44
0.81	104.94	78.77
0.82	102.37	78.01
0.83	99.69	77.12
0.84	96.6	75.84
0.85	93.62	74.28
0.86	91.42	73
0.87	91.05	72.76
0.88	92.66	74.2
0.89	93.48	76.13
0.9	91.2	77.12
0.91	89.66	77.17
0.92	90.36	77.41
0.93	100.27	76.87
0.94	0	77.04
0.95	0	74.75
0.96	0	76.37
0.97	0	77.72
0.98	0	73.78
0.99	0	72.14
1	0	74.04
1.01	0	70.36
1.02	0	65.43
1.03	0	66.72
1.04	0	65.61
1.05	0	65.81
1.06	0	67.71
1.07	0	66.41
1.08	0	65.36
1.09	0	66.86
1.1	77.37	66.46
1.11	0	66.13
1.12	0	69.69
1.13	0	71.68
1.14	0	72.94
1.15	0	73.76
1.16	0	72.64
1.17	0	73.35
1.18	0	72.84
1.19	0	73.56
1.2	0	72.17
1.21	0	72.8
1.22	0	72.16
1.23	0	73.49
1.24	78.8	74.15
1.25	89.86	74.46
1.26	86.94	74.02
1.27	89.39	73.56
1.28	88.51	73.95
1.29	88.48	73.61
1.3	89.23	73.46
1.31	89.2	73.43
1.32	89	73.29
1.33	88.7	72.77
1.34	88.47	71.75
1.35	88.42	70.52
1.36	88.08	68.93
1.37	88.2	66.49
1.38	88.84	63.88
1.39	89.36	61.64
1.4	90.07	59.24
1.41	0	57.18
1.42	0	55.24
1.43	0	53.33
1.44	0	52.19
1.45	0	51.94
1.46	0	51.52
1.47	0	50.63
1.48	0	48.99
1.49	0	46.05
1.5	0	43.03
1.51	0	0
1.52	0	0
1.53	0	0
?	?	?
