time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.11
0.04	0	31.79
0.05	0	30.07
0.06	0	28.8
0.07	0	27.18
0.08	0	24.87
0.09	0	23.87
0.1	0	22.52
0.11	0	21.66
0.12	0	30.58
0.13	0	41.3
0.14	0	43.65
0.15	0	39.77
0.16	0	38.52
0.17	0	41.48
0.18	0	44.4
0.19	0	46.22
0.2	0	58.22
0.21	0	67.18
0.22	99.32	71.53
0.23	99.1	72.84
0.24	98.18	71.54
0.25	95.53	68.2
0.26	0	64.59
0.27	0	65.76
0.28	0	68.93
0.29	0	70.59
0.3	0	71.2
0.31	0	71.4
0.32	0	72.07
0.33	0	72.28
0.34	0	72.49
0.35	0	72.09
0.36	0	72
0.37	0	71.75
0.38	0	68.98
0.39	0	70.44
0.4	0	77.65
0.41	113.88	81.94
0.42	114.88	83.48
0.43	114.21	83.5
0.44	113.52	83.56
0.45	113.42	83.96
0.46	113.89	84.45
0.47	115.02	84.76
0.48	116.19	84.74
0.49	117.1	84.1
0.5	118.44	83.24
0.51	119.53	82.73
0.52	119.35	80.8
0.53	120.05	74.88
0.54	121.16	64.67
0.55	0	57.19
0.56	0	60.75
0.57	0	64.57
0.58	121.02	64.09
0.59	121.63	62.63
0.6	122.7	62.78
0.61	124.41	65.28
0.62	125.71	69.04
0.63	126.9	72.43
0.64	128.24	75.03
0.65	129.22	76.77
0.66	130.37	77.75
0.67	131.34	78.06
0.68	132.49	77.94
0.69	133.55	77.45
0.7	133.98	76.39
0.71	134.75	75.01
0.72	136.04	73.33
0.73	137.59	71.08
0.74	138.78	67.27
0.75	139.43	61.26
0.76	139.17	57.5
0.77	0	56.49
0.78	0	55.45
0.79	129.75	55.03
0.8	126.49	55.69
0.81	0	57.5
0.82	0	60.73
0.83	0	64.02
0.84	0	66.04
0.85	0	65.75
0.86	0	65.88
0.87	0	70.59
0.88	110.66	74.62
0.89	108.31	77.01
0.9	103.77	78.21
0.91	98.7	79.03
0.92	96.26	79.72
0.93	95.11	79.69
0.94	94.74	79.15
0.95	94.51	77.95
0.96	94.85	76.19
0.97	95.4	74.57
0.98	94.83	72.18
0.99	94.36	68.49
1	94.93	65.74
1.01	97.81	63.9
1.02	100.36	63.43
1.03	101.62	63.23
1.04	105.99	63.67
1.05	106.5	64.08
1.06	108.99	64.36
1.07	110.79	66.08
1.08	110.06	69.74
1.09	108.93	73.17
1.1	108.2	75.48
1.11	107.42	76.78
1.12	107.67	77.29
1.13	108.68	77.48
1.14	109.84	77.68
1.15	110.61	77.75
1.16	111.7	77.48
1.17	112.59	76.62
1.18	112.55	74.81
1.19	111.77	71.93
1.2	0	67.03
1.21	0	58.83
1.22	0	47.31
1.23	0	42.87
1.24	0	44.3
1.25	0	45.44
1.26	0	47.21
1.27	0	47.64
1.28	0	54.63
1.29	0	64.71
1.3	0	69.85
1.31	115.59	71.45
1.32	115.62	71.53
1.33	115.3	71.27
1.34	114.97	70.88
1.35	114.64	70.24
1.36	114.26	68.8
1.37	113.83	65.31
1.38	0	58.65
1.39	0	52.94
1.4	0	50.24
1.41	0	51.92
1.42	0	59.65
1.43	0	64.99
1.44	0	66.46
1.45	0	66.54
1.46	0	67.51
1.47	0	68.3
1.48	0	66.61
1.49	0	59.76
1.5	0	47.14
1.51	0	37.6
1.52	0	40.36
1.53	0	49.39
1.54	0	53.79
1.55	0	54.78
1.56	0	59.41
1.57	98.22	65.35
1.58	98.35	67.54
1.59	98.4	68.1
1.6	98.11	68.53
1.61	97.35	68.93
1.62	97	69.2
1.63	96.42	69.23
1.64	95.99	69.12
1.65	95.49	69.02
1.66	94.64	68.7
1.67	93.73	68.41
1.68	92.89	68.27
1.69	91.11	67.86
1.7	89.92	67.2
1.71	89.23	66.59
1.72	88.28	66.37
1.73	87.27	65.63
1.74	86.49	65.09
1.75	85.34	64.61
1.76	84.35	64.24
1.77	83.64	64.51
1.78	82.73	64.31
1.79	82.05	63.72
1.8	82.44	63.34
1.81	82.88	62.99
1.82	82.95	62.95
1.83	83.32	62.53
1.84	83.59	61.46
1.85	84.34	60.63
1.86	85.33	60.36
1.87	87.32	59.04
1.88	89.55	55.7
1.89	0	52.24
1.9	0	49.7
1.91	0	48.05
1.92	0	45.26
1.93	0	42.04
1.94	0	39.76
1.95	0	39.76
1.96	0	40.55
1.97	0	40.95
1.98	0	41.31
1.99	0	41.66
2	0	41.3
2.01	0	40.85
2.02	0	40.47
2.03	0	40.14
2.04	0	39.72
2.05	0	39.28
2.06	0	39.07
2.07	0	38.8
2.08	0	38.93
2.09	0	38.21
2.1	0	37.99
2.11	0	38
2.12	0	37.44
2.13	0	37.05
2.14	0	36.76
2.15	0	36.06
2.16	0	35.47
2.17	0	35.55
2.18	0	35.23
2.19	0	34.29
2.2	0	33.83
2.21	0	33.9
2.22	0	33.72
2.23	0	33.26
2.24	0	32.87
2.25	0	32.87
2.26	0	33.04
2.27	0	32.85
2.28	0	0
2.29	0	0
2.3	0	0
