time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.01
0.04	0	28.7
0.05	0	28.47
0.06	0	28.66
0.07	0	28.56
0.08	0	28.49
0.09	0	28.48
0.1	0	28.14
0.11	0	27.95
0.12	0	28.81
0.13	0	46.73
0.14	0	58.98
0.15	0	65.91
0.16	0	71.79
0.17	0	73.42
0.18	0	75.88
0.19	0	78.18
0.2	0	79
0.21	0	77.83
0.22	0	77.1
0.23	0	76.5
0.24	0	74.03
0.25	0	70.9
0.26	0	71.91
0.27	0	72.51
0.28	0	72.73
0.29	0	73.53
0.3	0	74.7
0.31	0	74.98
0.32	0	75.26
0.33	0	75.09
0.34	0	74.45
0.35	0	73.46
0.36	0	73.87
0.37	0	75.44
0.38	0	75.15
0.39	0	74.2
0.4	0	72.73
0.41	0	73.5
0.42	0	76.05
0.43	0	76.7
0.44	112.58	78.83
0.45	115.58	79.62
0.46	118.19	79.45
0.47	118.67	79.44
0.48	119.09	79.86
0.49	119.28	80.14
0.5	119.97	80.27
0.51	120.02	80.21
0.52	119.23	79.34
0.53	119.76	76.29
0.54	121.19	72.35
0.55	0	72.65
0.56	0	74.64
0.57	0	73.02
0.58	0	66.85
0.59	0	62.64
0.6	0	59.19
0.61	0	57.36
0.62	0	57.71
0.63	0	54.91
0.64	0	43.66
0.65	0	30.21
0.66	0	29.02
0.67	0	29.12
0.68	0	29.12
0.69	0	31.25
0.7	0	45.3
0.71	0	54.18
0.72	0	56.08
0.73	0	55.54
0.74	0	58.94
0.75	0	65.4
0.76	114.77	70.03
0.77	115.34	74.08
0.78	116.05	77.41
0.79	116.92	78.95
0.8	117.59	79.38
0.81	117.42	79.12
0.82	117.03	78.53
0.83	116.69	77.73
0.84	116.42	76.8
0.85	116.22	75.83
0.86	116.92	74.82
0.87	118.65	73.95
0.88	119.52	73.36
0.89	119.27	72.57
0.9	119.14	71.36
0.91	119.86	69.88
0.92	120.14	68.75
0.93	119.18	67.39
0.94	116.9	64.32
0.95	0	58.34
0.96	0	53.46
0.97	0	54.7
0.98	0	52.08
0.99	0	54.96
1	0	62.64
1.01	0	65.47
1.02	0	67.21
1.03	0	67.63
1.04	0	66.98
1.05	0	65.35
1.06	0	63.11
1.07	0	62.03
1.08	0	61.16
1.09	0	66.66
1.1	114.72	72.11
1.11	115.39	74.42
1.12	115.43	74.96
1.13	113.81	74.67
1.14	114.14	75.16
1.15	115.72	78.34
1.16	115.53	81.59
1.17	114.62	82.73
1.18	113.87	82.22
1.19	113.62	81.53
1.2	113.47	81.08
1.21	112.79	79.72
1.22	111.29	76.64
1.23	0	70.95
1.24	0	61.16
1.25	0	45.47
1.26	0	31.38
1.27	0	35
1.28	0	44.13
1.29	0	54.77
1.3	0	64.65
1.31	0	72.71
1.32	0	76.87
1.33	0	78.23
1.34	0	77.73
1.35	0	76.76
1.36	0	75.37
1.37	0	74.11
1.38	0	72.14
1.39	0	68.5
1.4	0	63.02
1.41	0	59.95
1.42	0	63.42
1.43	110.33	66.46
1.44	110.12	66.23
1.45	108.75	64.31
1.46	106.21	61.35
1.47	0	57.89
1.48	0	54.88
1.49	0	52.51
1.5	0	50.5
1.51	0	48.22
1.52	0	47.84
1.53	0	56.11
1.54	0	60.6
1.55	0	59.9
1.56	116.63	63.06
1.57	114.81	67.79
1.58	114.13	71.16
1.59	113.5	73.3
1.6	111.93	74.5
1.61	111.83	75.19
1.62	111.88	75.73
1.63	111.61	76
1.64	111.34	76.05
1.65	111.32	75.97
1.66	110.9	75.25
1.67	109.46	73.55
1.68	107.8	71.56
1.69	107.26	69.7
1.7	107.79	67.42
1.71	106.03	63.95
1.72	103.88	60.2
1.73	106.79	58.51
1.74	110.14	58.93
1.75	109.63	59.62
1.76	110.28	60.65
1.77	111.61	60.99
1.78	110.35	60.67
1.79	109.14	60.53
1.8	108.98	60.56
1.81	110.74	60.92
1.82	112.35	61.83
1.83	111.81	63.54
1.84	111.29	65.54
1.85	111.22	67.15
1.86	110.81	68.28
1.87	110.1	68.65
1.88	108.97	68.02
1.89	107.65	66.31
1.9	107.19	65.56
1.91	106.81	65.6
1.92	106.1	65.47
1.93	105.81	65.36
1.94	105.5	65.45
1.95	105.31	66.15
1.96	105.92	68.95
1.97	104.33	71.57
1.98	102.09	72.18
1.99	101.89	72.19
2	102.18	72.19
2.01	102.76	72.26
2.02	102.91	72.31
2.03	102.31	72.1
2.04	101.3	71.39
2.05	99.84	69.05
2.06	100.69	65.97
2.07	103.48	64.95
2.08	104.94	64.8
2.09	104.95	64.97
2.1	105.32	66.42
2.11	105.39	69.16
2.12	104.79	70.13
2.13	104.94	69.68
2.14	105.23	68.68
2.15	104.46	67.18
2.16	103.03	65.08
2.17	101.84	62.46
2.18	101.26	59.39
2.19	0	56.47
2.2	0	53.62
2.21	0	50.89
2.22	0	48.25
2.23	0	46.49
2.24	0	45.93
2.25	0	46.87
2.26	0	48.68
2.27	0	47.66
2.28	0	47.24
2.29	0	46.63
2.3	0	44.34
2.31	0	0
2.32	0	0
?	?	?
