time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.78
0.05	0	27.18
0.06	0	32.39
0.07	0	33.68
0.08	0	28.42
0.09	0	25.5
0.1	0	27.47
0.11	0	33.4
0.12	0	47.27
0.13	176.7	59.31
0.14	172.64	69.32
0.15	157.46	76.64
0.16	153.92	79.6
0.17	155.07	80.48
0.18	155.97	80.86
0.19	156.99	81.21
0.2	158.68	81.58
0.21	160.35	82.05
0.22	161.6	82.8
0.23	162	83.12
0.24	161.36	82.23
0.25	158.63	78.45
0.26	151.32	69.96
0.27	151.52	62.1
0.28	150.24	60.59
0.29	149.53	61.34
0.3	155.08	69.88
0.31	156.79	77.71
0.32	157.57	80.82
0.33	158.4	80.9
0.34	158.82	79.88
0.35	158.3	78.15
0.36	157.09	75.19
0.37	0	73.2
0.38	0	76.66
0.39	0	79.21
0.4	0	79.6
0.41	0	78.67
0.42	0	78.71
0.43	0	79.49
0.44	0	79.42
0.45	0	78.6
0.46	0	77.98
0.47	0	76.24
0.48	0	72.15
0.49	0	68.2
0.5	0	74.81
0.51	0	80.54
0.52	140.26	80.96
0.53	137	78.29
0.54	134.39	73.93
0.55	132.75	69.72
0.56	131.87	68.85
0.57	131.16	70.31
0.58	130.23	73.8
0.59	128.97	77.63
0.6	127.33	80.11
0.61	126.24	81.44
0.62	124.98	82.01
0.63	123.75	81.91
0.64	122.21	81.75
0.65	121.26	81.31
0.66	120.27	80.28
0.67	119.33	78.15
0.68	117.27	74.02
0.69	116.39	68.95
0.7	116.69	65.72
0.71	116.58	63.38
0.72	118.4	63.34
0.73	124.56	68.25
0.74	123.31	73.44
0.75	121.47	75.77
0.76	122.12	75.94
0.77	121.91	75.81
0.78	120.55	75.47
0.79	117.61	73.31
0.8	0	67.91
0.81	0	59.81
0.82	0	56.55
0.83	0	56.9
0.84	0	56.96
0.85	0	56.46
0.86	0	62.65
0.87	0	71.75
0.88	120.01	76.46
0.89	118.81	78.05
0.9	118.47	77.99
0.91	117.81	77.05
0.92	117.89	75.81
0.93	118.41	75.57
0.94	118.83	75.96
0.95	118.09	76.51
0.96	117.5	76.62
0.97	116.46	76.55
0.98	116.97	76.17
0.99	117.84	75.53
1	117.49	74.88
1.01	117.39	74.09
1.02	118.13	73.22
1.03	118.27	72.3
1.04	117.66	71.01
1.05	115.61	69.13
1.06	119.59	67.21
1.07	121.59	65.2
1.08	118.38	62.41
1.09	0	60.1
1.1	0	58.49
1.11	0	56.24
1.12	0	54.44
1.13	0	52.93
1.14	0	51.04
1.15	0	49.56
1.16	0	49.19
1.17	0	49.64
1.18	0	49.9
1.19	0	49.02
1.2	0	48.77
1.21	0	49.33
1.22	0	49.21
1.23	0	49.61
1.24	0	49.93
1.25	0	50.36
1.26	0	51.3
1.27	0	51.44
1.28	0	51.39
1.29	0	50.25
1.3	0	48.32
1.31	0	46.54
1.32	0	45.94
1.33	0	46.25
1.34	0	46.14
1.35	0	46.1
1.36	0	46.52
1.37	0	45.67
1.38	0	44.72
1.39	0	44.13
1.4	0	44.28
1.41	0	44.18
1.42	0	43.11
1.43	0	42.6
1.44	0	41.51
1.45	0	39.66
1.46	0	38.66
1.47	0	38.22
1.48	0	38.25
1.49	0	38.16
1.5	0	37.43
1.51	0	37.59
1.52	0	37.8
1.53	0	37.24
1.54	0	37.51
1.55	0	40.97
1.56	0	45.71
1.57	0	45.08
1.58	0	39.8
1.59	0	35.91
1.6	0	36.19
1.61	0	36.54
1.62	0	35.88
1.63	0	35.8
1.64	0	36.81
1.65	0	36.92
1.66	0	35.75
1.67	0	35.17
1.68	0	35.13
1.69	0	34.46
1.7	0	33.95
1.71	0	33.97
1.72	0	33.84
1.73	0	33.81
1.74	0	33.35
1.75	0	32.48
1.76	0	31.84
1.77	0	31.52
1.78	0	0
1.79	0	0
1.8	0	0
