time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	35.56
0.05	0	32.87
0.06	0	31.75
0.07	0	30.73
0.08	0	28.32
0.09	0	27.83
0.1	0	27.37
0.11	0	27.25
0.12	0	41.41
0.13	0	55
0.14	0	58.65
0.15	0	53.75
0.16	0	37.38
0.17	0	43.02
0.18	0	53.04
0.19	0	58.49
0.2	0	68.01
0.21	0	74.56
0.22	105.38	76.83
0.23	108.59	76.88
0.24	101.19	75.46
0.25	78.24	72.55
0.26	0	68.7
0.27	0	61.41
0.28	0	49.34
0.29	0	56.7
0.3	0	63.44
0.31	0	66.31
0.32	98.26	70.4
0.33	109.34	73.24
0.34	110.56	74.65
0.35	111.75	75.4
0.36	112.69	75.73
0.37	119.58	75.93
0.38	120.93	76.68
0.39	120.53	77.14
0.4	118.49	76.32
0.41	116.95	72.63
0.42	111.49	65.01
0.43	0	55.41
0.44	0	59.21
0.45	120.84	67.86
0.46	120.27	71.97
0.47	119.15	73.38
0.48	115.66	73.72
0.49	112.52	73.4
0.5	106.01	73.27
0.51	102.1	72.97
0.52	99.82	72.1
0.53	97.7	70.98
0.54	96.59	69.7
0.55	95.15	68.37
0.56	93.13	67.04
0.57	92.53	66.12
0.58	92.67	65.86
0.59	92.48	66.41
0.6	93.54	67.83
0.61	95.4	70.2
0.62	96.87	72.93
0.63	97.44	75.38
0.64	98.15	77.29
0.65	99.7	78.85
0.66	100.87	80.23
0.67	101.07	81.23
0.68	101.03	81.95
0.69	101.83	82.69
0.7	102.91	83.38
0.71	103.74	84.05
0.72	105.18	84.59
0.73	105.77	84.87
0.74	106.95	84.85
0.75	109.1	84.67
0.76	112.11	84.23
0.77	113.61	83.03
0.78	116.29	80.63
0.79	117	76.53
0.8	0	69.54
0.81	0	57.3
0.82	0	43.92
0.83	0	44.65
0.84	0	45.38
0.85	0	39.58
0.86	0	36.74
0.87	0	52.67
0.88	0	58.51
0.89	0	57.89
0.9	0	55.21
0.91	0	52.11
0.92	0	57.23
0.93	0	64.77
0.94	102.73	67.98
0.95	102.44	68.95
0.96	99.14	68.86
0.97	96.6	68.02
0.98	95.33	66.88
0.99	94.23	65.86
1	93.43	64.72
1.01	92.67	64.07
1.02	92.97	64.37
1.03	93.86	65.43
1.04	94.65	66.9
1.05	95.55	68.64
1.06	95.48	70.15
1.07	94.9	70.67
1.08	94.63	70.05
1.09	94.6	68.33
1.1	93.16	65.09
1.11	0	59.81
1.12	0	51.07
1.13	0	42.62
1.14	0	38.62
1.15	0	36.45
1.16	0	45.96
1.17	0	57.7
1.18	0	63.48
1.19	0	65.33
1.2	0	63.9
1.21	0	63.26
1.22	0	67.95
1.23	0	71.07
1.24	101.94	72.77
1.25	101.93	73.87
1.26	100.77	74.76
1.27	99.67	75.56
1.28	98.47	76.09
1.29	97.94	76.77
1.3	98.18	77.45
1.31	99.29	77.59
1.32	99.9	76.74
1.33	99.1	75.1
1.34	95.49	72.98
1.35	94.39	70.3
1.36	91.35	67.68
1.37	91.19	66.61
1.38	91.72	67.18
1.39	90.34	68.05
1.4	90.57	69
1.41	91.32	69.7
1.42	90.2	68.98
1.43	88.13	67.06
1.44	86.86	64.39
1.45	84.97	60.86
1.46	87.38	58.73
1.47	85.32	57.96
1.48	84.58	56.59
1.49	84.65	54.99
1.5	0	52.91
1.51	0	50.44
1.52	0	48.14
1.53	0	45.72
1.54	0	42.42
1.55	0	39.79
1.56	0	37.75
1.57	0	35.94
1.58	0	35.15
1.59	0	36.15
1.6	0	41.9
1.61	0	46.12
1.62	0	43.68
1.63	0	39.73
1.64	0	37.93
1.65	0	36.02
1.66	0	35.49
1.67	0	36.12
1.68	0	36.42
1.69	0	35.66
1.7	0	34.32
1.71	0	34.37
1.72	0	0
1.73	0	0
1.74	0	0
