time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.09
0.05	0	34.88
0.06	0	37.54
0.07	0	37.97
0.08	0	36.89
0.09	0	34.56
0.1	0	33.3
0.11	0	35.86
0.12	0	45.78
0.13	170.34	55.92
0.14	169.52	60.02
0.15	154.59	59.2
0.16	146.93	56.58
0.17	0	54.72
0.18	0	53.96
0.19	0	53.1
0.2	0	54.95
0.21	0	61.26
0.22	0	64.32
0.23	0	66.31
0.24	0	68.9
0.25	0	70.19
0.26	0	71.05
0.27	0	71.32
0.28	0	69.29
0.29	0	64.56
0.3	0	60.15
0.31	164.5	70.35
0.32	163.71	76.93
0.33	161.1	79.52
0.34	158.03	81.46
0.35	155.62	83.14
0.36	154.15	84.07
0.37	153.62	84.4
0.38	154.36	84.17
0.39	155.46	83.67
0.4	155.78	83.33
0.41	155.68	83.1
0.42	154.93	82.85
0.43	153.46	82.38
0.44	151.05	81.86
0.45	148.49	81.52
0.46	145.65	81.36
0.47	142.83	80.91
0.48	139.77	79.72
0.49	136.39	77.2
0.5	133.7	73.02
0.51	131.56	67.87
0.52	129.47	63.26
0.53	127.66	61.05
0.54	127.88	62.29
0.55	129.5	64.86
0.56	130.59	67.06
0.57	130.92	68.98
0.58	131.01	71.04
0.59	130.56	72.64
0.6	129.88	73.33
0.61	129.7	73.63
0.62	129.73	73.77
0.63	129.82	73.76
0.64	129.79	73.83
0.65	129.21	73.68
0.66	128.45	72.92
0.67	127.73	70.78
0.68	127.8	65.81
0.69	0	59.4
0.7	0	59.27
0.71	0	62.27
0.72	0	63.24
0.73	0	61.63
0.74	0	60.06
0.75	0	58.87
0.76	0	56.36
0.77	0	52.05
0.78	0	59.14
0.79	0	65.15
0.8	0	65.12
0.81	143.15	64.47
0.82	140.05	65.62
0.83	138.08	66.68
0.84	137.62	66.23
0.85	138.1	63.67
0.86	140.07	60.45
0.87	144.87	59.3
0.88	153.47	61.85
0.89	153.21	66.64
0.9	146.81	70.2
0.91	144.07	72.24
0.92	142.3	74.12
0.93	140.36	75.23
0.94	139.53	75.66
0.95	140.16	75.39
0.96	140.52	73.68
0.97	139.95	69.04
0.98	0	59.19
0.99	0	42.1
1	0	31.87
1.01	0	31.12
1.02	0	29.01
1.03	0	32.93
1.04	0	47.12
1.05	0	52.23
1.06	0	52.62
1.07	0	54.54
1.08	0	54.83
1.09	0	55.43
1.1	0	60.86
1.11	0	66.54
1.12	0	67.01
1.13	0	64.33
1.14	0	63.95
1.15	0	65.74
1.16	0	65.72
1.17	0	63.67
1.18	0	63.82
1.19	0	63.62
1.2	0	59.65
1.21	0	56.47
1.22	0	65.37
1.23	0	70.98
1.24	151.13	72.59
1.25	150.16	73.35
1.26	148.63	73.64
1.27	147.49	73.58
1.28	146.63	73.06
1.29	145.64	71.53
1.3	144.79	68.98
1.31	143.55	65.23
1.32	0	58.9
1.33	0	50.8
1.34	0	52.75
1.35	0	58.65
1.36	0	65.7
1.37	0	68.81
1.38	0	69.27
1.39	0	68.57
1.4	0	65.63
1.41	0	60.12
1.42	0	55.33
1.43	0	60.14
1.44	0	61.24
1.45	0	59.99
1.46	0	59.68
1.47	0	58.47
1.48	0	56.5
1.49	0	55.6
1.5	0	59.26
1.51	0	64.57
1.52	0	66.51
1.53	0	67.42
1.54	0	68.8
1.55	0	66.73
1.56	0	60.51
1.57	0	54.92
1.58	0	52.42
1.59	0	55.59
1.6	0	64.47
1.61	0	69.67
1.62	0	70.67
1.63	0	71.49
1.64	0	72.15
1.65	125.96	72.89
1.66	126.9	73.1
1.67	127.15	73.1
1.68	126.94	72.88
1.69	127.26	72.57
1.7	127.43	71.73
1.71	127.05	70.45
1.72	127.15	68.64
1.73	129.01	66.84
1.74	131.92	65.49
1.75	134.1	63.97
1.76	135.78	61.32
1.77	0	56.97
1.78	0	52.72
1.79	0	57.59
1.8	0	63.11
1.81	0	65.44
1.82	0	67.67
1.83	0	69.18
1.84	0	67.38
1.85	125.63	66.69
1.86	117.97	68.43
1.87	106.18	68.44
1.88	0	66.62
1.89	0	63.85
1.9	0	60.93
1.91	0	58.37
1.92	0	56.02
1.93	0	52.62
1.94	0	48.07
1.95	0	43.99
1.96	0	41.89
1.97	0	39.64
1.98	0	38.18
1.99	0	35.98
2	0	34.95
2.01	0	34.5
2.02	0	33.35
2.03	0	33.08
2.04	0	33.04
2.05	0	31.57
2.06	0	0
2.07	0	0
2.08	0	0
?	?	?
