time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.69
0.05	0	36.42
0.06	0	34.41
0.07	0	31.6
0.08	0	31.39
0.09	0	31.38
0.1	0	32.47
0.11	0	35.52
0.12	0	43.57
0.13	0	53.63
0.14	0	57.5
0.15	0	59.69
0.16	0	68.25
0.17	0	73.65
0.18	94.58	75.19
0.19	99.69	74.86
0.2	100.18	73.48
0.21	98.66	71.28
0.22	0	71.44
0.23	0	73.73
0.24	0	75.3
0.25	0	76.87
0.26	0	78.4
0.27	0	79.76
0.28	0	80.06
0.29	0	79.21
0.3	0	77.28
0.31	0	75.89
0.32	0	74.79
0.33	0	73.26
0.34	114.67	74.61
0.35	113.44	77.09
0.36	113.86	78.71
0.37	114.34	79.76
0.38	114.07	80.32
0.39	113.52	80.67
0.4	112.58	80.99
0.41	111.37	81.26
0.42	110.17	81.44
0.43	108.36	81.43
0.44	106.13	81.09
0.45	103.2	80.21
0.46	100.29	78.69
0.47	96.9	76.77
0.48	94.28	74.81
0.49	91.68	73.07
0.5	90.14	71.94
0.51	89.8	71.68
0.52	0	71.98
0.53	0	72.6
0.54	0	71.2
0.55	0	64.99
0.56	92.5	60.64
0.57	93.66	63.06
0.58	95.18	65.48
0.59	96.4	67.22
0.6	96.98	68.36
0.61	97.67	69.11
0.62	99.06	70.85
0.63	98.54	73.57
0.64	97.77	75.64
0.65	98.07	77.06
0.66	98.26	78.13
0.67	98.41	79.01
0.68	98.63	79.68
0.69	99.13	79.96
0.7	99.28	79.45
0.71	97.82	77.46
0.72	95.02	73.52
0.73	92.78	69.52
0.74	93.26	67.62
0.75	97.75	68.26
0.76	103.03	71.11
0.77	106.38	74.58
0.78	108.29	77.05
0.79	108.98	77.26
0.8	107.87	74.41
0.81	103.38	68.12
0.82	99.04	60.31
0.83	99.01	55.89
0.84	102.41	56.55
0.85	107.01	62.33
0.86	110.5	69.81
0.87	113.58	75.73
0.88	116.46	79.6
0.89	116.94	81.78
0.9	115.75	82.68
0.91	113.73	82.47
0.92	112.16	81.31
0.93	111.57	79.66
0.94	111.32	78.08
0.95	112.08	77.62
0.96	112.78	77.71
0.97	112.67	77.53
0.98	112.12	77.73
0.99	111.99	79.8
1	110	82.15
1.01	108.02	83.51
1.02	105.95	84.3
1.03	103.56	84.14
1.04	101.62	83.87
1.05	100.44	83.83
1.06	99.46	83.93
1.07	98.39	84.05
1.08	96.95	83.89
1.09	95.2	83.47
1.1	93.53	82.81
1.11	91.87	82.02
1.12	90.16	81.04
1.13	88.77	79.55
1.14	87.92	77.13
1.15	86.55	73.58
1.16	0	69.5
1.17	0	70.15
1.18	0	73.73
1.19	0	75.88
1.2	0	77.29
1.21	0	77.39
1.22	0	76.44
1.23	0	74.84
1.24	0	73.03
1.25	0	71.31
1.26	0	68.87
1.27	0	65.54
1.28	0	63.96
1.29	0	66.23
1.3	79.97	67.3
1.31	83.31	67.52
1.32	81.3	67.09
1.33	79.8	64.18
1.34	83.23	62.66
1.35	86.36	63.25
1.36	88.54	64.06
1.37	90.04	64.8
1.38	90.89	65.36
1.39	92.43	66.47
1.4	92.58	69.94
1.41	92.17	73.42
1.42	91.72	74.55
1.43	91.17	74.76
1.44	90.78	74.78
1.45	90.39	74.52
1.46	89.91	74.27
1.47	89.76	74.06
1.48	89.5	73.44
1.49	89.21	72.13
1.5	88.24	69.52
1.51	88.53	67.24
1.52	90.42	66.89
1.53	91.13	66.82
1.54	91.17	67.06
1.55	92.63	69.14
1.56	93	72.08
1.57	92.46	73.66
1.58	92.35	74.25
1.59	92.73	74.61
1.6	92.75	75.07
1.61	92.96	75.45
1.62	93.22	75.82
1.63	93.65	76.24
1.64	93.79	76.49
1.65	93.98	76.71
1.66	94.36	77.04
1.67	94.56	77.38
1.68	94.96	77.64
1.69	95.38	77.86
1.7	95.45	77.94
1.71	95.54	78.04
1.72	95.54	78.07
1.73	95.68	77.96
1.74	95.89	77.42
1.75	96.03	75.84
1.76	95.79	72.25
1.77	92.01	65.53
1.78	92.53	61.04
1.79	94.68	66.99
1.8	95.78	72.33
1.81	96.4	74.41
1.82	96.44	74.72
1.83	95.87	74.44
1.84	95.05	74.13
1.85	94.52	73.83
1.86	93.61	73.46
1.87	92.38	72.88
1.88	91.19	71.95
1.89	89.54	70.24
1.9	85.28	66.74
1.91	0	60.55
1.92	0	53.1
1.93	0	50.3
1.94	0	51.54
1.95	0	52.7
1.96	0	48.4
1.97	0	49.19
1.98	0	51.68
1.99	0	55.52
2	0	64.81
2.01	0	71.52
2.02	93.35	73.64
2.03	95.36	73.51
2.04	94.89	73.35
2.05	93.72	73.37
2.06	92.8	73.51
2.07	92.11	73.68
2.08	91.12	73.78
2.09	89.97	73.87
2.1	88.89	73.98
2.11	87.42	73.95
2.12	85.77	73.42
2.13	82.03	72.64
2.14	79.17	71.89
2.15	78.88	70.3
2.16	0	69.1
2.17	0	68.27
2.18	0	69.49
2.19	0	69.74
2.2	0	65.2
2.21	0	63.43
2.22	0	65.75
2.23	0	65.54
2.24	0	59.6
2.25	0	57.56
2.26	0	61.99
2.27	0	60.01
2.28	0	52.73
2.29	0	47.47
2.3	0	44.52
2.31	0	45.5
2.32	0	46.29
2.33	0	48.07
2.34	0	48.21
2.35	0	45.3
2.36	0	44.85
2.37	0	45.01
2.38	0	43.28
2.39	0	42.33
2.4	0	42.46
2.41	0	42.57
2.42	0	0
2.43	0	0
2.44	0	0
