time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.36
0.04	0	27.43
0.05	0	31.16
0.06	0	32.81
0.07	0	29.49
0.08	0	25.79
0.09	0	30.25
0.1	0	43.75
0.11	0	51.13
0.12	0	52.69
0.13	0	57.31
0.14	141.82	61.95
0.15	143.44	65.97
0.16	148.81	71.73
0.17	150.44	75.26
0.18	152.98	76.24
0.19	154.98	76.1
0.2	156.17	75.8
0.21	157.11	75.77
0.22	157.25	75.68
0.23	156.77	74.81
0.24	155.29	71.89
0.25	154	68.11
0.26	152.32	67.08
0.27	149.79	67.33
0.28	142.24	68.63
0.29	138.27	68.85
0.3	131.13	67.69
0.31	125.2	67.04
0.32	115.16	67.79
0.33	111.43	69.89
0.34	109.27	72.97
0.35	108.09	76.65
0.36	108.02	79.81
0.37	108.07	81.54
0.38	107.42	82.2
0.39	107.33	82.97
0.4	107.26	83.46
0.41	107.26	83.65
0.42	107.61	83.96
0.43	107.67	83.95
0.44	107.27	83.43
0.45	106.98	82.96
0.46	106.45	82.52
0.47	106.21	82.16
0.48	106.16	81.82
0.49	105.86	81.43
0.5	105.52	81.17
0.51	105.21	81.07
0.52	105.18	80.89
0.53	105.33	80.62
0.54	105.54	80.36
0.55	105.75	80.18
0.56	106.18	79.65
0.57	107.87	78.48
0.58	108.9	76.91
0.59	108.33	75.06
0.6	107.85	72.42
0.61	105.41	67.2
0.62	0	61.74
0.63	0	63.16
0.64	0	67.6
0.65	0	69.02
0.66	0	69.82
0.67	0	69.94
0.68	0	69.88
0.69	0	70.33
0.7	0	71.54
0.71	0	70.13
0.72	0	65.87
0.73	0	59.9
0.74	0	52.11
0.75	0	40.19
0.76	0	29.04
0.77	0	27.76
0.78	0	29.91
0.79	0	43.88
0.8	0	55.12
0.81	0	60.01
0.82	0	66.36
0.83	136.55	72.16
0.84	138.05	75.72
0.85	137.62	77.28
0.86	137.55	77.38
0.87	137.06	77
0.88	136.89	76.51
0.89	137.26	75.89
0.9	137.88	74.96
0.91	138.62	73.7
0.92	139.27	72.16
0.93	140.42	70.39
0.94	140.97	68.26
0.95	141.14	66.23
0.96	140.12	65.37
0.97	137.38	64.78
0.98	134.24	63.27
0.99	129.74	62.8
1	126.85	64.59
1.01	124.52	67.57
1.02	122.37	71.14
1.03	117.67	73.64
1.04	114.25	74.54
1.05	111.07	73.88
1.06	0	70.11
1.07	0	62.08
1.08	0	56.93
1.09	0	52.9
1.1	0	47
1.11	0	39.94
1.12	0	34.25
1.13	0	30.71
1.14	0	25.94
1.15	0	25.05
1.16	0	25.51
1.17	0	42.41
1.18	0	56.15
1.19	0	60.27
1.2	0	57.21
1.21	0	56.68
1.22	0	60.73
1.23	0	67.29
1.24	118.68	73.68
1.25	115.56	77.46
1.26	113.86	79.34
1.27	111.26	80.11
1.28	109.65	80.38
1.29	108.63	80.53
1.3	107.48	80.27
1.31	106.53	79.8
1.32	105.77	79.55
1.33	105.33	79.52
1.34	105	79.48
1.35	104.65	79.03
1.36	103.37	77.77
1.37	102.27	75.18
1.38	0	70.88
1.39	0	69.08
1.4	0	72.69
1.41	0	73.75
1.42	0	71.54
1.43	0	70.16
1.44	0	70.21
1.45	0	68.13
1.46	0	63.78
1.47	0	61.16
1.48	0	60.24
1.49	0	57.85
1.5	0	51
1.51	0	42.61
1.52	0	44.98
1.53	0	51.61
1.54	0	58.85
1.55	0	63.35
1.56	104.3	67.32
1.57	105.74	71.14
1.58	109.61	74.36
1.59	112.74	77.26
1.6	115.64	79.69
1.61	117.94	81.06
1.62	120.2	81.16
1.63	122.56	81.2
1.64	124.15	81.59
1.65	126.59	81.91
1.66	129.39	82.3
1.67	131.52	82.75
1.68	133	82.92
1.69	134.6	82.93
1.7	135.53	82.87
1.71	136.01	82.56
1.72	135.09	81.7
1.73	134.2	79.78
1.74	135.65	77.72
1.75	136.41	76.59
1.76	136.73	75.62
1.77	137.55	74.96
1.78	136.84	75.03
1.79	135.3	74.53
1.8	134.97	73.55
1.81	135.76	72.92
1.82	136.32	72.65
1.83	136.83	72.18
1.84	137.45	70.79
1.85	137.7	67.56
1.86	138.74	64.17
1.87	138.55	63.06
1.88	138.09	61.88
1.89	136.83	59.28
1.9	0	54.56
1.91	0	46.86
1.92	0	51.8
1.93	0	60.42
1.94	0	61.74
1.95	0	58.8
1.96	0	57.28
1.97	0	58.87
1.98	0	60.47
1.99	0	60.8
2	0	61.78
2.01	0	63.44
2.02	0	64.94
2.03	0	66.28
2.04	0	66.91
2.05	0	67.79
2.06	0	68.65
2.07	0	68.41
2.08	0	67.61
2.09	0	67.73
2.1	0	67.12
2.11	0	63.53
2.12	0	64.79
2.13	0	71.17
2.14	0	73.9
2.15	103.91	73.97
2.16	100.11	73.02
2.17	94.5	71.21
2.18	91.39	69.09
2.19	89.55	66.98
2.2	87.1	64.33
2.21	0	59.82
2.22	0	53.64
2.23	0	51.89
2.24	0	48.88
2.25	0	47.33
2.26	0	54.59
2.27	0	59.29
2.28	0	56.35
2.29	0	52.75
2.3	0	50.45
2.31	0	49.3
2.32	0	50.58
2.33	0	47.9
2.34	0	44.89
2.35	0	46.24
2.36	0	46.87
2.37	0	46.55
2.38	0	44.5
2.39	0	42.08
2.4	0	39.93
2.41	0	37.82
2.42	0	35.54
2.43	0	0
2.44	0	0
2.45	0	0
