time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.78
0.05	0	34.14
0.06	0	34.5
0.07	0	34.67
0.08	0	34.09
0.09	0	33.06
0.1	0	32.75
0.11	0	33.18
0.12	0	41.82
0.13	0	54.17
0.14	0	59.69
0.15	0	66.12
0.16	0	72.69
0.17	0	75.9
0.18	0	75.17
0.19	0	71.57
0.2	0	71.65
0.21	0	77.82
0.22	0	80.85
0.23	167.04	82.29
0.24	167.82	82.66
0.25	168.83	82.34
0.26	169.02	81.46
0.27	168	79.57
0.28	165.24	76.22
0.29	0	71.79
0.3	0	72.55
0.31	0	76.51
0.32	0	78.13
0.33	0	79.23
0.34	0	77.67
0.35	0	72.32
0.36	0	64.28
0.37	0	51.41
0.38	0	47.62
0.39	0	53.52
0.4	0	56.83
0.41	145.76	62.17
0.42	144.58	63.91
0.43	142.69	64
0.44	141.14	66.9
0.45	139.76	71.33
0.46	139.67	73.54
0.47	140.46	74.26
0.48	140.88	74.47
0.49	141.66	74.3
0.5	143.36	73.9
0.51	144.89	73.66
0.52	145.69	73.65
0.53	145.59	73.22
0.54	144.58	72.01
0.55	142.64	69.65
0.56	0	64.41
0.57	0	55.17
0.58	0	47.4
0.59	0	42.74
0.6	0	44.96
0.61	0	55.27
0.62	0	62.55
0.63	0	67.29
0.64	0	69.55
0.65	0	70.74
0.66	0	72.18
0.67	0	72.48
0.68	0	70.42
0.69	0	65.93
0.7	158.05	61.99
0.71	158.12	66.38
0.72	0	66.75
0.73	0	62.94
0.74	0	63.29
0.75	0	65.98
0.76	0	67.47
0.77	135.23	72.82
0.78	135.7	76.06
0.79	135.41	77.31
0.8	133.26	76.22
0.81	132.36	73.83
0.82	132.45	72.45
0.83	131.66	71.71
0.84	131.1	70.93
0.85	130.64	69.93
0.86	129.59	68.85
0.87	128.13	67.6
0.88	125.2	65.47
0.89	0	62.06
0.9	0	59.11
0.91	0	59.23
0.92	0	61.84
0.93	0	66.63
0.94	0	70.76
0.95	0	72.39
0.96	0	73.85
0.97	0	76.18
0.98	0	75.63
0.99	0	71.61
1	0	65.57
1.01	0	54.9
1.02	0	53.63
1.03	0	62.11
1.04	0	66.37
1.05	0	70.06
1.06	143.94	75.41
1.07	143.89	78.14
1.08	142.94	79.1
1.09	142.47	79.31
1.1	143.08	79.38
1.11	144.3	79.41
1.12	145.67	79.29
1.13	146.91	78.9
1.14	147.76	78.05
1.15	147.72	76.87
1.16	146.81	75.4
1.17	144.84	72.55
1.18	0	66.62
1.19	0	55.4
1.2	0	46.94
1.21	0	51.28
1.22	0	58.47
1.23	0	61.47
1.24	0	65.97
1.25	0	69.76
1.26	0	70.77
1.27	0	71.04
1.28	0	68.67
1.29	0	63.17
1.3	0	60.92
1.31	0	60.88
1.32	0	61.27
1.33	0	56.65
1.34	0	56.81
1.35	0	59.69
1.36	0	60.82
1.37	0	61.21
1.38	0	60.29
1.39	0	58.42
1.4	0	57
1.41	0	56.86
1.42	0	57.31
1.43	0	57.27
1.44	0	55.03
1.45	0	53.2
1.46	0	53.64
1.47	0	52.57
1.48	0	50.4
1.49	0	50.74
1.5	0	51.26
1.51	0	50.4
1.52	0	49.09
1.53	0	48.46
1.54	0	48.39
1.55	0	50
1.56	0	51.05
1.57	0	50.83
1.58	0	49.52
1.59	0	49.82
1.6	0	51.75
1.61	0	51.57
1.62	0	51.37
1.63	0	51.59
1.64	0	51.38
1.65	0	51.19
1.66	0	51.8
1.67	0	53.51
1.68	0	52.76
1.69	0	51.65
1.7	0	50.93
1.71	0	50.12
1.72	0	49.55
1.73	0	48.95
1.74	0	49.04
1.75	0	47.86
1.76	0	47.15
1.77	0	0
1.78	0	0
1.79	0	0
?	?	?
