time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	20.29
0.05	0	19.92
0.06	0	19.74
0.07	0	20.79
0.08	0	25.32
0.09	0	29.62
0.1	0	31.32
0.11	0	31.41
0.12	0	43.15
0.13	0	58.13
0.14	0	63.98
0.15	0	66.31
0.16	0	69.85
0.17	0	71.35
0.18	0	72.6
0.19	0	72.28
0.2	0	69.62
0.21	0	62.77
0.22	0	52.88
0.23	0	49.79
0.24	0	49.32
0.25	0	46.43
0.26	0	44.78
0.27	0	42.54
0.28	0	42.76
0.29	0	46.2
0.3	0	50.34
0.31	0	52.97
0.32	0	56.43
0.33	0	64.86
0.34	138.54	71.1
0.35	139.07	74.21
0.36	140.81	75.56
0.37	142.72	76.12
0.38	143.67	76.62
0.39	144.66	77.05
0.4	145.81	77.17
0.41	146.53	76.83
0.42	147.33	76.27
0.43	148.74	76.12
0.44	149.73	75.99
0.45	150.39	75.38
0.46	151.23	74.39
0.47	152.79	74.06
0.48	154.58	75.24
0.49	157.61	76.17
0.5	159.48	76.33
0.51	159.68	75.93
0.52	159.07	74.41
0.53	157.11	71.11
0.54	0	67.65
0.55	0	68
0.56	0	69.02
0.57	0	68.76
0.58	0	68.75
0.59	0	68.19
0.6	0	67.14
0.61	0	65.26
0.62	0	62.14
0.63	0	56.34
0.64	0	45.77
0.65	0	36.85
0.66	0	36.35
0.67	0	43.74
0.68	0	50.74
0.69	0	61.04
0.7	0	71.5
0.71	77.39	76.05
0.72	0	78.43
0.73	0	80.21
0.74	136.35	82.59
0.75	134.38	83.75
0.76	129.71	83.88
0.77	126.1	84.24
0.78	123.37	84.89
0.79	121.2	85.4
0.8	119.14	85.71
0.81	117.6	85.75
0.82	115.99	85.45
0.83	113.79	84.46
0.84	111.46	82.76
0.85	108.39	79.41
0.86	107.52	75.2
0.87	93.03	75.37
0.88	0	75.83
0.89	0	72.53
0.9	0	70.35
0.91	0	66
0.92	0	53.36
0.93	0	34.36
0.94	0	35.2
0.95	0	40.51
0.96	0	37.83
0.97	0	26.91
0.98	0	20.77
0.99	0	21.5
1	0	19.96
1.01	0	19.28
1.02	0	22.42
1.03	0	42.59
1.04	0	54.15
1.05	0	58.79
1.06	0	61.02
1.07	0	61.96
1.08	0	62.01
1.09	0	62.78
1.1	0	69.13
1.11	0	75.18
1.12	123.24	76.93
1.13	121.06	76.24
1.14	120.31	76.03
1.15	120.44	76.56
1.16	121.1	76.45
1.17	121.58	75.78
1.18	122.22	75.23
1.19	122.75	74.93
1.2	123.4	74.77
1.21	123.98	74.71
1.22	125.15	74.95
1.23	125.54	75.25
1.24	125.83	75.04
1.25	124.94	72.87
1.26	129.51	69.51
1.27	131.45	68.44
1.28	131.3	68.17
1.29	130.44	67.61
1.3	127.09	66.65
1.31	120.6	64.98
1.32	116.23	62.63
1.33	109.81	61.78
1.34	0	64.63
1.35	0	66.37
1.36	0	66.63
1.37	0	64.76
1.38	0	65.24
1.39	0	63.82
1.4	0	65.82
1.41	0	67.52
1.42	0	69.59
1.43	89.47	71.51
1.44	92.4	72.89
1.45	111.39	74.72
1.46	116.02	74.76
1.47	113.17	71.56
1.48	112.34	69.15
1.49	111.81	69.14
1.5	111.38	68.87
1.51	111.49	68.23
1.52	111.63	67.26
1.53	110.84	65.51
1.54	110.19	62.55
1.55	0	57.79
1.56	0	48.81
1.57	0	48.39
1.58	0	58.58
1.59	0	64.58
1.6	0	66.8
1.61	0	65.67
1.62	0	62.65
1.63	0	60.39
1.64	0	58.35
1.65	0	63.52
1.66	124.18	69.28
1.67	122.41	71.28
1.68	121.25	71.36
1.69	121.4	70.82
1.7	121.97	70.45
1.71	122.92	70.58
1.72	123.56	71.15
1.73	123.01	71.82
1.74	121.08	71.98
1.75	119.2	70.97
1.76	115.39	68.98
1.77	114.82	66.93
1.78	115.98	65.55
1.79	118.22	66.06
1.8	122.79	68.11
1.81	124.9	70.24
1.82	125.18	72.27
1.83	124.47	73.43
1.84	121.9	73.3
1.85	121	72.43
1.86	120.2	71.01
1.87	118.75	68.53
1.88	115.1	64.93
1.89	0	62.39
1.9	0	63.33
1.91	0	64.92
1.92	0	66.28
1.93	0	66.59
1.94	0	64.62
1.95	0	62.13
1.96	0	60.37
1.97	0	58.76
1.98	0	56.76
1.99	0	57.41
2	0	64
2.01	0	69.64
2.02	113.48	73.35
2.03	112.71	75.41
2.04	107.83	75.88
2.05	104.98	76.11
2.06	104.47	76.32
2.07	104.28	76.44
2.08	103.92	76.58
2.09	103.88	76.66
2.1	103.94	76.93
2.11	103.13	76.95
2.12	101.79	76.43
2.13	100.23	75.48
2.14	99.62	74.64
2.15	98.73	74.04
2.16	98.27	74.05
2.17	99	74.17
2.18	99.71	71.16
2.19	0	63.82
2.2	0	52.91
2.21	0	43.34
2.22	0	41.93
2.23	0	40.52
2.24	0	37.99
2.25	0	38.87
2.26	0	36.58
2.27	0	31.66
2.28	0	35.37
2.29	0	41.39
2.3	0	43.37
2.31	0	42.82
2.32	0	40.45
2.33	0	36.92
2.34	0	34.04
2.35	0	32.85
2.36	0	33.25
2.37	0	32.92
2.38	0	32.24
2.39	0	32.06
2.4	0	31.75
2.41	0	31.79
2.42	0	0
2.43	0	0
2.44	0	0
