time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.02
0.04	0	30.08
0.05	0	30.06
0.06	0	30.02
0.07	0	30.79
0.08	0	30.93
0.09	0	31.26
0.1	0	32.34
0.11	0	33.28
0.12	0	33.62
0.13	0	36.31
0.14	0	36.64
0.15	0	33.82
0.16	0	32.32
0.17	0	31.49
0.18	0	30.61
0.19	0	29.94
0.2	0	29.11
0.21	0	28.58
0.22	0	28.82
0.23	0	29.49
0.24	0	32.52
0.25	0	47.96
0.26	0	58.75
0.27	0	65.23
0.28	0	71.96
0.29	0	75.13
0.3	0	74.76
0.31	114.39	73.59
0.32	113.63	72.92
0.33	113.57	72.31
0.34	112.98	71.89
0.35	112.63	71.24
0.36	112.4	70.97
0.37	112.56	71.51
0.38	113.68	72.4
0.39	114.92	73.69
0.4	115.04	75.3
0.41	115.06	76.87
0.42	115.46	78.15
0.43	116.02	79.11
0.44	116.92	79.89
0.45	117.89	80.7
0.46	118.29	81.5
0.47	118.78	82.11
0.48	120.01	82.23
0.49	121.96	81.38
0.5	127.08	79.53
0.51	128.78	76.48
0.52	0	69.83
0.53	0	58.7
0.54	0	55.84
0.55	0	52.95
0.56	0	45.04
0.57	0	38.17
0.58	0	37.87
0.59	0	57.27
0.6	0	66.99
0.61	0	68.81
0.62	0	65.97
0.63	0	64.82
0.64	0	64.85
0.65	0	62.61
0.66	150.02	66.42
0.67	145.33	72.14
0.68	135.71	75.43
0.69	133.03	77.03
0.7	131.06	78
0.71	130.36	77.84
0.72	130.26	77.14
0.73	129.49	76.91
0.74	130.03	76.8
0.75	128.8	76.47
0.76	128.25	75.81
0.77	127.52	74.79
0.78	125.77	71.6
0.79	0	63.16
0.8	0	50.21
0.81	0	56.02
0.82	0	62.41
0.83	0	66.77
0.84	0	69.19
0.85	0	68.55
0.86	0	66.68
0.87	0	63.45
0.88	0	61.32
0.89	0	60.66
0.9	0	58.41
0.91	0	56.85
0.92	0	62.25
0.93	0	66.33
0.94	0	68.24
0.95	0	72.95
0.96	124.83	76.19
0.97	122.9	77.32
0.98	120.13	78.2
0.99	119.16	78.24
1	118.67	77.62
1.01	118.37	76.94
1.02	118.37	76.72
1.03	118.49	76.91
1.04	118.72	77.29
1.05	119.31	77.8
1.06	120.96	78.33
1.07	122.44	78.6
1.08	124.54	78.55
1.09	126.23	78.57
1.1	126.84	78.86
1.11	127.07	78.78
1.12	126.99	77.33
1.13	126.06	73.5
1.14	127.17	69.22
1.15	127.38	68.53
1.16	126.72	69.22
1.17	125.64	71.84
1.18	124.49	74.39
1.19	124.1	75.4
1.2	123.47	76.04
1.21	123.28	77.76
1.22	121.57	79.19
1.23	120.47	79.56
1.24	121.05	79.8
1.25	121.7	80.26
1.26	122.56	80.75
1.27	123.07	80.98
1.28	123.12	80.78
1.29	123.22	80.07
1.3	123.16	78.71
1.31	121.72	76.33
1.32	119.27	72.25
1.33	0	64.94
1.34	0	51.56
1.35	0	41.39
1.36	0	50.96
1.37	0	57.83
1.38	0	58.7
1.39	0	55.4
1.4	0	56.6
1.41	0	63.95
1.42	0	70.73
1.43	127.64	74.16
1.44	123.21	76.6
1.45	121.83	78.38
1.46	121.07	79.51
1.47	120.04	80.19
1.48	119.15	80.45
1.49	118.52	80.63
1.5	118.37	80.89
1.51	118.2	80.95
1.52	117.07	81.11
1.53	116.87	81.28
1.54	116.02	81.29
1.55	115.5	81.02
1.56	114.27	79.86
1.57	112.35	76.8
1.58	110.02	69.91
1.59	107.66	60.6
1.6	103.9	57.24
1.61	0	55.88
1.62	0	54.18
1.63	0	58.73
1.64	0	67.06
1.65	0	70.61
1.66	91.38	71.88
1.67	90.9	71.96
1.68	0	69.71
1.69	0	62.58
1.7	0	50.42
1.71	0	44.51
1.72	0	41.8
1.73	0	43.8
1.74	0	54.76
1.75	0	59.59
1.76	0	60.96
1.77	0	62.25
1.78	0	63.57
1.79	0	63.75
1.8	0	64.49
1.81	0	64.38
1.82	0	64.09
1.83	0	62.64
1.84	0	61.98
1.85	0	62.53
1.86	0	60.72
1.87	0	54.84
1.88	0	45.88
1.89	0	41.4
1.9	0	40.34
1.91	0	38.29
1.92	0	36.17
1.93	0	34.1
1.94	0	34.2
1.95	0	35
1.96	0	34.75
1.97	0	34.64
1.98	0	0
1.99	0	0
2	0	0
