time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.47
0.04	0	26.6
0.05	0	26.73
0.06	0	26.41
0.07	0	25.75
0.08	0	25.85
0.09	0	26.14
0.1	0	26.53
0.11	0	26.4
0.12	0	39.5
0.13	0	53.2
0.14	0	58.46
0.15	0	60.71
0.16	0	65.41
0.17	0	72.51
0.18	0	75.54
0.19	106.82	75.23
0.2	0	73.5
0.21	0	69.03
0.22	0	60.41
0.23	0	47.68
0.24	0	40.83
0.25	0	35.04
0.26	0	29.4
0.27	0	38.45
0.28	0	54.44
0.29	0	63.54
0.3	0	70.92
0.31	0	73.04
0.32	0	68.05
0.33	0	57.59
0.34	0	55.13
0.35	0	55.1
0.36	0	54.23
0.37	0	53.36
0.38	0	53.9
0.39	0	62.95
0.4	160.12	70.45
0.41	159.91	73.18
0.42	161.83	73.44
0.43	163.93	72.91
0.44	166.38	72.37
0.45	168.4	72.01
0.46	169.16	71.76
0.47	170.43	71.78
0.48	171.56	72.09
0.49	172.1	72.33
0.5	171.9	72.31
0.51	171.18	72.06
0.52	170.72	71.73
0.53	170.91	71.48
0.54	170.75	71.12
0.55	170.61	69.03
0.56	170.19	62.56
0.57	0	52.86
0.58	0	49.75
0.59	0	49.48
0.6	0	49.71
0.61	0	50.92
0.62	0	55.25
0.63	0	60.27
0.64	141.29	65.68
0.65	140.71	69.33
0.66	139.5	71.26
0.67	138.73	72.18
0.68	138.35	72.46
0.69	137.77	72.22
0.7	136.97	71.4
0.71	136.77	71.5
0.72	139.48	77.01
0.73	141.41	82.36
0.74	140.98	84.27
0.75	141.12	84.46
0.76	141.87	84.47
0.77	142.72	84.65
0.78	143.36	84.95
0.79	143.9	85.22
0.8	143.95	85.43
0.81	142.74	85.46
0.82	141.06	85.38
0.83	139.07	85.13
0.84	136.87	84.64
0.85	134.7	83.86
0.86	131.79	81.94
0.87	127.19	76.84
0.88	120.89	72.68
0.89	119.9	75.6
0.9	116.02	77.77
0.91	112.06	77.95
0.92	107.91	77.9
0.93	106.06	77.53
0.94	104.8	76.69
0.95	103.25	75.43
0.96	103	73.62
0.97	103.27	71.84
0.98	103.63	70.69
0.99	103.65	69.79
1	102.32	69.4
1.01	101.13	69.23
1.02	101.76	68.77
1.03	100.67	67.86
1.04	100.24	66.19
1.05	101.48	64.2
1.06	99.91	62.63
1.07	100.23	61.7
1.08	101.23	62.04
1.09	103.08	63.57
1.1	105.03	65.54
1.11	106.39	67.25
1.12	107.56	67.92
1.13	108.07	67.69
1.14	107.25	67.72
1.15	105.91	68.28
1.16	105.42	68.64
1.17	106.2	68.76
1.18	107.57	68.7
1.19	108.77	68.73
1.2	109.83	68.89
1.21	109.63	68.89
1.22	109.86	68.58
1.23	109.89	67.93
1.24	108.78	65.7
1.25	106.72	60.66
1.26	110.07	56.81
1.27	109.61	56.46
1.28	108.63	56.09
1.29	0	55.42
1.3	0	54.15
1.31	0	51.91
1.32	0	48.24
1.33	0	50.56
1.34	0	56.61
1.35	0	61.49
1.36	0	69.52
1.37	109.22	74.34
1.38	112.38	76.39
1.39	113.69	77.08
1.4	116.13	77.21
1.41	115.29	76.73
1.42	116.03	75.96
1.43	117.26	75.4
1.44	118.79	75.3
1.45	119.64	75.45
1.46	119.77	75.33
1.47	121.31	74.79
1.48	122.08	73.42
1.49	122.7	70.97
1.5	123.15	66.05
1.51	124.3	59.03
1.52	122.63	56.85
1.53	121.04	56.6
1.54	0	56.14
1.55	0	55.29
1.56	0	55.06
1.57	0	60.39
1.58	115.27	66.55
1.59	115.93	70.06
1.6	115.28	71.48
1.61	114.4	71.96
1.62	113.76	72.08
1.63	113.28	71.93
1.64	112.91	71.6
1.65	112.47	71.17
1.66	111.58	70.53
1.67	110.29	69.35
1.68	109.18	67.53
1.69	108.73	65.47
1.7	109.05	63.66
1.71	109.44	62.05
1.72	109.69	60.39
1.73	109.47	59.27
1.74	109.68	59.44
1.75	110.54	61.03
1.76	112.71	63.3
1.77	114.99	65.48
1.78	116.45	67.39
1.79	117.67	68.86
1.8	118.82	69.78
1.81	118.96	70.22
1.82	119.95	69.93
1.83	121.14	68.16
1.84	0	63.19
1.85	0	52.84
1.86	0	44.23
1.87	0	46.93
1.88	0	52.1
1.89	0	55.47
1.9	119.87	56.78
1.91	118.19	57.08
1.92	117.07	57.08
1.93	116.14	56.92
1.94	115.54	56.69
1.95	115.26	56.27
1.96	0	55.22
1.97	0	53.19
1.98	0	49.8
1.99	0	46.25
2	0	47.65
2.01	0	48.37
2.02	0	45.01
2.03	0	45.01
2.04	0	47.21
2.05	0	48.35
2.06	0	45.24
2.07	0	41.64
2.08	0	45.11
2.09	0	55.8
2.1	0	61.97
2.11	118.56	65.88
2.12	117.42	70.61
2.13	114.91	73.24
2.14	113.45	73.55
2.15	111.99	73.32
2.16	109.95	72.87
2.17	107.26	71.99
2.18	106.12	70.16
2.19	106.08	67.69
2.2	106.21	67.63
2.21	0	68.25
2.22	0	64.92
2.23	0	65.85
2.24	0	68.38
2.25	0	64.42
2.26	0	61.4
2.27	0	66.53
2.28	0	68.07
2.29	0	63.77
2.3	0	62.62
2.31	0	65.55
2.32	0	64.64
2.33	0	63.39
2.34	0	64.31
2.35	0	61.38
2.36	0	56.64
2.37	0	53.95
2.38	0	51.89
2.39	0	48.26
2.4	0	43.5
2.41	0	40.83
2.42	0	39.42
2.43	0	38.43
2.44	0	37.12
2.45	0	36.2
2.46	0	35.79
2.47	0	34.63
2.48	0	32.89
2.49	0	0
2.5	0	0
2.51	0	0
?	?	?
