time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.9
0.04	0	33.81
0.05	0	33.73
0.06	0	33.44
0.07	0	32.48
0.08	0	31.15
0.09	0	32.23
0.1	0	35.86
0.11	0	39.6
0.12	0	52.5
0.13	0	63.54
0.14	85.45	67.54
0.15	108.08	69.75
0.16	111.22	72.53
0.17	112.82	74.36
0.18	115.04	75.27
0.19	116.1	75.28
0.2	116.84	75.82
0.21	118.11	77.61
0.22	118.57	79.82
0.23	118.54	81.95
0.24	119.28	82.94
0.25	117.59	82.33
0.26	116.24	81.65
0.27	114.85	81.92
0.28	113.27	81.73
0.29	111.5	77.97
0.3	103.7	69.63
0.31	103.9	63.27
0.32	104.24	61.74
0.33	102.42	58.93
0.34	0	57.3
0.35	0	63.61
0.36	123.6	71.97
0.37	126.5	77.57
0.38	128.55	80.12
0.39	132.09	80.68
0.4	135.67	80.52
0.41	139.37	80.12
0.42	141.73	79.21
0.43	146.58	77.83
0.44	147.7	75.08
0.45	145.23	71.23
0.46	146.89	69.41
0.47	153.3	71.38
0.48	158.31	74.94
0.49	159.96	77.78
0.5	158.61	79.05
0.51	157.17	79.21
0.52	154.56	78.25
0.53	153.19	76.29
0.54	149.84	73.68
0.55	145.67	71.4
0.56	142.43	70.33
0.57	138.55	69.44
0.58	134.59	67.76
0.59	128.91	63.9
0.6	0	60.68
0.61	0	67.55
0.62	0	76.85
0.63	0	81.45
0.64	0	82.34
0.65	0	81.8
0.66	0	80.63
0.67	0	79.78
0.68	0	78.32
0.69	0	75.41
0.7	0	72.54
0.71	0	71.1
0.72	0	70.66
0.73	0	70.89
0.74	0	71.23
0.75	123.96	74.26
0.76	125.35	76.67
0.77	125.36	76.89
0.78	124.6	76.22
0.79	124.74	75.58
0.8	124.84	75.72
0.81	124.92	76.56
0.82	125.34	77.1
0.83	125.56	77.27
0.84	125.39	78.27
0.85	125.1	78.84
0.86	125.77	79.26
0.87	126.34	79.57
0.88	126.07	79.8
0.89	125.82	79.92
0.9	125.69	79.38
0.91	125.43	79.26
0.92	125.02	79.88
0.93	124.49	80.41
0.94	123.92	80.56
0.95	122.9	79.07
0.96	117.67	73.77
0.97	115.6	66.14
0.98	113.35	65.8
0.99	114.64	71.2
1	113.95	76.19
1.01	113.26	77.97
1.02	113.69	77.95
1.03	114.62	78.33
1.04	115.3	78.73
1.05	115.77	78.99
1.06	116.54	79.11
1.07	117.45	79.01
1.08	117.99	77.63
1.09	117.86	73.67
1.1	119.82	70.06
1.11	120.19	69.51
1.12	119.52	68.97
1.13	117.25	67.76
1.14	115.14	67.43
1.15	108.68	68.66
1.16	106.99	70.27
1.17	106.53	70.69
1.18	105.97	70.64
1.19	106.07	71.25
1.2	105.84	72.3
1.21	106.08	73.43
1.22	107.04	75.05
1.23	107.7	76.85
1.24	107.67	77.78
1.25	106.68	77.51
1.26	105.23	77.07
1.27	103.39	77.48
1.28	102.05	78.41
1.29	100.84	78.03
1.3	0	74.02
1.31	0	65.39
1.32	0	57.7
1.33	0	56.11
1.34	0	55.23
1.35	0	53.98
1.36	0	53.2
1.37	0	62.1
1.38	117.93	71.52
1.39	113.13	76.2
1.4	109.87	76.99
1.41	108.67	76.6
1.42	108.63	76.44
1.43	108.62	76.25
1.44	107.74	76.03
1.45	103.59	74.67
1.46	101.54	71.19
1.47	0	69.74
1.48	0	72.79
1.49	0	74.81
1.5	0	74.16
1.51	0	71.61
1.52	0	71.86
1.53	0	73.09
1.54	0	72.31
1.55	0	69.78
1.56	0	69.76
1.57	86.62	71.35
1.58	87.44	71.4
1.59	85.34	71.66
1.6	84.01	71.69
1.61	82.93	71.09
1.62	82.28	70
1.63	82.37	69.02
1.64	82.99	68.37
1.65	84.74	67.89
1.66	86.15	67.1
1.67	85.33	65.4
1.68	85.1	63.1
1.69	86.78	59.55
1.7	0	55.13
1.71	0	52.48
1.72	0	50.85
1.73	0	49.3
1.74	0	48.36
1.75	0	47.95
1.76	0	47.44
1.77	0	46.12
1.78	0	44.9
1.79	0	44.77
1.8	0	45.15
1.81	0	44.4
1.82	0	0
1.83	0	0
1.84	0	0
