time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	20.44
0.05	0	20.18
0.06	0	20.41
0.07	0	20.3
0.08	0	21.01
0.09	0	22.46
0.1	0	24.68
0.11	0	27.98
0.12	0	32.34
0.13	0	38.72
0.14	0	45.02
0.15	0	48.85
0.16	0	51.21
0.17	0	58.3
0.18	0	67.76
0.19	101.95	72.49
0.2	109.76	74.76
0.21	111.81	77.35
0.22	113.02	79.45
0.23	114.64	80.88
0.24	116.15	81.99
0.25	117.67	83.24
0.26	119.22	84.42
0.27	120.8	84.78
0.28	124.1	83.95
0.29	127.23	83.46
0.3	129.27	83.68
0.31	130.67	83.64
0.32	131.95	82.92
0.33	133.49	81.41
0.34	134.81	79.62
0.35	134.72	78.34
0.36	133.06	77.45
0.37	130.33	76.15
0.38	127.06	73.92
0.39	126.2	70.58
0.4	0	67.32
0.41	0	66.85
0.42	0	67.12
0.43	0	66.99
0.44	0	66.91
0.45	0	65.86
0.46	0	63.1
0.47	0	59.06
0.48	0	54.57
0.49	0	54.2
0.5	0	56.11
0.51	119.62	57.9
0.52	116.84	59.12
0.53	116.3	60.31
0.54	116.64	61.9
0.55	116.25	63.7
0.56	116.05	65.52
0.57	116.02	66.98
0.58	115.88	67.94
0.59	115.17	68.51
0.6	114.02	68.98
0.61	112.03	69.46
0.62	109.52	69.39
0.63	0	67.29
0.64	0	63.86
0.65	0	64.27
0.66	0	67.5
0.67	0	69.36
0.68	0	70.37
0.69	0	71.81
0.7	0	72.46
0.71	0	71.84
0.72	0	71.02
0.73	0	70.78
0.74	0	70.79
0.75	0	70.79
0.76	0	69.75
0.77	0	67.07
0.78	0	67.46
0.79	0	75.18
0.8	148.76	79.55
0.81	149.41	80.63
0.82	149	79.31
0.83	149.74	78.19
0.84	150.91	77.98
0.85	151.92	77.64
0.86	153.01	76.84
0.87	153.98	75.3
0.88	154.47	71.55
0.89	154.47	64.1
0.9	154.03	58.99
0.91	150.69	58.59
0.92	145.55	58.42
0.93	139.33	58.31
0.94	133.19	58.19
0.95	126.6	57.93
0.96	121.29	57.74
0.97	115.72	57.31
0.98	0	56.24
0.99	0	54.5
1	0	51.83
1.01	0	49.27
1.02	0	55.23
1.03	0	65.07
1.04	97.01	70.85
1.05	95.47	73.41
1.06	94.4	74.03
1.07	93.42	73.54
1.08	92.37	72.73
1.09	91.52	72.15
1.1	90.74	71.59
1.11	89.86	70.59
1.12	89.07	69.59
1.13	87.62	68.21
1.14	86.91	66.32
1.15	85.96	65.85
1.16	85.2	65.54
1.17	84.42	65.33
1.18	83.59	64.74
1.19	82.5	63.91
1.2	81.07	62.67
1.21	0	59.82
1.22	0	54.53
1.23	0	50.8
1.24	0	50.24
1.25	0	50.09
1.26	0	49.95
1.27	0	49.63
1.28	0	49.6
1.29	0	50.02
1.3	0	50.25
1.31	0	51.55
1.32	0	57.23
1.33	0	63.15
1.34	79.68	65.74
1.35	79.52	67.19
1.36	79	67.84
1.37	78.67	68.27
1.38	78.62	68.56
1.39	79.47	68.63
1.4	79.85	68.45
1.41	80.35	68.56
1.42	80.65	68.44
1.43	80.33	67.63
1.44	80.33	67.45
1.45	80.47	67.75
1.46	80.74	68.21
1.47	81.35	68.76
1.48	82.69	69.03
1.49	84.23	69.45
1.5	86.01	69.76
1.51	88.93	69.92
1.52	92.14	70.81
1.53	95.01	71.7
1.54	97.95	72.36
1.55	101.68	73.03
1.56	106.31	73.29
1.57	110.56	73.52
1.58	115.83	73.06
1.59	120.23	72.04
1.6	124.51	71.06
1.61	129.22	69.81
1.62	133.82	68.23
1.63	138.13	66.25
1.64	139.99	63.71
1.65	143.59	60.07
1.66	0	56.4
1.67	0	53.31
1.68	0	51.14
1.69	0	49.46
1.7	0	47.86
1.71	0	47.3
1.72	0	46.88
1.73	0	45.14
1.74	0	44.53
1.75	0	43.95
1.76	0	41.75
1.77	0	39.13
1.78	0	36.53
1.79	0	35.44
1.8	0	34.92
1.81	0	32.73
1.82	0	29.31
1.83	0	26.46
1.84	0	24.4
1.85	0	24.28
1.86	0	24.53
1.87	0	0
1.88	0	0
1.89	0	0
