time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.33
0.04	0	30.47
0.05	0	33.12
0.06	0	33.97
0.07	0	32.88
0.08	0	31.44
0.09	0	31.4
0.1	0	33.68
0.11	0	33.66
0.12	0	40.71
0.13	0	52.19
0.14	0	56.7
0.15	0	62.3
0.16	0	69.5
0.17	0	71.98
0.18	0	70.48
0.19	0	65.29
0.2	0	58.73
0.21	0	50.06
0.22	0	37
0.23	0	29.03
0.24	0	28.56
0.25	0	38.08
0.26	0	60.14
0.27	0	71.87
0.28	0	76.25
0.29	0	74.44
0.3	0	70.85
0.31	0	69.97
0.32	0	75.69
0.33	0	81.45
0.34	117.83	83.77
0.35	118.14	84.27
0.36	118	83.83
0.37	117.57	83.57
0.38	116.36	83.16
0.39	113.71	82.14
0.4	109.56	80.94
0.41	105.31	80.84
0.42	101.34	81.14
0.43	98.19	81.06
0.44	95.78	80.96
0.45	94.4	80.52
0.46	94.15	79.37
0.47	94.91	77.53
0.48	95.77	76.23
0.49	96.23	75.96
0.5	97.19	76.43
0.51	99.23	78.52
0.52	101.33	81.48
0.53	101.95	83.5
0.54	101.81	84.44
0.55	101.46	84.64
0.56	100.84	84.35
0.57	99.95	83.46
0.58	98.5	81.23
0.59	95.66	76.76
0.6	0	70.87
0.61	0	69.88
0.62	0	70.73
0.63	0	70.55
0.64	0	70.63
0.65	0	70.51
0.66	0	70.39
0.67	0	69.88
0.68	0	69.25
0.69	0	67.44
0.7	0	64.11
0.71	0	63.5
0.72	0	64.74
0.73	84.45	63.65
0.74	83.56	62.67
0.75	80.52	62.18
0.76	78.91	61.33
0.77	78.7	60.42
0.78	78.68	59.83
0.79	78.19	59.37
0.8	77.86	59.28
0.81	77	59.99
0.82	76.17	59.23
0.83	75.06	58.24
0.84	0	58.4
0.85	0	59.66
0.86	0	61.42
0.87	0	62.91
0.88	75.63	64.06
0.89	77.04	64.91
0.9	77.79	65.39
0.91	78.12	65.14
0.92	77.31	64.04
0.93	0	62.73
0.94	0	61.24
0.95	0	61.53
0.96	0	68.79
0.97	0	75.16
0.98	0	75.82
0.99	0	71.38
1	0	63.47
1.01	0	50.4
1.02	0	39.06
1.03	0	47.24
1.04	0	63.03
1.05	0	73.93
1.06	0	77.69
1.07	0	75.63
1.08	0	68.38
1.09	0	60.9
1.1	0	60.12
1.11	0	54.06
1.12	0	44.47
1.13	0	35.76
1.14	0	33.65
1.15	0	33.6
1.16	0	34.32
1.17	0	38.39
1.18	0	48.28
1.19	0	55.56
1.2	0	59.6
1.21	0	60.92
1.22	0	61.1
1.23	0	62.07
1.24	0	61.51
1.25	0	59.34
1.26	0	56.77
1.27	0	60.07
1.28	0	68.09
1.29	101.04	72.11
1.3	95.85	73.05
1.31	94.16	72.7
1.32	92.66	72.32
1.33	91.12	72.05
1.34	89.77	71.79
1.35	88.38	71.65
1.36	86.94	71.47
1.37	85.34	71.24
1.38	84.25	70.93
1.39	83.68	70.47
1.4	83.13	69.86
1.41	82.24	69.13
1.42	81.27	68.4
1.43	80.18	67.45
1.44	79.57	66.46
1.45	78.47	65.56
1.46	77.51	64.56
1.47	76.53	63.34
1.48	0	61.66
1.49	0	59.37
1.5	0	57.31
1.51	0	55.91
1.52	0	55.17
1.53	0	54.48
1.54	0	54.77
1.55	0	56.13
1.56	0	57.41
1.57	0	55.57
1.58	0	55.63
1.59	0	58.6
1.6	0	58.87
1.61	0	58.44
1.62	0	58.54
1.63	0	60.2
1.64	86.84	60.54
1.65	87.31	57.95
1.66	89.22	58.93
1.67	88.4	62.73
1.68	87.29	65.55
1.69	86.6	67.78
1.7	83.45	68.8
1.71	80.69	68.58
1.72	0	66.7
1.73	0	63.16
1.74	0	58.17
1.75	0	51.87
1.76	0	48.81
1.77	0	49.04
1.78	0	47.77
1.79	0	52.36
1.8	0	56.96
1.81	0	56.48
1.82	0	58.02
1.83	79.38	64.21
1.84	80.6	70.54
1.85	82.1	73.37
1.86	80.58	74.01
1.87	79.43	75.17
1.88	78.41	76.2
1.89	77.46	76.72
1.9	77.35	77.23
1.91	77.01	77.31
1.92	76.68	76.28
1.93	76.19	75.14
1.94	75.86	74.27
1.95	75.54	73.48
1.96	75.22	72.79
1.97	0	72.25
1.98	0	71.62
1.99	0	70.3
2	0	68.6
2.01	0	66.71
2.02	0	63.31
2.03	0	60.92
2.04	0	62.2
2.05	0	63.85
2.06	0	64.85
2.07	0	65.4
2.08	0	65.02
2.09	0	64.56
2.1	0	63.26
2.11	0	60.33
2.12	0	56.12
2.13	0	53.07
2.14	0	48.54
2.15	0	45.51
2.16	0	45.76
2.17	0	47.98
2.18	0	51.11
2.19	0	51.91
2.2	0	52.02
2.21	0	52.37
2.22	0	53.1
2.23	0	55.58
2.24	0	56.47
2.25	0	55.13
2.26	0	56.67
2.27	0	57.54
2.28	0	56.02
2.29	0	54.46
2.3	0	50.96
2.31	0	45.05
2.32	0	42.35
2.33	0	41.33
2.34	0	40.64
2.35	0	40.5
2.36	0	39.74
2.37	0	38.6
2.38	0	37.71
2.39	0	37.37
2.4	0	36.75
2.41	0	0
2.42	0	0
2.43	0	0
