time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.25
0.04	0	28.55
0.05	0	27.98
0.06	0	28.12
0.07	0	27.4
0.08	0	27.4
0.09	0	27.54
0.1	0	28.48
0.11	0	31.71
0.12	0	36.61
0.13	0	45.85
0.14	0	54.75
0.15	0	61.97
0.16	0	67.21
0.17	0	70.36
0.18	0	73.36
0.19	0	74.39
0.2	0	75.11
0.21	0	76.97
0.22	0	78.88
0.23	0	79.99
0.24	0	79.42
0.25	0	78.38
0.26	0	77.38
0.27	0	75.45
0.28	0	72.06
0.29	0	67.51
0.3	0	65.54
0.31	0	70.79
0.32	132.81	73.24
0.33	130.39	73.38
0.34	127.5	72.73
0.35	125.42	71.27
0.36	124.53	69.74
0.37	124.32	68.47
0.38	124.25	67.41
0.39	124.46	66.87
0.4	125.62	66.88
0.41	126.8	67.78
0.42	127.91	70.17
0.43	128.27	73.64
0.44	127.31	76.7
0.45	126.82	78.34
0.46	127.11	78.44
0.47	128.23	77.91
0.48	130.92	78.07
0.49	133.49	78.64
0.5	136.37	79.12
0.51	139.77	79.41
0.52	142.21	79.4
0.53	144.35	79.24
0.54	146.03	79.13
0.55	146.86	78.93
0.56	147.57	78.32
0.57	147.34	76.76
0.58	145.8	73.88
0.59	149.16	72.5
0.6	151.03	73.74
0.61	151.58	74.17
0.62	152	73.9
0.63	152.18	73.5
0.64	152.25	72.98
0.65	152.77	72.67
0.66	152.69	72.71
0.67	151.86	72.84
0.68	151.16	73.01
0.69	150.81	73.35
0.7	150.85	73.79
0.71	150.66	74.32
0.72	150.26	74.95
0.73	149.66	75.51
0.74	149.32	75.83
0.75	149.42	76.02
0.76	149.51	76.19
0.77	150.06	76.3
0.78	150.59	76.31
0.79	150.95	76.44
0.8	150.36	76.63
0.81	148.73	75.98
0.82	145.98	72.94
0.83	146.69	69.73
0.84	146.79	71.91
0.85	147.2	74.76
0.86	146.9	77.08
0.87	146.01	78.52
0.88	144.82	78.69
0.89	142.82	76.96
0.9	139.43	72.08
0.91	0	62.54
0.92	0	52.41
0.93	0	49
0.94	0	50.43
0.95	0	57.12
0.96	0	61.27
0.97	140.8	61.73
0.98	139.5	60.33
0.99	136.61	59.62
1	133.02	60.08
1.01	130.49	61.4
1.02	127.89	63.99
1.03	125.52	67.11
1.04	123.92	69.56
1.05	122.13	70.77
1.06	121.06	70.85
1.07	122.24	70.93
1.08	126.33	72.42
1.09	131.44	75.25
1.1	137.04	78.75
1.11	139.48	81.63
1.12	139.99	83.82
1.13	139.53	84.98
1.14	138.42	84.64
1.15	138.24	83.79
1.16	139.12	82.94
1.17	140.53	81.73
1.18	142.12	80.05
1.19	143.96	78.66
1.2	146.44	77.9
1.21	148.45	76.87
1.22	150.5	76.06
1.23	152.21	76.44
1.24	152.54	76.79
1.25	152	76.56
1.26	150.78	74.96
1.27	149.23	70.84
1.28	150.23	66.13
1.29	150.63	63.7
1.3	149.18	60.76
1.31	0	55.41
1.32	0	47.13
1.33	0	38.65
1.34	0	38.78
1.35	0	36.66
1.36	0	32.3
1.37	0	37.02
1.38	0	44.13
1.39	0	49.99
1.4	0	53.18
1.41	0	52.38
1.42	0	53.54
1.43	0	53.74
1.44	0	46.95
1.45	0	38.46
1.46	0	41.22
1.47	0	42.88
1.48	0	46.03
1.49	0	49.62
1.5	0	56.23
1.51	0	64.75
1.52	0	69.32
1.53	122.01	70.55
1.54	120.43	70.81
1.55	119.18	71.06
1.56	116.9	70.45
1.57	113.77	68.72
1.58	111.27	66.55
1.59	110.18	64.3
1.6	110.37	62.7
1.61	112.01	62.3
1.62	113.91	62.22
1.63	114.69	61.63
1.64	113.07	59.3
1.65	0	54.29
1.66	0	49.51
1.67	0	57.6
1.68	0	64.45
1.69	0	65.33
1.7	122.51	71.15
1.71	122.87	76.87
1.72	122.55	79.2
1.73	121.72	79.05
1.74	125.21	78.5
1.75	128.58	78.89
1.76	131.94	79.57
1.77	134.61	80
1.78	136.16	79.66
1.79	136.59	77.59
1.8	0	71.99
1.81	0	60.83
1.82	0	51.34
1.83	0	56.99
1.84	0	59.51
1.85	0	55.82
1.86	0	49.37
1.87	0	44.71
1.88	0	45.25
1.89	0	47.51
1.9	0	49.41
1.91	0	51.94
1.92	0	56.25
1.93	0	58.04
1.94	0	63.9
1.95	0	76.54
1.96	133.65	82.15
1.97	131.96	83.92
1.98	130.27	83.81
1.99	128.84	83.14
2	126.97	82.89
2.01	124.89	82.74
2.02	122.54	81.7
2.03	120.29	78.65
2.04	118.22	72.49
2.05	118	68.74
2.06	118.85	71.3
2.07	118.71	74.43
2.08	117.54	76.48
2.09	116.16	77.03
2.1	114.63	76.15
2.11	112.83	73.96
2.12	110.16	71.16
2.13	107.83	68.65
2.14	105.33	65.74
2.15	104.71	61.9
2.16	0	58.58
2.17	0	60.07
2.18	0	63.83
2.19	0	67.22
2.2	0	68.91
2.21	0	70.44
2.22	0	71.69
2.23	0	72.2
2.24	0	73.56
2.25	0	73.55
2.26	0	69.46
2.27	0	62.56
2.28	0	62.25
2.29	127.24	67.61
2.3	122.42	69.39
2.31	120.23	69.04
2.32	118.18	68.89
2.33	115.3	68.9
2.34	113.28	68.61
2.35	111.84	67.61
2.36	111.19	65.66
2.37	110.96	63.36
2.38	110.9	60.59
2.39	0	55.97
2.4	0	48.16
2.41	0	39.32
2.42	0	30.18
2.43	0	28.1
2.44	0	27.24
2.45	0	26.85
2.46	0	27.37
2.47	0	27.76
2.48	0	29.1
2.49	0	0
2.5	0	0
2.51	0	0
?	?	?
