time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.34
0.04	0	26.92
0.05	0	24.33
0.06	0	24
0.07	0	26.16
0.08	0	26.97
0.09	0	26
0.1	0	24.78
0.11	0	25.25
0.12	0	30.9
0.13	0	38.1
0.14	0	40.84
0.15	0	38.28
0.16	0	44.7
0.17	0	53
0.18	0	61.83
0.19	146.15	70.98
0.2	145.94	75
0.21	140.72	76.02
0.22	139.89	76.72
0.23	139.94	77.41
0.24	139.85	77.6
0.25	140.24	77.24
0.26	140.19	76.39
0.27	138.46	74.1
0.28	0	71.37
0.29	0	70.58
0.3	0	70.13
0.31	0	71.47
0.32	0	72.15
0.33	0	70.71
0.34	0	70.3
0.35	0	70.12
0.36	0	69.77
0.37	0	68.07
0.38	0	67.79
0.39	164.07	73.08
0.4	163.91	76.38
0.41	166.62	77.45
0.42	167.24	77.15
0.43	166.04	75.89
0.44	164.47	74.33
0.45	163.04	73.24
0.46	0	73.79
0.47	0	74.5
0.48	0	73.67
0.49	0	71.32
0.5	0	66.12
0.51	0	57.33
0.52	0	44.82
0.53	0	33.3
0.54	0	26.98
0.55	0	23.4
0.56	0	28.61
0.57	0	43.59
0.58	0	52.37
0.59	0	60.17
0.6	0	71.51
0.61	0	78.27
0.62	144.35	81.98
0.63	143.45	83.75
0.64	143.48	84.28
0.65	144.12	84.6
0.66	145.02	84.96
0.67	146.18	85.03
0.68	146.99	84.91
0.69	147.7	84.91
0.7	148.25	84.9
0.71	148.38	84.77
0.72	148.31	84.46
0.73	147.74	83.82
0.74	146.39	82.98
0.75	145.31	81.97
0.76	143.4	80.33
0.77	140.49	76.74
0.78	131.42	69.35
0.79	131.67	61.7
0.8	133.96	65.81
0.81	130.97	72.2
0.82	126.9	75.52
0.83	122.99	76.38
0.84	119.7	76.06
0.85	115.98	75.4
0.86	113.64	74.28
0.87	112.69	72.64
0.88	111.91	70.2
0.89	110.79	67.72
0.9	109.71	65.43
0.91	107.72	63.29
0.92	106.38	61.87
0.93	105.13	60.68
0.94	104.14	59.74
0.95	103.7	59.76
0.96	103.82	60.61
0.97	101.32	61.76
0.98	100.29	63.09
0.99	97.64	64.09
1	96.88	64.53
1.01	95.16	64.72
1.02	94.29	64.88
1.03	92.62	64.95
1.04	88.51	64.5
1.05	86.14	63.55
1.06	0	62.29
1.07	0	60.88
1.08	0	60
1.09	0	58.71
1.1	0	57.12
1.11	0	55.69
1.12	0	54.34
1.13	0	53.35
1.14	0	53.4
1.15	0	53.34
1.16	0	52.75
1.17	0	49.31
1.18	0	44.38
1.19	0	40.75
1.2	0	40.44
1.21	0	38.48
1.22	0	36.02
1.23	0	35.39
1.24	0	35.3
1.25	0	34.99
1.26	0	34.27
1.27	0	33.51
1.28	0	33.03
1.29	0	33.01
1.3	0	33.09
1.31	0	0
1.32	0	0
1.33	0	0
