time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.34
0.05	0	35.45
0.06	0	35
0.07	0	36.36
0.08	0	37.9
0.09	0	38.81
0.1	0	41.7
0.11	0	44.72
0.12	0	51.86
0.13	0	64.8
0.14	0	71.44
0.15	0	71.15
0.16	0	70.85
0.17	0	70.57
0.18	96.63	71.29
0.19	97.36	74.83
0.2	98.84	77.58
0.21	100.58	79.03
0.22	101.74	79.53
0.23	102.11	79.45
0.24	102.32	79.19
0.25	103.05	78.96
0.26	103.98	78.96
0.27	104.84	79.41
0.28	105.55	79.89
0.29	105.72	80.29
0.3	105.09	80.59
0.31	104.02	80.65
0.32	102.9	80.74
0.33	101.72	80.96
0.34	100.99	81.12
0.35	100.46	81.33
0.36	99.6	81.35
0.37	99.23	81.32
0.38	99.21	81.4
0.39	99.41	81.53
0.4	100.16	81.83
0.41	101.71	82.49
0.42	103.7	83.17
0.43	106.05	83.92
0.44	108.15	84.42
0.45	109.53	84.15
0.46	110.32	82.44
0.47	110.94	78.77
0.48	112.5	75
0.49	114.47	76.49
0.5	115.88	79.5
0.51	116.2	81.51
0.52	115.52	82.23
0.53	114.65	82.01
0.54	113.17	81.51
0.55	111.85	81.04
0.56	111.23	79.52
0.57	107.56	75.22
0.58	0	67.96
0.59	0	60.18
0.6	0	53.8
0.61	0	51.2
0.62	0	48.92
0.63	0	55.21
0.64	0	61.47
0.65	0	64.2
0.66	0	64.32
0.67	0	68.04
0.68	0	74.06
0.69	111.79	76.77
0.7	110.54	77.41
0.71	109.16	77.06
0.72	108.6	76.03
0.73	107.86	73.87
0.74	106.7	70.78
0.75	105.88	68.27
0.76	104.31	67.39
0.77	102.43	66.87
0.78	100.53	66.2
0.79	98.46	65.45
0.8	95.95	64.68
0.81	93.32	64.54
0.82	90.06	64.71
0.83	86.85	63.32
0.84	0	60.03
0.85	0	58.94
0.86	0	61.51
0.87	0	63.14
0.88	0	63.63
0.89	0	63.03
0.9	0	61.06
0.91	0	56.41
0.92	0	51.6
0.93	0	54.39
0.94	0	59.48
0.95	0	62.6
0.96	0	62.66
0.97	0	61.49
0.98	0	60.76
0.99	0	62.31
1	0	62.08
1.01	0	57.33
1.02	0	52.29
1.03	0	51.31
1.04	0	50.25
1.05	0	48.88
1.06	0	47.11
1.07	0	44.64
1.08	0	45.44
1.09	0	56.03
1.1	0	62.64
1.11	101.09	65.24
1.12	102.44	67.14
1.13	104.23	69.33
1.14	106.05	71.07
1.15	107.2	72.28
1.16	107.38	72.95
1.17	107.65	72.96
1.18	108.19	72.91
1.19	108.55	73.02
1.2	108.46	73.06
1.21	107.78	73.02
1.22	106.42	72.85
1.23	104.66	72.5
1.24	103.11	72.02
1.25	101.8	71.32
1.26	100.13	70.47
1.27	98.64	69.78
1.28	97.26	69.18
1.29	95.59	68.55
1.3	93.95	68
1.31	92.59	67.58
1.32	90.99	67.46
1.33	89.59	67.54
1.34	88.14	67.17
1.35	86.94	66.32
1.36	86.67	65.72
1.37	86.76	65.77
1.38	86.98	66.6
1.39	87.1	67.55
1.4	87.16	68.49
1.41	88.46	70.04
1.42	90.03	72.26
1.43	89.18	74.1
1.44	87.6	75.06
1.45	86.27	76.09
1.46	85.26	77.13
1.47	84.94	77.35
1.48	84.2	76.84
1.49	82.99	75.74
1.5	81.67	75.2
1.51	82.37	74.46
1.52	83.16	72.65
1.53	80.89	70.7
1.54	0	68.47
1.55	0	64.84
1.56	0	59.69
1.57	0	53.22
1.58	0	48.37
1.59	0	46.88
1.6	0	51.39
1.61	0	53.47
1.62	0	51.62
1.63	0	52.57
1.64	0	54.96
1.65	86.57	56.57
1.66	88.44	58.89
1.67	91.21	64.46
1.68	92.46	69.44
1.69	93.07	72.19
1.7	94.75	73.77
1.71	98	75.48
1.72	98.88	76.62
1.73	100.73	76.66
1.74	100.16	77.13
1.75	97.6	77.13
1.76	96.21	76.57
1.77	95.13	76.56
1.78	93.68	76.52
1.79	91.75	76.25
1.8	90.27	75.82
1.81	88.63	75.14
1.82	86.64	74.29
1.83	85.11	73.43
1.84	83.8	72.6
1.85	81.37	72.03
1.86	79.98	71.85
1.87	80.29	71.09
1.88	77.72	70.31
1.89	75.43	70.45
1.9	76.08	69.45
1.91	77.68	69.42
1.92	78.22	70.18
1.93	77.8	70.22
1.94	0	68.85
1.95	0	65
1.96	0	60.99
1.97	78.48	61
1.98	79.56	61.58
1.99	80.4	60.35
2	0	56.29
2.01	0	49.41
2.02	0	46.29
2.03	0	45.63
2.04	0	44.89
2.05	0	43.19
2.06	0	41.51
2.07	0	39.74
2.08	0	38.03
2.09	0	0
2.1	0	0
2.11	0	0
?	?	?
