time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.08
0.04	0	34.74
0.05	0	35.31
0.06	0	35.84
0.07	0	36.73
0.08	0	38.27
0.09	0	39.11
0.1	0	39.22
0.11	0	38.59
0.12	0	37.3
0.13	0	37.94
0.14	0	38.76
0.15	0	35.06
0.16	0	30.07
0.17	0	27.82
0.18	0	26.64
0.19	0	33.7
0.2	0	43.7
0.21	0	45.38
0.22	0	39.25
0.23	0	29.38
0.24	0	25.04
0.25	0	24.65
0.26	0	29.67
0.27	0	38.9
0.28	0	48.85
0.29	0	52.66
0.3	0	55.07
0.31	168.78	63.84
0.32	159.77	70.89
0.33	153.26	73.8
0.34	150.73	72.74
0.35	145.73	69.08
0.36	142.25	65.93
0.37	145.39	65.95
0.38	147.39	66.94
0.39	148.78	67.9
0.4	150.14	68.83
0.41	153.02	70.48
0.42	157.98	73.57
0.43	158.17	76.63
0.44	159.04	78.88
0.45	159.29	80.09
0.46	159.72	80.75
0.47	159.95	80.82
0.48	160.18	80.62
0.49	161.37	80.7
0.5	163.54	80.8
0.51	165.19	80.83
0.52	166.28	80.89
0.53	166.73	81.06
0.54	166.87	81.09
0.55	166.72	80.97
0.56	166.77	80.87
0.57	167.26	80.96
0.58	167.59	81.02
0.59	168.7	81.07
0.6	170	80.92
0.61	170.25	80.6
0.62	170.29	80.19
0.63	169.61	79.54
0.64	168.12	78.01
0.65	165.99	74.85
0.66	167.2	72.4
0.67	168.77	71.79
0.68	166.66	69.75
0.69	162.9	65.22
0.7	0	63.78
0.71	0	69.24
0.72	0	75.77
0.73	0	79.2
0.74	0	76.77
0.75	0	68.9
0.76	0	60.71
0.77	0	63.49
0.78	206.61	68.14
0.79	201.08	69.86
0.8	198.77	70.59
0.81	197.29	70.82
0.82	185.04	71.83
0.83	175.24	74.09
0.84	173.21	74.55
0.85	172.03	74.32
0.86	169.86	76.01
0.87	166.8	78.45
0.88	166.12	79.93
0.89	165.3	81.07
0.9	164.21	81.92
0.91	163.95	82.41
0.92	163.62	82.33
0.93	164.26	82.17
0.94	164.94	82.08
0.95	165.68	82.02
0.96	166.22	81.84
0.97	166.38	81.29
0.98	166.42	81.11
0.99	166.08	80.91
1	165.3	80.7
1.01	165.03	81.26
1.02	164.62	82.18
1.03	163.7	82.54
1.04	162.17	82.09
1.05	159.64	80.62
1.06	156.86	79.01
1.07	155.64	78.58
1.08	152.81	77.25
1.09	150.79	74.9
1.1	148.99	72.7
1.11	149.59	72.68
1.12	150.78	75.7
1.13	149.02	78.04
1.14	148.17	78.37
1.15	147.62	77.98
1.16	146.93	77.82
1.17	145.74	77.49
1.18	144.4	76.9
1.19	143.64	76.44
1.2	143.18	76.19
1.21	143.26	75.71
1.22	141.76	73.98
1.23	140.01	69.07
1.24	139.07	59.65
1.25	0	51.56
1.26	0	48.62
1.27	0	45.72
1.28	0	44.43
1.29	0	50.44
1.3	0	58.87
1.31	0	63.76
1.32	0	65.44
1.33	0	65.3
1.34	0	64.91
1.35	0	64.67
1.36	0	64.54
1.37	0	63.84
1.38	0	61.73
1.39	0	60.27
1.4	0	58.99
1.41	0	56.69
1.42	0	54.12
1.43	0	51.8
1.44	0	51.15
1.45	0	50.71
1.46	0	50.64
1.47	0	51.39
1.48	0	54.21
1.49	0	53.78
1.5	0	50.08
1.51	0	47.27
1.52	0	45.9
1.53	0	51.19
1.54	167.61	61.59
1.55	160.64	68.39
1.56	159.95	72.66
1.57	160.95	76.24
1.58	158.9	77.92
1.59	157.65	78.26
1.6	156.72	78.56
1.61	155.82	78.65
1.62	154.59	78.89
1.63	153.71	78.93
1.64	153.12	78.8
1.65	152.65	78.55
1.66	152.2	78.34
1.67	151.44	77.81
1.68	150.43	77.06
1.69	148.68	75.91
1.7	146.5	72.91
1.71	142.52	66.24
1.72	140.41	58.79
1.73	136.46	60.54
1.74	135.04	63.77
1.75	134.67	66.22
1.76	134.96	67.92
1.77	134.77	68.85
1.78	133.97	69
1.79	133.22	68.73
1.8	133.06	68.36
1.81	133.8	68.34
1.82	133.97	68.38
1.83	133.92	68.18
1.84	133.29	67.41
1.85	131.06	65.36
1.86	130.05	61.63
1.87	0	55.52
1.88	0	47.87
1.89	0	44.05
1.9	0	49.31
1.91	0	54.95
1.92	0	56.01
1.93	0	55.22
1.94	0	54.41
1.95	0	54.25
1.96	0	54.3
1.97	0	53.69
1.98	0	52.91
1.99	0	54.31
2	0	55.07
2.01	0	50.72
2.02	0	43.94
2.03	0	40.24
2.04	0	38.26
2.05	0	36.21
2.06	0	33.78
2.07	0	32.34
2.08	0	30.55
2.09	0	29.65
2.1	0	29.53
2.11	0	0
2.12	0	0
2.13	0	0
