time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	43.91
0.05	0	42.85
0.06	0	42.01
0.07	0	41.65
0.08	0	40.74
0.09	0	40.18
0.1	0	39.94
0.11	0	40.95
0.12	0	42.3
0.13	0	42.17
0.14	0	40.75
0.15	0	36.46
0.16	0	31.07
0.17	0	30.26
0.18	0	29.97
0.19	0	28.49
0.2	0	29.12
0.21	0	30.96
0.22	0	31.77
0.23	0	33.93
0.24	0	46.2
0.25	0	57.02
0.26	0	66.13
0.27	110.09	73.54
0.28	109.79	77.42
0.29	109.14	79.68
0.3	109.13	81.26
0.31	109.54	81.96
0.32	110.48	82.09
0.33	111.76	82.02
0.34	112.94	81.2
0.35	114.41	79.08
0.36	116.87	75.92
0.37	0	71.56
0.38	0	68.31
0.39	0	69.26
0.4	0	72.16
0.41	0	73.24
0.42	0	73.07
0.43	0	73.67
0.44	0	73.98
0.45	0	72.61
0.46	0	67.71
0.47	0	58.59
0.48	0	43.95
0.49	0	30.63
0.5	0	42.74
0.51	0	60.02
0.52	0	66.81
0.53	0	69.23
0.54	121.28	74.25
0.55	121.7	77.1
0.56	122.16	75.2
0.57	117.54	69.1
0.58	112.51	63.49
0.59	110.93	61.88
0.6	110.14	62.36
0.61	110.75	66.19
0.62	113.7	73.58
0.63	114.43	79.55
0.64	113.12	82.33
0.65	112.65	83.42
0.66	112.21	83.99
0.67	111.68	84.19
0.68	110.79	83.94
0.69	109.24	83.05
0.7	108.11	81.14
0.71	107.95	77.83
0.72	0	72.32
0.73	0	69.8
0.74	0	73.48
0.75	0	75.24
0.76	0	73.91
0.77	0	72.46
0.78	0	71
0.79	0	68.72
0.8	0	66.22
0.81	0	63.44
0.82	0	57.22
0.83	0	45.04
0.84	0	33.05
0.85	0	29.03
0.86	0	33.1
0.87	0	39.97
0.88	0	43.81
0.89	0	43.95
0.9	0	46.27
0.91	0	59.19
0.92	0	65.63
0.93	112.45	70.44
0.94	112.89	75.8
0.95	112.88	79.46
0.96	112.55	82.09
0.97	111.73	83.01
0.98	110.64	82.97
0.99	109.52	83.42
1	109.03	83.21
1.01	109.85	81.95
1.02	111.98	79.78
1.03	113.52	76.17
1.04	0	71.27
1.05	0	68.14
1.06	0	68.5
1.07	0	68.68
1.08	0	69.37
1.09	0	69.77
1.1	0	69.29
1.11	0	68.74
1.12	0	67.78
1.13	0	65.95
1.14	0	64.25
1.15	0	70.8
1.16	97.69	76.04
1.17	97.12	78.83
1.18	95.81	81.97
1.19	98.31	82.95
1.2	100.55	82.65
1.21	100.25	82.01
1.22	100.38	81.12
1.23	99.62	80.31
1.24	98.87	79.73
1.25	99.02	79.01
1.26	99.14	78.17
1.27	99.8	77.05
1.28	101.1	75.18
1.29	102.11	72.09
1.3	102.99	67.79
1.31	0	61.91
1.32	0	52.18
1.33	0	43.73
1.34	0	37.61
1.35	0	35.45
1.36	0	40.47
1.37	0	50.92
1.38	0	64.37
1.39	0	70.54
1.4	0	71.48
1.41	0	70.13
1.42	0	68.1
1.43	0	65.01
1.44	0	67.49
1.45	129.21	73.17
1.46	126.39	75.15
1.47	120.06	75.03
1.48	115.72	74.31
1.49	113.61	73.69
1.5	112.34	73.27
1.51	111.46	72.95
1.52	110.53	72.57
1.53	109.74	70.93
1.54	0	65.7
1.55	0	58.44
1.56	0	57.8
1.57	0	55.72
1.58	0	53.11
1.59	0	57.1
1.6	0	60.98
1.61	0	61.64
1.62	0	59.39
1.63	0	53.01
1.64	0	40.1
1.65	0	28.8
1.66	0	27.1
1.67	0	25.96
1.68	0	37.8
1.69	0	55.99
1.7	0	66.41
1.71	0	74.57
1.72	0	80.78
1.73	0	83.36
1.74	0	83.25
1.75	98.61	81.91
1.76	99.21	81.1
1.77	99.51	80.66
1.78	98.76	80.08
1.79	97.62	78.65
1.8	96.94	75.9
1.81	96.95	73.93
1.82	97.73	73.07
1.83	99.58	72.09
1.84	101.01	70.41
1.85	0	67.73
1.86	0	66.05
1.87	0	65.19
1.88	0	64.4
1.89	0	63.77
1.9	0	63.5
1.91	121.72	65.85
1.92	121.56	69.38
1.93	118.95	71.8
1.94	114.31	73.49
1.95	110.77	74.14
1.96	108.92	74.46
1.97	107.65	74.77
1.98	107.23	75.07
1.99	107.54	75.08
2	108.02	75.27
2.01	108.25	76.01
2.02	107.73	76.11
2.03	106.87	75.4
2.04	104.7	74.89
2.05	102.13	73.9
2.06	100.23	72.23
2.07	98.32	71
2.08	98.45	69.95
2.09	99.21	69.36
2.1	99.16	69.16
2.11	99.09	69.1
2.12	99.15	69.24
2.13	99.31	69.27
2.14	99.3	69.38
2.15	99.07	69.6
2.16	98.54	69.7
2.17	98.82	69.93
2.18	99.04	69.76
2.19	98.96	69.57
2.2	99.16	69.53
2.21	98.7	68.96
2.22	98	67.64
2.23	97.55	65.68
2.24	96.54	62.16
2.25	96.29	58.79
2.26	0	57.16
2.27	0	54.86
2.28	0	51.65
2.29	0	49.14
2.3	0	47.18
2.31	0	45.29
2.32	0	42.87
2.33	0	39.79
2.34	0	38.15
2.35	0	54.61
2.36	0	65.06
2.37	0	66.23
2.38	0	59.68
2.39	0	49.46
2.4	0	44.68
2.41	0	45.43
2.42	0	48.27
2.43	0	49.65
2.44	0	48.22
2.45	0	43.43
2.46	0	36.71
2.47	0	32.76
2.48	0	0
2.49	0	0
2.5	0	0
?	?	?
