time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.91
0.04	0	27.55
0.05	0	28.27
0.06	0	29.93
0.07	0	34.31
0.08	0	39.23
0.09	0	41.61
0.1	0	41.34
0.11	0	38.97
0.12	0	41.1
0.13	0	56.92
0.14	0	68.79
0.15	129.35	74.65
0.16	133.14	78.04
0.17	134.24	80.37
0.18	135.46	82.36
0.19	135.95	84.1
0.2	136.29	85.08
0.21	137.39	84.71
0.22	139.99	82.33
0.23	139.7	77.03
0.24	0	66.81
0.25	0	52.68
0.26	0	55.27
0.27	0	55.52
0.28	0	55.88
0.29	0	60.31
0.3	0	64.58
0.31	0	68.05
0.32	0	68.73
0.33	0	69.67
0.34	0	71.35
0.35	0	72.19
0.36	0	72.76
0.37	0	71.82
0.38	0	69.14
0.39	0	65.77
0.4	0	71.32
0.41	140.68	80.88
0.42	140.38	85.24
0.43	137.99	86.01
0.44	136.46	85.04
0.45	134.04	83.98
0.46	132.89	83.43
0.47	131.72	82.08
0.48	131.06	79.3
0.49	132.31	75.82
0.5	133.13	72.98
0.51	131.97	71.38
0.52	132.04	71.23
0.53	132.07	72.5
0.54	134.37	76.94
0.55	131.74	81.1
0.56	130.13	83.29
0.57	130.26	83.99
0.58	130.81	84.02
0.59	132.36	84.25
0.6	133.76	84.56
0.61	134.3	84.67
0.62	134.06	84.65
0.63	133.22	84.5
0.64	131.82	84.2
0.65	130.28	83.74
0.66	128.56	83.03
0.67	126.64	82.18
0.68	124.58	81.41
0.69	122.27	80.71
0.7	120.21	79.94
0.71	118.36	79.17
0.72	117.71	78.63
0.73	117.31	78.33
0.74	116.86	78.09
0.75	116.71	77.88
0.76	115.82	76.97
0.77	114	74.03
0.78	111.69	69.75
0.79	112.86	68.19
0.8	112	67.72
0.81	110.88	66.98
0.82	109.13	66.12
0.83	104.52	65.54
0.84	102.15	67.76
0.85	101.76	71.9
0.86	99.32	74.53
0.87	105.34	76.1
0.88	110.41	76.95
0.89	114.53	77.12
0.9	118.49	77.38
0.91	121.05	78.04
0.92	122.46	78.91
0.93	123.13	79.31
0.94	123.71	78.78
0.95	123.78	76.75
0.96	124.04	73.21
0.97	126.03	70.6
0.98	126.03	71.23
0.99	124.57	73.16
1	123.63	74.54
1.01	122.93	75.24
1.02	120.87	75.5
1.03	119.6	75.34
1.04	117.96	74.88
1.05	115.67	74.55
1.06	113.7	74.75
1.07	112.08	75.53
1.08	110.82	76.6
1.09	109.96	77.61
1.1	109.18	78.24
1.11	107.93	78.61
1.12	106.62	79.29
1.13	105.77	80.2
1.14	105.19	80.77
1.15	104.73	80.79
1.16	104.37	80.4
1.17	104.24	80.05
1.18	104.99	79.65
1.19	105.68	78.99
1.2	105.97	78.14
1.21	107.1	77.2
1.22	107.9	75.69
1.23	108.46	73.15
1.24	109.19	69.01
1.25	115.69	64.51
1.26	118.31	61.97
1.27	118.97	60.59
1.28	119.86	59.18
1.29	0	57.88
1.3	0	57.01
1.31	0	56.83
1.32	0	56.48
1.33	0	56.15
1.34	0	54.84
1.35	0	52.43
1.36	0	49.45
1.37	0	48.86
1.38	0	49.25
1.39	0	46.93
1.4	0	45.03
1.41	0	44.95
1.42	0	44.08
1.43	0	41.52
1.44	0	40.5
1.45	0	40.6
1.46	0	40.42
1.47	0	0
1.48	0	0
1.49	0	0
