time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.95
0.04	0	36
0.05	0	35.65
0.06	0	35.21
0.07	0	35.08
0.08	0	35.19
0.09	0	34.86
0.1	0	34.34
0.11	0	34.27
0.12	0	42.39
0.13	0	54.95
0.14	0	59.1
0.15	0	56.08
0.16	0	57.94
0.17	0	60.73
0.18	0	62.42
0.19	97.88	65.45
0.2	98.67	66.76
0.21	105.19	68.49
0.22	106.62	69.51
0.23	112.18	71
0.24	117.34	72.7
0.25	118.69	74.26
0.26	121.97	75.58
0.27	123.76	76.55
0.28	125.21	77.24
0.29	128.02	77.65
0.3	130.6	77.78
0.31	132.92	77.2
0.32	135.8	76.12
0.33	140.06	75.81
0.34	143.25	75.99
0.35	144.58	75.55
0.36	144.82	73.71
0.37	0	73.87
0.38	0	76.42
0.39	0	77.14
0.4	0	77.19
0.41	0	77.2
0.42	0	76.04
0.43	0	72.62
0.44	0	67.28
0.45	0	59.68
0.46	0	55.38
0.47	0	63.75
0.48	0	67.25
0.49	0	70.28
0.5	0	77.33
0.51	136.28	81.37
0.52	136.06	82.51
0.53	135.2	82.44
0.54	134.72	81.84
0.55	134.56	80.88
0.56	133.98	79.24
0.57	132.35	76.95
0.58	130.72	75.07
0.59	129.76	72.5
0.6	0	66.91
0.61	0	56.64
0.62	0	45.56
0.63	0	37.29
0.64	0	36.61
0.65	0	41.08
0.66	0	44.68
0.67	0	59.91
0.68	0	68.59
0.69	0	68.7
0.7	0	63.55
0.71	0	66.7
0.72	105.65	71.94
0.73	106.13	71.84
0.74	104.27	69.47
0.75	101.31	65.55
0.76	0	60.27
0.77	0	57.95
0.78	0	57.63
0.79	0	56.94
0.8	0	56.46
0.81	0	55.84
0.82	0	55.41
0.83	0	60.22
0.84	0	67.66
0.85	0	71.57
0.86	112.73	75.76
0.87	112.67	79.3
0.88	113.07	81.13
0.89	113.67	82.19
0.9	113.61	82.64
0.91	113.62	82.2
0.92	113.3	80.58
0.93	112.75	77.22
0.94	0	72.27
0.95	0	72.5
0.96	0	75.59
0.97	0	76.53
0.98	0	77.66
0.99	0	78.22
1	0	77.31
1.01	0	74.59
1.02	0	71.38
1.03	0	68.78
1.04	0	68.49
1.05	0	67.42
1.06	0	63.86
1.07	0	55.89
1.08	0	44.37
1.09	0	37.19
1.1	0	40.52
1.11	0	49.63
1.12	0	56.07
1.13	0	60.99
1.14	0	64.1
1.15	0	64.06
1.16	0	60.92
1.17	0	62.23
1.18	101.66	68.74
1.19	99.81	71.48
1.2	96.15	70.82
1.21	93.62	67.75
1.22	93.46	64.25
1.23	94.51	63.27
1.24	95	63.13
1.25	96.8	63.87
1.26	98.3	66.01
1.27	98.19	69.58
1.28	98.13	72.26
1.29	98.8	72.98
1.3	99.55	73.36
1.31	99.89	74.11
1.32	99.47	74.92
1.33	99.41	75.66
1.34	100.16	76.45
1.35	99.19	76.98
1.36	98.4	77.2
1.37	98.39	77.22
1.38	98.76	76.68
1.39	99.46	75.33
1.4	98.47	73.09
1.41	0	69.53
1.42	0	65.57
1.43	0	66.34
1.44	0	68.7
1.45	0	69.73
1.46	0	66.81
1.47	0	58.61
1.48	0	51.64
1.49	0	52.93
1.5	0	55.4
1.51	0	61.91
1.52	0	69.44
1.53	91.8	72.72
1.54	95.99	72.5
1.55	97.87	72.93
1.56	96.98	72.42
1.57	95.69	69.64
1.58	98.08	65.75
1.59	97.07	64.38
1.6	95.16	64.54
1.61	95.16	65.05
1.62	95.4	65.46
1.63	95.97	65.62
1.64	96.59	65.96
1.65	97.7	67.65
1.66	98.99	72.61
1.67	97.8	77.41
1.68	96.58	79.4
1.69	96.79	80.14
1.7	96.44	80.69
1.71	95.57	80.37
1.72	94.84	79.44
1.73	100.11	79.59
1.74	95.95	79.43
1.75	92.3	76.88
1.76	91.67	76.56
1.77	0	75.92
1.78	0	75.16
1.79	0	76.06
1.8	0	74.01
1.81	0	70.7
1.82	0	71.72
1.83	0	76.42
1.84	0	74.89
1.85	0	74.08
1.86	0	71.63
1.87	0	66.91
1.88	0	65.11
1.89	0	63.54
1.9	0	62.36
1.91	0	65.37
1.92	0	69.01
1.93	0	70.85
1.94	0	72.45
1.95	0	73.98
1.96	0	74.39
1.97	0	71.63
1.98	0	66.84
1.99	0	58.41
2	0	42.51
2.01	0	35.18
2.02	0	49.13
2.03	0	59.53
2.04	0	63.72
2.05	0	64.29
2.06	0	60.25
2.07	0	55.06
2.08	0	53.32
2.09	0	52.95
2.1	0	52.05
2.11	0	49.35
2.12	0	46.88
2.13	0	45.99
2.14	0	45.54
2.15	0	45.01
2.16	0	44.52
2.17	0	44.14
2.18	0	43.62
2.19	0	42.87
2.2	0	0
2.21	0	0
2.22	0	0
?	?	?
