time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	41.69
0.04	0	40.58
0.05	0	37.38
0.06	0	32.54
0.07	0	27.79
0.08	0	29.25
0.09	0	32.76
0.1	0	33.38
0.11	0	31.16
0.12	0	39.22
0.13	0	53.27
0.14	0	62.63
0.15	155.23	67.6
0.16	157.2	70.16
0.17	160.5	72.32
0.18	162.69	74.08
0.19	163.61	74.8
0.2	164.58	73.03
0.21	159.43	67.12
0.22	0	55.74
0.23	0	44.38
0.24	0	54.83
0.25	0	65.2
0.26	0	68.97
0.27	0	69.47
0.28	0	70.25
0.29	0	69.38
0.3	0	66.36
0.31	209.53	69.36
0.32	194.34	76.33
0.33	185.52	80.05
0.34	182.01	81.02
0.35	179.12	80.45
0.36	176.61	79.39
0.37	174.68	77.36
0.38	172.85	73.79
0.39	172.73	69.7
0.4	173.4	68.16
0.41	173.1	68.27
0.42	172.39	68.5
0.43	172.01	70.68
0.44	170.97	74.55
0.45	171.03	77.88
0.46	171.28	80.56
0.47	169.75	80.95
0.48	168.71	80.61
0.49	168.45	80.81
0.5	168.4	81.19
0.51	168.56	81.75
0.52	168.67	82.33
0.53	168.7	82.92
0.54	168.26	83.41
0.55	167.1	83.28
0.56	165.07	82.24
0.57	163.05	81.21
0.58	160.95	80.48
0.59	157.72	79.32
0.6	154.43	77.3
0.61	150.6	74.32
0.62	146.48	72.7
0.63	141.55	72.89
0.64	138.42	74.51
0.65	136.2	75.12
0.66	134.87	74.52
0.67	134.28	74.03
0.68	134.02	73.49
0.69	133.43	72.38
0.7	132.08	70.77
0.71	127.72	67.79
0.72	0	63.64
0.73	0	65.41
0.74	0	68.37
0.75	0	69.3
0.76	0	69.67
0.77	0	69.53
0.78	0	68.75
0.79	0	68.28
0.8	0	66.71
0.81	0	62.73
0.82	0	61.3
0.83	160.81	66.85
0.84	159.95	69.39
0.85	155.39	69.78
0.86	153.61	69.92
0.87	153.32	70.08
0.88	152.83	70.15
0.89	152.41	70.12
0.9	151.82	70.04
0.91	150.6	69.84
0.92	148.64	69.19
0.93	143.74	67.87
0.94	138.99	65.6
0.95	133.55	62.08
0.96	0	58.17
0.97	0	54.39
0.98	0	52.82
0.99	137.44	56.87
1	137.95	62.93
1.01	139.57	67.29
1.02	140.27	69.54
1.03	139.58	70.43
1.04	138.2	70.14
1.05	135.85	68.88
1.06	133.43	66.58
1.07	129.86	62.74
1.08	125.32	57.53
1.09	0	51.51
1.1	0	43.63
1.11	0	36.46
1.12	0	44.49
1.13	0	55.35
1.14	0	60.62
1.15	0	60.7
1.16	0	58.69
1.17	0	57.72
1.18	0	59.05
1.19	143.01	66.86
1.2	142.45	72.21
1.21	137.37	73.81
1.22	132.77	73.07
1.23	130.97	72.22
1.24	129.85	72.54
1.25	128.44	73.41
1.26	126.69	74.38
1.27	124.63	75.21
1.28	122.35	75.32
1.29	120.65	74.73
1.3	118.92	73.95
1.31	116.94	73.17
1.32	115.46	72.3
1.33	113.54	71.07
1.34	111.06	69.77
1.35	109.85	68.3
1.36	0	65.29
1.37	0	58.16
1.38	0	48.5
1.39	0	45.36
1.4	0	43.7
1.41	0	43.81
1.42	0	52.67
1.43	0	57
1.44	0	53.8
1.45	0	48.91
1.46	0	48.71
1.47	0	49.02
1.48	0	47.95
1.49	0	47.88
1.5	0	47.26
1.51	0	45.86
1.52	0	44.74
1.53	0	43.91
1.54	0	42.98
1.55	0	41.94
1.56	0	41.07
1.57	0	40.48
1.58	0	39.34
1.59	0	38.41
1.6	0	0
1.61	0	0
1.62	0	0
?	?	?
